,PANAS.Interested_Predicted,PANAS.Distressed_Predicted,PANAS.Excited_Predicted,PANAS.Upset_Predicted,PANAS.Strong_Predicted,PANAS.Guilty_Predicted,PANAS.Scared_Predicted,PANAS.Hostile_Predicted,PANAS.Enthusiastic_Predicted,PANAS.Proud_Predicted,PANAS.Irritable_Predicted,PANAS.Alert_Predicted,PANAS.Ashamed_Predicted,PANAS.Inspired_Predicted,PANAS.Nervous_Predicted,PANAS.Determined_Predicted,PANAS.Attentive_Predicted,PANAS.Jittery_Predicted,PANAS.Active_Predicted,PANAS.Afraid_Predicted,PANAS.Interested_Actual,PANAS.Distressed_Actual,PANAS.Excited_Actual,PANAS.Upset_Actual,PANAS.Strong_Actual,PANAS.Guilty_Actual,PANAS.Scared_Actual,PANAS.Hostile_Actual,PANAS.Enthusiastic_Actual,PANAS.Proud_Actual,PANAS.Irritable_Actual,PANAS.Alert_Actual,PANAS.Ashamed_Actual,PANAS.Inspired_Actual,PANAS.Nervous_Actual,PANAS.Determined_Actual,PANAS.Attentive_Actual,PANAS.Jittery_Actual,PANAS.Active_Actual,PANAS.Afraid_Actual
0,1,4,1,2,1,2,3,2,1,4,4,2,3,2,2,4,3,2,2,1,3,2,3,4,4,1,4,4,4,4,2,3,3,2,1,1,3,3,2,1
1,1,3,1,2,1,2,3,2,1,4,4,2,3,2,4,4,3,2,2,1,1,3,3,1,4,3,4,2,4,1,1,2,4,3,1,3,3,1,3,2
2,1,3,1,2,1,2,3,2,1,4,4,1,3,2,4,4,3,2,2,1,2,2,2,3,2,2,1,2,1,2,3,4,4,2,3,2,2,2,1,2
3,1,2,1,2,1,2,3,2,1,2,4,1,3,2,4,4,3,2,2,1,2,2,2,4,2,3,3,4,4,3,2,2,4,4,4,3,3,4,1,2
4,1,3,1,2,2,2,3,2,1,4,3,2,3,2,4,4,3,2,2,1,4,3,4,1,1,4,4,2,3,4,1,4,1,4,3,1,2,2,3,3
5,1,3,1,4,2,2,3,3,1,2,3,2,3,4,1,4,3,2,2,1,1,1,2,4,1,3,1,1,4,1,4,4,3,2,2,4,2,2,4,4
6,1,3,1,4,2,2,3,3,1,2,3,2,1,3,1,4,3,2,2,2,1,2,2,1,3,2,4,2,1,4,1,4,4,1,4,2,3,4,1,1
7,1,3,1,2,2,2,3,2,1,2,3,2,3,4,3,4,3,2,2,1,3,4,2,3,1,3,1,2,4,1,2,1,4,2,2,1,1,4,2,4
8,1,3,1,2,2,2,3,2,1,4,3,2,3,4,4,4,3,2,2,1,3,4,3,3,1,4,3,2,3,1,4,1,1,2,2,2,4,1,2,3
9,1,3,1,3,2,2,2,3,1,4,3,2,3,4,3,4,3,2,2,2,4,3,2,4,2,3,4,4,4,1,1,2,1,4,1,4,1,3,4,1
10,1,3,1,3,2,2,2,3,1,2,1,2,3,3,3,4,3,3,1,2,3,4,4,4,3,4,3,3,4,3,1,3,4,4,4,3,1,3,4,2
11,1,4,1,3,2,2,2,3,1,2,3,2,3,3,1,4,3,2,1,2,1,1,3,4,2,4,1,3,2,3,3,1,3,4,3,2,1,1,1,4
12,1,3,2,3,2,2,2,2,1,2,3,2,3,3,1,4,3,2,1,2,1,3,1,1,1,3,2,4,2,3,1,1,2,4,4,1,4,2,4,4
13,1,4,2,3,2,3,2,3,4,2,3,2,2,3,3,4,3,2,2,2,2,2,2,4,2,2,2,3,4,4,1,1,3,2,4,2,3,4,1,4
14,1,4,2,2,2,2,2,1,1,4,4,2,3,1,2,4,3,2,2,2,4,4,1,4,1,3,4,2,1,1,4,4,2,2,3,4,4,1,1,1
15,1,4,2,1,2,2,2,1,1,2,4,1,3,4,2,4,3,3,2,2,4,3,1,3,3,1,2,4,3,1,1,2,2,2,1,4,1,1,4,3
16,1,4,2,2,2,2,2,2,1,2,4,2,2,4,3,4,3,2,2,2,3,1,4,1,4,2,1,2,1,4,1,1,4,4,4,1,4,4,2,2
17,1,4,2,2,2,2,2,2,1,4,4,1,2,4,3,4,3,2,2,2,4,1,3,4,1,2,3,2,1,2,3,1,3,1,2,4,4,2,2,3
18,1,4,2,1,2,2,2,2,1,4,3,2,2,4,3,4,3,2,2,2,2,1,3,2,4,3,3,3,3,1,2,3,4,1,3,2,3,3,2,1
19,1,4,2,1,2,2,2,2,1,2,4,2,2,4,3,4,3,2,2,2,1,3,4,3,2,1,2,1,3,2,4,2,1,4,3,2,3,2,3,3
20,1,4,2,1,2,2,2,2,1,4,4,2,2,4,3,4,3,2,2,2,1,2,1,2,2,4,4,1,1,4,3,2,2,2,2,4,4,1,2,1
21,2,4,2,1,2,2,2,2,1,2,1,2,2,1,1,4,3,3,2,2,2,3,2,2,3,4,3,3,4,1,2,3,3,2,3,3,4,3,3,1
22,1,4,1,4,2,2,2,2,4,2,3,2,2,4,4,4,3,3,2,2,3,1,2,2,4,4,3,1,4,4,4,2,1,1,1,1,1,1,2,2
23,2,4,1,4,2,2,2,2,4,2,4,4,2,2,1,4,3,3,2,2,3,1,3,1,1,3,3,4,3,3,4,1,1,1,2,1,1,3,1,4
24,2,4,2,4,2,2,2,2,1,2,4,2,2,1,4,4,3,3,2,2,1,2,3,1,1,2,4,2,2,2,1,1,3,2,1,4,4,2,2,3
25,2,4,2,4,2,2,2,2,4,4,4,2,2,1,3,4,3,3,2,2,2,4,4,3,2,1,2,2,1,4,2,2,1,3,1,2,1,4,2,4
26,2,4,2,1,2,2,2,2,1,3,1,4,2,2,2,4,3,3,2,2,3,4,1,3,2,4,1,1,3,4,2,4,3,1,3,3,3,2,2,2
27,2,4,2,1,2,2,2,2,2,3,1,2,2,2,3,3,3,3,2,2,3,3,2,3,2,2,4,4,2,1,2,3,4,4,1,2,2,4,2,1
28,2,4,2,1,2,2,2,2,1,3,1,2,2,1,3,4,3,3,2,2,1,3,1,1,1,4,3,1,3,3,4,3,2,4,4,2,3,2,4,4
29,2,2,4,1,2,2,2,2,2,3,1,4,2,1,3,4,3,3,2,2,4,3,1,1,1,3,2,4,4,4,1,4,1,2,2,4,4,1,2,1
30,2,2,2,1,2,2,2,2,1,4,1,4,2,1,2,4,3,3,2,2,1,2,4,2,2,4,2,2,3,3,4,4,2,4,2,3,2,4,1,2
31,1,4,2,1,2,4,2,2,1,3,1,1,2,3,2,1,3,3,2,2,4,4,1,1,2,1,1,2,4,4,4,3,2,2,4,2,4,1,3,4
32,1,4,2,4,2,4,2,2,1,3,4,1,2,1,2,1,3,3,2,2,1,3,4,3,3,4,3,1,4,2,2,3,3,1,2,3,3,4,4,2
33,1,4,2,1,2,4,2,2,4,3,4,1,2,1,4,1,3,3,2,2,4,3,3,4,1,1,1,1,1,4,4,3,3,2,1,4,3,2,1,1
34,1,4,2,1,2,4,2,1,4,3,4,1,2,3,4,1,3,3,2,2,4,1,2,3,1,1,2,4,4,1,2,1,3,4,4,3,4,4,1,2
35,1,4,2,1,2,4,2,2,4,3,4,1,2,1,4,1,3,2,2,2,3,3,3,3,2,4,1,3,4,4,4,4,1,4,1,2,4,1,2,4
36,1,4,2,1,2,4,2,2,4,3,4,1,2,1,4,1,3,2,2,2,3,4,1,1,3,1,1,2,2,1,2,3,1,1,2,2,4,4,2,1
37,1,4,2,2,1,4,2,2,4,3,4,1,3,1,2,1,3,2,2,2,4,3,3,2,4,4,1,3,3,4,1,4,3,2,2,1,4,3,1,1
38,1,4,2,2,1,1,2,2,3,2,4,1,3,1,2,1,3,2,2,2,3,1,1,1,2,4,4,1,4,4,2,2,2,1,1,3,3,4,4,1
39,1,4,1,2,1,3,2,2,3,2,4,1,3,1,2,1,3,2,2,2,3,3,4,4,4,2,3,3,1,4,1,4,4,2,2,3,3,3,1,1
40,1,4,1,2,1,3,2,2,3,2,4,1,3,1,2,1,3,2,2,2,3,1,4,2,3,1,3,2,4,2,3,3,4,2,2,4,4,4,2,3
41,1,4,2,1,2,3,2,2,4,2,1,1,2,1,2,4,3,2,2,2,4,3,1,2,1,4,4,4,3,4,2,3,2,2,3,4,3,4,1,1
42,1,4,2,1,2,4,2,1,4,3,1,1,2,1,2,3,3,2,1,2,1,2,4,4,4,4,2,2,2,4,4,3,1,3,1,1,2,1,2,3
43,1,4,2,1,2,3,2,2,4,3,1,1,2,1,2,3,3,2,1,2,3,3,2,3,4,1,2,4,2,1,3,2,4,1,3,2,2,2,4,2
44,1,4,2,1,2,4,2,1,4,3,1,1,2,1,2,3,3,2,1,2,1,3,4,4,3,2,3,2,1,1,3,3,3,1,3,1,3,2,1,4
45,1,4,2,1,2,3,2,1,4,2,1,2,2,1,3,4,3,2,1,2,4,2,1,3,3,3,2,3,2,1,4,1,1,4,1,1,2,3,2,3
46,1,4,2,1,2,4,2,1,4,3,1,1,2,1,2,4,3,2,2,2,1,4,4,2,4,2,2,1,4,4,2,3,3,3,4,4,3,2,4,2
47,1,4,2,1,2,4,2,1,4,3,1,1,2,1,3,4,3,2,1,2,3,1,1,3,1,4,4,1,4,4,2,2,1,2,1,1,4,4,2,3
48,1,4,2,1,2,4,2,3,4,3,1,1,2,1,2,3,3,2,2,2,3,3,1,4,3,4,4,3,4,2,3,1,4,1,1,2,3,3,3,2
49,1,4,2,1,2,4,2,3,4,3,1,1,2,1,2,3,3,2,2,2,2,3,3,3,4,4,2,3,4,4,3,1,4,3,1,3,2,4,4,3
50,1,4,2,1,2,4,2,3,4,3,1,1,2,1,2,1,3,2,2,2,1,2,1,2,4,3,4,3,1,2,2,3,1,1,1,3,4,4,3,3
