,PANAS.Interested_Predicted,PANAS.Distressed_Predicted,PANAS.Excited_Predicted,PANAS.Upset_Predicted,PANAS.Strong_Predicted,PANAS.Guilty_Predicted,PANAS.Scared_Predicted,PANAS.Hostile_Predicted,PANAS.Enthusiastic_Predicted,PANAS.Proud_Predicted,PANAS.Irritable_Predicted,PANAS.Alert_Predicted,PANAS.Ashamed_Predicted,PANAS.Inspired_Predicted,PANAS.Nervous_Predicted,PANAS.Determined_Predicted,PANAS.Attentive_Predicted,PANAS.Jittery_Predicted,PANAS.Active_Predicted,PANAS.Afraid_Predicted,PANAS.Interested_Actual,PANAS.Distressed_Actual,PANAS.Excited_Actual,PANAS.Upset_Actual,PANAS.Strong_Actual,PANAS.Guilty_Actual,PANAS.Scared_Actual,PANAS.Hostile_Actual,PANAS.Enthusiastic_Actual,PANAS.Proud_Actual,PANAS.Irritable_Actual,PANAS.Alert_Actual,PANAS.Ashamed_Actual,PANAS.Inspired_Actual,PANAS.Nervous_Actual,PANAS.Determined_Actual,PANAS.Attentive_Actual,PANAS.Jittery_Actual,PANAS.Active_Actual,PANAS.Afraid_Actual
0,4,2,1,2,4,3,3,2,4,4,4,2,4,2,3,3,1,1,3,3,4,1,3,3,4,4,1,4,4,2,4,1,3,1,3,3,2,1,4,3
1,4,2,1,2,4,3,3,2,4,4,4,2,4,2,3,2,1,1,3,3,4,3,4,1,4,4,2,2,1,2,4,3,2,4,2,3,1,3,3,2
2,2,2,1,2,4,3,3,2,4,4,4,3,4,2,3,2,1,1,4,3,2,3,1,2,4,1,1,1,2,2,1,2,3,4,4,2,2,1,3,3
3,2,2,1,2,4,3,3,2,4,4,4,3,4,2,3,2,1,1,4,3,1,3,4,4,2,2,4,2,4,3,4,3,3,1,3,2,4,3,2,4
4,2,2,3,3,3,4,1,2,1,4,4,3,1,2,1,3,1,4,4,3,2,1,1,3,1,3,1,4,4,2,3,3,3,1,2,3,2,4,4,4
5,2,2,1,3,4,4,1,2,4,2,4,3,1,2,3,2,1,4,4,3,4,3,3,2,1,1,2,1,1,2,2,1,4,4,2,1,1,1,1,3
6,2,2,1,2,4,3,3,2,4,2,4,3,4,2,3,2,1,1,4,3,4,2,2,4,2,3,2,4,1,1,1,2,4,4,4,1,3,4,1,3
7,2,2,3,3,4,4,1,2,4,2,4,3,4,2,4,2,3,4,4,3,3,2,3,2,1,1,4,1,3,4,1,3,4,4,1,2,2,1,2,1
8,2,2,3,3,3,4,1,2,1,4,4,3,1,2,1,3,4,4,4,3,3,4,2,1,3,3,2,2,4,1,1,2,1,1,1,3,1,3,1,2
9,2,2,1,2,4,3,3,2,4,2,4,3,4,2,3,2,1,1,4,3,4,3,1,3,2,2,4,1,2,4,2,3,1,2,1,1,2,4,3,3
10,4,2,1,2,4,3,3,2,4,4,4,3,4,2,3,2,1,1,4,3,4,2,3,1,2,3,1,4,4,1,1,1,2,2,4,3,4,4,1,1
11,4,2,1,2,4,3,3,2,4,4,4,2,4,2,3,2,1,1,4,3,2,1,4,3,4,4,3,4,1,4,2,4,3,2,1,2,3,2,2,1
12,4,2,1,3,1,4,1,2,4,2,4,3,1,2,4,3,1,4,4,3,2,3,2,4,2,4,4,2,2,1,3,2,4,2,3,3,2,2,1,1
13,4,2,1,3,4,4,1,2,4,2,4,3,1,2,3,3,1,4,4,3,4,1,1,2,3,2,1,4,3,1,1,1,4,3,2,3,4,4,3,2
14,4,2,1,3,4,4,1,2,4,2,4,3,1,2,4,3,1,4,4,3,3,2,4,3,1,1,4,1,4,4,2,1,1,3,4,4,4,1,4,4
15,4,2,1,3,1,4,1,2,4,4,4,3,1,2,1,3,1,4,4,3,1,1,1,2,1,3,4,3,2,2,4,4,3,4,4,4,2,3,2,3
16,4,2,1,3,1,4,1,2,4,4,4,3,1,2,4,3,1,4,4,3,4,3,3,4,4,3,4,1,1,3,2,2,4,4,2,2,1,3,3,2
17,4,2,1,3,1,4,1,2,4,4,4,3,1,2,1,3,1,4,2,4,2,2,2,1,4,3,4,2,4,4,2,3,4,2,2,2,2,2,3,3
18,4,2,1,3,1,4,1,2,1,4,4,3,1,2,1,3,1,4,2,4,1,4,3,4,1,2,3,1,3,2,2,4,1,3,1,1,3,1,1,4
19,4,2,1,3,1,4,1,2,1,4,4,1,1,2,1,2,1,4,4,4,4,4,2,2,3,3,3,3,3,2,4,2,3,4,4,1,4,4,2,2
20,4,2,1,3,4,4,1,2,1,4,4,1,1,2,1,2,2,4,4,4,1,1,2,3,3,1,3,1,4,3,3,4,3,3,1,3,2,4,2,4
21,4,2,1,3,1,4,1,2,4,4,4,3,1,2,4,3,1,4,4,3,3,1,1,3,2,2,1,2,1,2,2,4,3,4,4,3,2,3,1,2
22,4,2,1,3,1,4,3,2,4,4,4,2,4,2,3,3,1,1,4,3,1,4,2,3,4,1,1,2,3,1,2,1,1,3,3,3,3,4,1,3
23,4,2,1,3,4,4,3,2,4,4,4,3,1,2,3,3,1,1,4,3,2,2,4,1,4,3,1,4,1,2,3,1,4,2,1,3,1,4,1,4
24,4,2,1,3,4,4,3,2,4,4,4,3,1,2,3,3,1,1,4,3,3,4,3,2,2,2,2,3,4,1,1,2,1,2,1,3,4,1,1,1
25,4,2,1,3,4,3,3,2,4,2,4,3,1,2,3,2,1,1,4,3,4,1,4,1,1,1,1,3,3,4,1,3,3,4,2,1,4,4,2,2
26,4,2,1,3,4,4,3,2,4,2,4,3,1,2,3,2,1,1,4,3,4,1,2,3,1,3,4,2,2,4,4,2,3,4,1,4,4,2,3,1
27,4,2,1,2,4,3,3,2,4,2,4,3,4,2,3,2,1,1,4,3,1,4,1,4,1,1,4,3,4,2,3,3,4,4,2,4,1,2,4,1
28,2,2,1,3,4,4,1,2,4,2,4,3,1,2,3,2,1,1,4,3,2,1,2,1,2,1,2,3,1,3,1,1,4,2,1,2,1,1,2,2
29,2,2,3,3,3,4,1,2,1,2,4,3,1,2,1,3,4,4,4,3,3,1,2,2,2,1,1,3,1,3,1,1,2,1,4,4,4,4,3,1
