,PANAS.Interested_Predicted,PANAS.Distressed_Predicted,PANAS.Excited_Predicted,PANAS.Upset_Predicted,PANAS.Strong_Predicted,PANAS.Guilty_Predicted,PANAS.Scared_Predicted,PANAS.Hostile_Predicted,PANAS.Enthusiastic_Predicted,PANAS.Proud_Predicted,PANAS.Irritable_Predicted,PANAS.Alert_Predicted,PANAS.Ashamed_Predicted,PANAS.Inspired_Predicted,PANAS.Nervous_Predicted,PANAS.Determined_Predicted,PANAS.Attentive_Predicted,PANAS.Jittery_Predicted,PANAS.Active_Predicted,PANAS.Afraid_Predicted,PANAS.Interested_Actual,PANAS.Distressed_Actual,PANAS.Excited_Actual,PANAS.Upset_Actual,PANAS.Strong_Actual,PANAS.Guilty_Actual,PANAS.Scared_Actual,PANAS.Hostile_Actual,PANAS.Enthusiastic_Actual,PANAS.Proud_Actual,PANAS.Irritable_Actual,PANAS.Alert_Actual,PANAS.Ashamed_Actual,PANAS.Inspired_Actual,PANAS.Nervous_Actual,PANAS.Determined_Actual,PANAS.Attentive_Actual,PANAS.Jittery_Actual,PANAS.Active_Actual,PANAS.Afraid_Actual
0,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,3,4,3,1,3,2,1,2,4,4,2,1,2,4,2,1,4,3,3
1,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,2,1,2,1,4,4,2,3,3,3,3,3,3,2,2,3,4,4,4,1
2,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,4,1,2,3,4,2,1,2,4,3,1,2,3,4,2,3,3,2,4,4
3,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,3,2,2,4,2,1,4,2,1,3,4,1,1,1,2,1,1,4,4
4,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,4,1,4,3,3,2,2,1,3,3,3,4,2,3,4,3,1,2,2
5,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,4,4,2,2,4,2,4,3,1,2,4,2,2,4,3,3,3,2,1,2
6,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,1,3,1,2,1,3,3,1,3,2,1,3,3,4,4,2,4,2,4
7,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,1,4,1,1,4,1,4,1,2,2,1,2,2,4,1,4,4,2,1
8,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,4,2,2,2,2,1,2,2,1,1,3,4,1,3,4,1,1,2,1,4
9,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,2,2,4,4,1,3,3,2,2,4,3,2,1,1,3,2,2,2,2
10,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,3,2,3,3,4,2,4,4,4,1,1,2,1,4,2,3,2,4,2
11,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,2,3,4,2,3,2,2,1,1,1,2,1,3,3,2,3,4,2,2
12,1,2,2,4,4,3,1,3,4,1,3,2,2,3,1,2,3,2,1,1,3,1,1,1,4,1,3,4,3,4,2,3,4,1,2,3,1,3,2,4
13,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,4,3,2,2,2,1,3,2,4,2,3,3,4,3,4,2,4,1,4,2
14,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,4,4,1,2,2,4,1,2,1,3,1,3,3,3,4,4,3,3,4,4
15,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,4,3,1,4,4,1,3,4,4,2,2,4,4,2,2,2,1,1,1
16,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,2,2,1,1,2,4,4,1,4,4,1,2,3,1,1,3,4,3,1
17,1,2,2,2,4,3,1,3,4,1,3,2,2,3,1,3,3,2,1,1,2,2,2,4,2,1,1,3,2,3,3,3,1,1,2,1,4,4,3,1
18,1,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,2,4,4,2,1,2,1,4,4,1,4,1,4,4,2,2,4,1,4,2
19,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,4,4,4,1,3,2,2,3,3,2,3,3,4,2,3,1,2,3,3,2
20,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,3,3,2,2,2,3,2,3,3,2,2,4,3,3,1,4,3,4,2
21,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,4,2,3,3,1,4,3,2,1,4,2,2,1,4,4,1,4,4,3,2
22,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,2,2,4,4,4,1,2,4,4,4,4,3,1,3,3,1,4,3,2
23,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,1,3,3,2,2,4,1,4,4,3,1,1,2,1,4,2,4,3,3
24,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,3,2,3,1,4,1,3,1,1,4,1,4,4,4,3,4,4,2,1
25,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,3,2,3,2,4,3,1,2,1,3,1,1,4,4,2,1,4,3,3
26,3,2,2,4,4,3,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,1,4,4,4,1,3,3,2,4,1,1,2,2,3,3,4,1,4,2
27,1,2,2,4,4,4,1,1,4,1,3,2,2,3,1,2,3,2,1,1,3,4,3,3,1,4,4,3,2,1,3,3,1,4,2,1,1,4,4,4
28,1,2,2,4,1,4,1,1,4,1,3,2,2,3,1,2,3,2,1,1,1,4,4,3,2,4,1,3,3,1,1,2,3,4,3,1,2,2,2,1
29,1,2,2,4,1,4,1,3,4,1,3,2,2,3,1,2,4,2,1,1,4,4,3,1,3,2,2,2,3,4,3,2,2,2,4,2,4,4,1,1
30,1,2,2,4,1,4,1,3,4,1,3,2,2,3,1,3,4,2,1,1,1,4,3,2,2,3,4,3,4,1,2,1,2,4,4,3,1,1,2,1
31,1,2,2,4,1,4,1,3,4,1,3,2,2,3,1,3,4,2,1,1,1,2,2,1,2,1,1,4,3,2,4,1,1,2,2,3,2,2,4,2
32,1,2,2,4,3,1,3,1,2,1,2,2,2,3,1,3,4,2,1,1,2,3,4,2,1,1,3,1,3,1,1,1,1,2,3,3,2,2,2,4
33,1,2,2,4,3,1,3,1,2,1,2,4,2,3,1,2,4,2,3,1,3,4,1,1,1,1,1,4,4,2,2,1,3,3,3,1,3,1,1,3
34,1,2,1,4,3,1,3,1,4,3,2,4,2,3,1,2,4,1,3,1,2,4,4,3,2,1,1,1,4,4,2,2,3,2,2,2,2,1,1,4
35,1,2,2,4,3,1,3,1,2,3,2,4,2,3,1,2,4,2,3,1,1,4,2,3,3,1,4,3,2,2,4,2,2,2,3,2,3,3,2,3
36,1,2,1,4,3,1,3,1,2,3,4,4,2,3,1,3,4,1,3,1,3,2,1,3,1,3,2,3,4,1,2,1,1,4,2,1,2,1,4,3
37,1,2,1,4,3,1,3,1,4,2,4,4,2,3,4,3,1,1,3,4,4,2,2,4,1,1,1,1,3,3,4,2,4,1,2,2,2,4,3,1
38,1,2,2,4,3,1,2,1,4,2,4,4,2,3,4,3,1,2,3,4,3,1,2,3,2,1,1,1,2,2,1,1,1,1,4,2,3,3,1,3
39,1,2,2,4,3,1,3,1,4,2,1,4,2,3,1,3,2,2,1,4,1,4,4,1,4,4,1,1,2,2,1,3,2,2,2,4,1,2,3,1
40,1,4,2,4,3,1,1,1,4,2,1,4,3,1,1,3,2,2,1,4,1,3,1,4,2,1,2,4,3,3,4,4,1,2,1,2,4,1,1,2
41,1,1,1,4,3,2,2,4,1,2,1,4,2,1,1,3,1,1,1,4,4,4,2,4,2,2,2,3,2,2,2,3,3,2,2,1,1,4,4,4
42,1,4,1,4,3,2,2,4,1,2,4,4,2,1,1,3,1,1,4,4,4,2,1,4,1,4,3,3,3,1,1,4,2,1,3,4,4,3,3,1
43,1,1,1,4,3,2,2,4,1,2,4,4,2,1,1,3,1,1,4,4,2,1,3,4,2,1,4,1,1,2,1,4,4,1,1,3,2,1,3,1
44,1,2,1,4,3,4,2,4,1,2,1,4,2,1,1,3,1,1,4,4,1,1,1,1,2,1,4,1,2,3,1,4,1,3,1,3,3,4,3,3
45,1,2,1,4,3,4,2,4,1,2,1,4,2,1,1,3,1,1,4,4,2,4,4,3,2,4,4,1,4,4,1,2,3,4,2,3,3,4,2,1
46,1,2,1,4,3,4,2,4,1,2,1,4,2,1,1,3,1,1,1,4,1,3,3,4,4,3,4,4,3,4,2,1,1,2,3,2,2,1,4,3
47,1,2,2,4,1,4,1,4,2,2,2,3,2,3,4,3,4,3,3,3,4,3,3,4,3,3,1,4,1,3,4,2,3,2,3,1,3,2,4,1
48,1,2,2,4,3,1,3,1,4,2,2,4,2,3,4,2,1,2,3,1,4,4,2,3,4,3,2,1,4,2,4,4,1,2,1,4,4,3,4,4
49,1,2,2,4,3,1,3,1,4,2,4,4,2,3,1,3,1,2,3,1,1,3,2,3,1,3,1,2,3,2,1,2,1,2,3,1,1,4,1,3
50,1,2,2,4,3,1,3,1,4,2,1,4,2,3,1,3,1,2,3,1,3,1,4,4,3,4,2,4,1,2,2,1,1,2,3,2,1,4,3,2
