,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,2,2,3,3,4,4,4,3,3,3,2,2
1,2,2,4,3,4,4,3,1,1,3,3,3
2,2,2,3,3,4,4,2,1,2,2,2,2
3,2,2,3,1,4,4,2,2,4,2,2,3
4,2,2,3,1,4,4,4,4,4,2,3,1
5,2,2,3,1,4,4,3,4,1,3,2,1
6,2,2,3,1,4,4,3,3,3,2,4,2
7,2,2,3,1,4,4,1,4,3,4,4,2
8,1,2,4,1,3,4,2,4,4,2,1,3
9,1,2,4,1,3,3,4,4,1,3,4,4
10,4,2,4,1,3,3,2,4,3,2,2,2
11,2,2,4,1,4,4,3,3,1,4,2,1
12,2,2,4,1,4,4,4,2,3,3,4,3
13,2,2,4,1,4,4,3,2,1,3,3,2
14,2,2,4,1,4,4,2,1,3,4,3,2
15,2,2,4,1,4,4,2,2,4,1,2,2
16,2,2,4,1,4,4,4,3,3,4,2,2
17,2,2,4,1,4,4,1,4,1,2,2,3
18,2,2,4,1,4,4,3,1,1,3,4,1
19,2,2,4,1,4,4,3,4,1,2,2,2
20,2,2,4,1,4,4,3,2,3,3,1,2
21,2,2,4,1,4,4,3,2,3,2,1,4
22,2,2,4,1,4,4,3,3,1,2,3,1
23,2,2,4,1,4,4,2,4,1,3,2,2
24,2,2,4,1,4,4,1,4,1,2,2,4
25,2,2,4,1,4,4,3,4,4,4,4,3
26,2,2,4,1,4,4,4,3,1,2,1,2
27,2,2,4,1,4,4,1,1,4,2,3,4
28,2,2,4,1,4,4,4,1,4,3,4,1
29,2,2,4,1,4,4,2,2,1,2,2,1
30,2,2,4,1,4,4,3,3,3,1,3,4
31,2,2,4,1,4,4,1,2,1,3,3,3
32,2,2,4,1,4,4,4,1,4,4,2,3
33,1,2,4,1,3,3,3,1,2,1,1,2
34,4,2,4,1,3,3,2,2,3,1,1,4
35,4,2,4,1,3,3,4,1,3,2,2,2
36,4,2,4,3,3,3,4,2,1,3,2,1
37,4,2,4,3,3,2,3,2,2,2,4,4
38,4,2,4,3,3,2,3,1,2,3,4,3
39,4,2,4,3,3,2,1,1,1,1,4,1
