,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,18,35,37,13
1,18,35,38,37
2,18,35,20,40
3,18,35,17,12
4,18,35,30,49
5,18,35,26,46
6,18,35,11,44
7,18,35,45,46
8,18,35,29,48
9,18,35,11,25
10,18,35,23,48
11,18,35,22,41
12,18,35,47,40
13,18,35,47,26
14,18,35,29,23
15,18,35,49,40
16,18,35,22,15
17,18,35,21,21
18,18,35,48,24
19,18,35,43,31
20,18,35,36,14
21,18,35,19,38
22,18,35,13,23
23,18,35,28,13
24,18,35,17,14
25,18,35,33,46
26,18,35,27,15
27,18,35,44,35
28,18,35,36,42
29,18,35,10,17
30,18,35,36,49
31,18,35,39,13
32,18,35,17,42
33,18,35,16,17
34,18,35,42,28
35,18,35,24,25
36,18,35,25,41
37,18,35,36,37
38,18,35,38,20
39,18,35,42,32
40,18,35,29,14
41,18,35,37,27
42,18,35,13,28
43,18,35,25,12
44,18,35,26,40
45,18,35,14,47
46,18,35,12,38
47,18,35,17,29
48,18,35,11,26
49,18,35,43,21
50,18,35,42,27
51,18,35,15,41
52,18,35,35,23
53,18,35,34,32
54,18,35,37,48
55,18,35,33,27
56,18,35,34,20
57,18,35,37,46
58,18,35,32,47
59,18,35,37,28
60,18,35,26,14
61,18,35,45,39
62,18,35,16,26
63,18,35,44,12
64,18,35,29,27
65,18,35,35,30
66,18,35,14,10
67,18,35,40,43
68,18,35,30,49
69,18,35,24,22
70,18,35,25,27
71,18,35,47,33
72,18,35,42,40
73,18,35,25,49
74,18,35,46,11
75,18,35,10,38
76,18,35,12,42
77,18,35,40,36
78,18,35,38,21
79,18,35,25,13
80,18,35,20,11
81,18,35,29,33
82,18,35,11,36
83,18,35,12,10
84,18,35,48,20
85,18,35,49,29
86,18,35,25,24
87,18,35,33,46
88,18,35,39,49
89,18,35,44,11
90,18,35,15,34
91,18,35,37,37
92,18,35,38,46
93,18,35,21,49
94,18,35,11,46
95,18,35,27,43
96,18,35,43,10
97,18,35,25,15
98,18,35,26,33
99,18,35,42,30
100,18,35,38,48
