,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,13,15,42,31
1,13,15,15,35
2,13,15,15,20
3,13,15,46,34
4,13,15,38,42
5,13,15,38,28
6,13,15,44,20
7,13,15,39,41
8,13,15,37,31
9,13,15,46,29
10,13,15,34,17
11,13,15,39,33
12,13,15,14,38
13,13,15,25,10
14,13,15,47,11
15,13,15,12,15
16,13,15,11,20
17,13,15,19,12
18,13,15,28,42
19,13,15,24,45
20,13,15,17,24
21,13,15,48,10
22,13,15,39,38
23,13,15,19,45
24,13,15,11,41
25,13,15,27,43
26,13,15,45,12
27,13,15,12,31
28,13,15,17,26
29,13,15,48,17
30,13,15,39,10
31,13,15,38,37
32,13,15,31,37
33,13,15,27,12
34,13,15,47,31
35,13,15,46,19
36,13,15,11,48
37,13,15,18,32
38,13,15,10,24
39,13,15,17,35
40,13,15,32,22
41,13,15,23,25
42,13,15,37,23
43,13,15,16,30
44,13,15,13,49
45,13,15,28,17
46,13,15,10,26
47,13,15,25,33
48,13,15,35,38
49,13,15,22,24
50,13,15,14,38
51,13,15,34,10
52,13,15,16,42
53,13,15,22,32
54,13,15,38,18
55,13,15,13,35
56,13,15,15,15
57,13,15,10,25
58,13,15,18,36
59,13,15,31,38
60,13,15,35,22
61,13,15,35,35
62,13,15,43,48
63,13,15,34,22
64,13,15,29,14
65,13,15,35,38
66,13,15,31,38
67,13,15,32,12
68,13,15,31,36
69,13,15,49,36
70,13,15,42,14
71,13,15,10,18
72,13,15,41,29
73,13,15,34,15
74,13,15,20,13
75,13,15,46,25
76,13,15,39,20
77,13,15,15,36
78,13,15,23,39
79,13,15,17,45
80,13,15,45,44
81,13,15,47,20
82,13,15,11,14
83,13,15,32,47
84,13,15,26,16
85,13,15,46,15
86,13,15,14,11
87,13,15,21,33
88,13,15,34,30
89,13,15,31,15
90,13,15,14,29
91,13,15,35,33
92,13,15,21,41
93,13,15,30,28
94,13,15,17,39
95,13,15,44,42
96,13,15,14,25
97,13,15,33,12
98,13,15,30,15
99,13,15,44,37
100,13,15,35,34
101,13,15,40,31
102,13,15,19,38
103,13,15,16,46
104,13,15,25,37
105,13,15,31,29
106,13,15,43,42
107,13,15,15,15
108,13,15,28,19
109,13,15,44,18
110,13,15,19,36
111,13,15,39,10
112,13,15,20,34
113,13,15,32,13
114,13,15,16,47
115,13,15,37,16
116,13,15,44,44
117,13,15,28,37
118,13,15,12,41
119,13,15,49,21
120,13,15,45,25
121,13,15,21,12
122,13,15,14,41
123,13,15,27,48
124,13,15,24,42
125,13,15,30,38
126,13,15,17,25
127,13,15,19,37
128,13,15,40,26
129,13,15,20,41
130,13,15,23,28
131,13,15,17,47
132,13,15,17,13
133,13,15,29,10
134,13,15,33,28
135,13,15,47,26
136,13,15,37,36
137,13,15,43,20
138,13,15,15,48
139,13,15,48,42
140,13,15,19,45
141,13,15,10,41
142,13,15,37,21
143,13,15,33,23
144,13,15,12,44
145,13,15,16,30
146,13,15,39,13
147,13,15,45,39
148,13,15,45,13
149,13,15,31,39
150,13,15,13,45
151,13,15,36,13
152,13,15,30,30
153,13,15,18,43
154,13,15,28,16
155,13,15,18,45
156,13,15,41,24
157,13,15,37,18
158,13,15,44,42
159,13,15,10,18
160,13,15,48,22
161,13,15,23,34
162,13,15,46,44
163,13,15,47,28
164,13,15,26,32
165,13,15,21,42
166,13,15,24,47
167,13,15,20,23
168,13,15,39,20
169,13,15,21,22
170,13,15,47,30
171,13,15,30,34
172,13,15,27,37
173,13,15,27,40
174,13,15,33,49
175,13,15,47,24
176,13,15,43,42
177,13,15,11,35
178,13,15,29,37
179,13,15,23,13
180,13,15,43,16
181,13,15,11,10
182,13,15,40,34
183,13,15,30,34
184,13,15,23,40
185,13,15,17,12
186,13,15,36,45
187,13,15,32,19
188,13,15,44,33
189,13,15,24,24
190,13,15,30,11
191,13,15,39,11
192,13,15,48,19
193,13,15,20,44
194,13,15,29,27
195,13,15,34,10
196,13,15,15,27
197,13,15,15,42
198,13,15,43,48
199,13,15,16,15
200,13,15,20,24
201,13,15,45,29
202,13,15,39,32
203,13,15,17,27
204,13,15,49,29
205,13,15,36,15
206,13,15,10,16
207,13,15,21,11
208,13,15,29,49
209,13,15,44,24
210,13,15,40,16
211,13,15,42,17
212,13,15,19,46
213,13,15,46,16
214,13,15,30,26
215,13,15,39,38
216,13,15,15,29
217,13,15,46,20
218,13,15,29,35
219,13,15,47,22
220,13,15,13,26
221,13,15,15,19
222,13,15,31,30
223,13,15,39,30
224,13,15,36,47
225,13,15,17,26
226,13,15,23,33
227,13,15,43,32
228,13,15,40,29
229,13,15,47,46
230,13,15,34,49
231,13,15,10,21
232,13,15,13,26
233,13,15,32,26
234,13,15,18,12
