,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,1,2,4,3,3,1,1,4,1,2,1,1
1,1,2,4,3,3,1,2,1,2,3,2,1
2,1,2,4,3,3,1,1,3,3,4,1,1
3,1,2,4,3,3,1,3,3,3,4,4,1
4,1,2,4,3,3,1,4,3,4,3,4,2
5,1,2,4,3,3,1,3,1,1,4,3,3
6,1,2,4,3,3,1,2,3,1,3,2,4
7,1,2,4,3,3,1,3,2,3,3,1,1
8,1,2,4,3,3,1,2,2,2,2,4,2
9,1,2,4,3,3,1,2,4,3,1,4,2
10,1,2,4,3,3,1,1,4,3,3,2,2
11,1,2,4,3,3,1,1,2,1,4,1,1
12,1,2,4,3,3,1,4,2,1,3,3,2
13,1,2,4,3,3,1,4,4,1,4,1,2
14,1,2,4,3,3,1,2,2,3,2,3,4
15,1,2,4,3,3,1,4,3,2,2,2,1
16,1,2,4,3,3,1,3,3,3,1,4,4
17,1,2,4,3,3,1,3,4,3,3,1,4
18,1,2,4,3,3,1,2,1,4,2,4,1
19,1,2,4,3,3,1,4,3,2,4,3,2
20,1,2,4,3,3,1,2,4,4,1,4,4
21,1,2,4,3,3,1,2,3,3,4,1,4
22,1,2,4,3,3,1,1,2,1,3,3,3
23,1,2,4,3,3,1,1,3,3,3,1,2
24,1,2,4,3,3,1,4,1,4,3,1,4
25,1,2,4,3,3,1,2,4,4,1,3,3
26,1,2,4,3,3,1,2,4,2,2,4,1
27,1,2,4,3,3,1,1,3,2,4,2,4
28,1,2,4,3,3,1,1,3,1,2,1,2
29,1,2,4,3,3,1,4,2,3,3,4,2
30,1,2,4,3,3,1,3,3,3,3,4,2
31,1,2,4,3,3,1,2,2,2,3,2,2
32,1,2,4,3,3,1,4,3,2,2,1,1
33,1,2,4,3,3,1,4,4,4,2,4,3
34,1,2,4,3,3,1,3,1,3,3,3,3
35,1,2,4,3,3,1,4,2,2,2,4,4
