,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,17,27,21,43
1,17,27,14,45
2,17,27,14,40
3,17,27,14,46
4,17,27,40,30
5,17,27,42,27
6,17,27,20,33
7,17,27,23,20
8,17,27,36,45
9,17,27,21,26
10,17,27,27,41
11,17,27,29,14
12,17,27,31,18
13,17,27,15,42
14,17,27,44,34
15,17,27,20,35
16,17,27,48,41
17,17,27,19,34
18,17,27,29,29
19,17,27,35,19
20,17,27,49,17
21,17,27,42,42
22,17,27,38,24
23,17,27,22,30
24,17,27,26,39
25,17,27,11,24
26,17,27,10,24
27,17,27,28,17
28,17,27,14,39
29,17,27,43,33
30,17,27,30,37
31,17,27,19,31
32,17,27,42,30
33,17,27,33,28
34,17,27,12,29
35,17,27,37,49
36,17,27,24,38
37,17,27,12,43
38,17,27,25,41
39,17,27,37,31
40,17,27,21,30
41,17,27,12,17
42,17,27,49,26
43,17,27,38,19
44,17,27,29,11
45,17,27,30,29
46,17,27,49,21
47,17,27,26,33
48,17,27,24,26
49,17,27,29,18
50,17,27,49,35
51,17,27,30,14
52,17,27,12,26
53,17,27,40,42
54,17,27,37,18
55,17,27,48,48
56,17,27,11,23
57,17,27,29,17
58,17,27,20,34
59,17,27,16,26
60,17,27,12,12
61,17,27,42,23
62,17,27,22,17
63,17,27,25,15
64,17,27,15,30
65,17,27,45,37
66,17,27,30,26
67,17,27,28,30
68,17,27,11,24
69,17,27,15,28
70,17,27,41,18
71,17,27,24,12
72,17,27,13,24
73,17,27,14,49
74,17,27,48,40
75,17,27,19,18
76,17,27,29,27
77,17,27,25,22
78,17,27,43,25
79,17,27,27,32
80,17,27,44,11
81,17,27,31,34
82,17,27,30,40
83,17,27,36,43
84,17,27,36,10
85,17,27,45,42
86,17,27,13,33
87,17,27,46,49
88,17,27,14,30
89,17,27,49,39
90,17,27,20,37
91,17,27,28,18
92,17,27,32,42
93,17,27,28,37
94,17,27,36,26
95,17,27,23,15
96,17,27,17,41
97,17,27,42,11
98,17,27,42,33
99,17,27,40,27
100,17,27,23,39
101,17,27,21,25
102,17,27,10,24
103,17,27,23,36
104,17,27,14,23
105,17,27,23,19
106,17,27,14,10
107,17,27,32,27
108,17,27,23,16
109,17,27,12,10
110,17,27,19,37
111,17,27,25,39
112,17,27,23,29
113,17,27,32,29
114,17,27,34,15
115,17,27,10,12
116,17,27,26,27
117,17,27,44,40
118,17,27,28,38
119,17,27,11,14
120,17,27,36,32
121,17,27,23,39
122,17,27,36,28
123,17,27,46,12
124,17,27,10,49
125,17,27,34,33
126,17,27,45,11
127,17,27,27,32
128,17,27,32,15
129,17,27,24,14
130,17,27,27,34
131,17,27,36,38
132,17,27,11,33
133,17,27,46,20
134,17,27,36,36
135,17,27,28,41
136,17,27,42,43
137,17,27,21,16
138,17,27,45,23
139,17,27,29,13
140,17,27,24,10
141,17,27,11,45
142,17,27,27,45
143,17,27,10,13
144,17,27,14,48
145,17,27,43,26
146,17,27,40,49
147,17,27,48,14
148,17,27,35,18
149,17,27,24,17
150,17,27,16,41
151,17,27,24,37
152,17,27,16,27
153,17,27,28,40
154,17,27,34,23
155,17,27,13,26
156,17,27,36,26
157,17,27,12,49
158,17,27,42,23
159,17,27,11,13
160,17,27,30,34
161,17,27,27,21
162,17,27,20,21
163,17,27,40,36
164,17,27,15,20
165,17,27,21,46
166,17,27,24,41
167,17,27,27,28
168,17,27,36,25
169,17,27,40,39
170,17,27,15,45
171,17,27,23,13
172,17,27,37,34
173,17,27,20,23
174,17,27,47,39
175,17,27,39,29
176,17,27,49,19
177,17,27,49,48
178,17,27,22,37
179,17,27,20,13
180,17,27,11,49
181,17,27,32,28
182,17,27,18,10
183,17,27,18,18
184,17,27,25,36
185,17,27,27,48
186,17,27,48,16
187,17,27,41,37
188,17,27,38,32
189,17,27,26,25
190,17,27,35,46
191,17,27,25,22
192,17,27,26,33
193,17,27,35,45
194,17,27,47,48
195,17,27,25,49
196,17,27,21,13
197,17,27,37,26
198,17,27,33,26
199,17,27,25,37
200,17,27,33,49
201,17,27,21,35
202,17,27,38,39
203,17,27,45,29
204,17,27,20,35
205,17,27,11,40
206,17,27,33,20
207,17,27,17,36
208,17,27,30,39
209,17,27,18,36
210,17,27,48,22
211,17,27,22,16
212,17,27,26,33
213,17,27,12,12
214,17,27,46,13
215,17,27,13,43
216,17,27,42,27
217,17,27,23,37
218,17,27,27,23
219,17,27,39,49
