,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,35,26,20,26
1,35,26,32,29
2,35,26,19,19
3,35,26,45,14
4,35,26,26,23
5,35,26,44,45
6,35,26,26,30
7,35,26,33,23
8,35,26,32,33
9,35,26,39,40
10,35,26,30,19
11,35,26,47,38
12,35,26,28,42
13,35,26,28,45
14,35,26,19,24
15,35,26,11,25
16,35,26,13,41
17,35,26,11,20
18,35,26,10,14
19,35,26,35,30
20,35,26,11,13
21,35,26,27,40
22,35,26,14,14
23,35,26,14,33
24,35,26,34,16
25,35,26,12,10
26,35,26,36,16
27,35,26,33,27
28,35,26,40,13
29,35,26,31,47
30,35,26,48,34
31,35,26,46,23
32,35,26,18,32
33,35,26,19,43
34,35,26,41,46
35,35,26,44,11
36,35,26,21,26
37,35,26,11,25
38,35,26,22,38
39,35,26,25,43
40,35,26,17,35
41,35,26,28,36
42,35,26,10,27
43,35,26,18,28
44,35,26,37,15
45,35,26,14,39
46,35,26,38,29
47,35,26,48,24
48,35,26,19,23
49,35,26,32,31
50,35,26,20,41
51,35,26,35,34
52,35,26,11,21
53,35,26,46,32
54,35,26,16,17
55,35,26,17,38
56,35,26,47,45
57,35,26,10,32
58,35,26,43,32
59,35,26,23,26
60,35,26,19,44
61,35,26,26,27
62,35,26,48,10
63,35,26,17,18
64,35,26,12,43
65,35,26,47,31
66,35,26,47,47
67,35,26,48,45
68,35,26,21,44
69,35,26,32,11
70,35,26,15,25
71,35,26,17,23
72,35,26,42,37
73,35,26,46,16
74,35,26,12,39
75,35,26,49,43
76,35,26,40,45
77,35,26,49,36
78,35,26,24,38
79,35,26,13,47
80,35,26,16,35
81,35,26,36,48
82,35,26,19,42
83,35,26,32,25
84,35,26,48,17
85,35,26,31,22
86,35,26,25,32
87,35,26,12,23
88,35,26,26,20
89,35,26,34,41
90,35,26,25,42
91,35,26,31,14
92,35,26,43,28
93,35,26,26,47
94,35,26,30,27
95,35,26,23,44
96,35,26,41,17
97,35,26,16,15
98,35,26,11,38
99,35,26,12,26
100,35,26,17,48
101,35,26,41,46
102,35,26,48,47
103,35,26,22,35
104,35,26,46,34
105,35,26,19,39
106,35,26,10,14
107,35,26,24,38
108,35,26,11,10
109,35,26,48,44
110,35,26,40,38
111,35,26,45,25
112,35,26,44,45
113,35,26,25,25
114,35,26,13,10
115,35,26,14,34
116,35,26,29,48
117,35,26,11,29
118,35,26,15,43
119,35,26,37,25
120,35,26,42,18
121,35,26,19,16
122,35,26,35,41
123,35,26,12,19
124,35,26,20,47
125,35,26,11,15
126,35,26,17,40
127,35,26,46,11
128,35,26,46,47
129,35,26,18,41
130,35,26,11,42
131,35,26,39,32
132,35,26,11,12
133,35,26,36,26
134,35,26,10,46
135,35,26,13,31
136,35,26,45,28
137,35,26,31,15
138,35,26,30,37
139,35,26,42,11
140,35,26,20,31
141,35,26,10,22
142,35,26,23,47
143,35,26,13,45
144,35,26,41,21
145,35,26,39,40
146,35,26,18,36
147,35,26,35,17
148,35,26,41,44
149,35,26,38,44
150,35,26,45,39
151,35,26,33,20
152,35,26,41,19
153,35,26,45,32
154,35,26,28,11
155,35,26,32,48
156,35,26,47,35
157,35,26,34,23
158,35,26,18,28
159,35,26,24,41
160,35,26,25,41
161,35,26,25,49
162,35,26,47,20
163,35,26,16,10
164,35,26,44,42
165,35,26,35,30
