,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,3,2,2,2,3,3,2,1,4,4,1,4
1,3,2,2,2,3,3,4,1,4,3,3,3
2,3,2,2,2,3,3,2,3,3,1,2,2
3,3,2,2,2,3,3,1,4,1,1,4,1
4,3,2,2,2,3,3,1,3,4,3,4,3
5,3,1,2,4,4,1,3,2,2,4,2,2
6,3,1,2,4,3,1,3,4,2,1,1,3
7,3,1,2,4,3,1,3,2,1,1,2,3
8,3,1,2,4,3,1,2,3,1,1,4,4
9,3,1,2,4,3,1,3,1,4,1,3,3
10,3,1,2,4,3,1,4,1,3,3,4,4
11,3,1,2,4,3,1,2,2,1,4,4,2
12,3,1,2,4,3,1,1,1,2,1,4,4
13,3,2,2,3,3,4,4,3,3,2,3,2
14,3,2,2,3,3,4,2,1,4,3,4,1
15,2,1,2,3,4,2,4,1,3,4,1,3
16,2,1,2,3,4,2,4,4,3,3,3,2
17,2,1,2,3,4,2,3,2,2,1,4,2
18,2,1,2,3,3,1,2,1,3,4,4,3
19,2,4,2,3,3,1,1,3,3,1,4,3
20,2,4,2,3,3,1,2,1,3,2,2,3
21,2,4,2,3,3,1,4,3,3,4,4,2
22,2,4,4,3,3,1,1,4,3,2,2,4
23,2,4,4,3,2,1,2,1,2,1,4,2
24,2,4,4,3,2,1,1,3,3,4,1,1
25,2,1,2,3,4,1,2,1,2,3,2,2
26,2,1,2,3,4,1,3,1,4,3,2,4
27,2,1,2,3,4,2,1,1,1,3,3,4
28,3,1,2,4,3,4,2,3,4,3,3,3
29,3,2,2,4,4,3,4,3,2,3,1,1
30,3,2,2,4,3,1,1,3,4,4,1,4
31,3,2,2,4,3,1,3,3,4,1,1,3
32,3,2,2,4,3,1,4,3,3,1,2,2
33,3,1,2,4,3,1,2,1,4,1,3,4
34,4,1,2,4,3,1,1,2,4,3,1,1
35,3,1,2,4,3,1,2,1,4,1,3,3
36,3,1,2,4,3,1,1,2,2,2,4,2
37,3,1,2,4,3,1,4,4,4,2,2,2
38,3,1,2,4,3,1,4,2,2,1,4,4
39,3,1,2,4,3,1,3,2,2,3,4,1
40,2,2,2,4,4,2,2,4,4,3,1,1
41,3,2,2,4,3,1,1,4,3,2,1,3
42,3,1,2,4,3,1,3,1,2,4,1,3
43,3,2,2,4,4,3,2,3,3,4,2,2
44,3,2,2,4,4,3,1,3,3,1,3,1
45,3,1,2,4,3,1,4,4,4,3,3,4
46,4,1,2,3,1,1,1,2,3,1,1,4
47,4,1,2,3,1,1,2,3,1,3,1,3
48,4,1,2,3,1,1,1,4,1,3,1,3
49,4,1,2,3,1,1,4,1,4,4,2,2
50,4,1,2,3,1,1,1,1,3,1,4,1
51,4,1,2,3,1,1,3,4,4,3,4,2
52,3,1,2,4,1,1,3,3,4,1,2,1
53,4,1,2,4,1,1,4,4,1,1,3,4
54,4,1,2,3,1,1,3,3,4,2,1,3
55,4,1,2,3,1,1,4,3,1,4,1,2
56,4,1,2,4,1,1,2,1,1,4,2,1
57,4,1,2,3,1,1,1,2,4,1,4,4
58,4,1,2,3,1,1,1,2,4,4,1,2
59,4,1,2,3,1,1,1,3,4,2,3,2
60,4,1,2,1,1,1,4,4,4,2,3,2
61,4,1,2,1,1,1,1,3,3,2,1,4
62,4,1,2,1,1,1,1,4,1,3,3,1
63,4,1,2,1,1,1,1,4,3,1,1,2
64,4,1,2,1,1,1,4,1,1,4,1,4
65,4,1,2,3,1,1,1,3,1,4,4,3
66,4,1,2,3,1,1,3,1,2,4,3,1
67,4,1,2,3,1,1,2,4,3,2,4,3
68,4,1,2,3,1,1,2,2,1,2,4,4
69,4,1,2,3,1,1,1,2,4,4,3,3
70,4,1,2,3,1,1,1,1,3,4,2,2
71,4,1,2,1,1,1,3,2,2,3,2,3
72,4,1,4,1,1,1,3,2,3,2,4,2
73,4,1,2,1,1,1,2,4,2,2,1,3
74,4,1,2,1,1,1,1,1,3,4,1,4
75,4,1,2,1,1,1,4,2,1,1,3,2
76,4,1,2,1,1,1,1,2,1,1,3,4
77,2,1,2,1,1,1,3,1,3,1,2,4
78,2,1,2,4,1,1,1,4,4,4,1,2
79,2,1,2,4,1,1,2,3,2,3,2,1
80,2,1,2,4,1,1,1,4,1,3,2,1
81,2,1,2,3,4,1,3,2,3,4,3,2
82,2,1,2,3,4,1,1,2,2,2,2,3
83,2,1,2,3,4,2,4,3,3,1,4,3
84,2,1,2,4,4,2,4,2,4,1,4,2
85,2,1,2,4,4,1,2,3,3,1,4,3
86,2,1,2,3,4,2,4,2,2,2,3,4
87,2,1,2,3,4,2,1,4,1,1,1,1
88,2,1,2,3,4,1,1,2,3,3,3,4
89,3,1,2,4,3,1,1,3,2,2,2,2
90,3,2,2,4,3,1,3,2,2,1,2,4
91,2,1,2,3,4,1,2,4,4,1,3,3
92,2,1,2,3,4,1,3,1,1,1,3,3
93,2,1,2,3,4,1,2,1,1,4,4,1
94,2,1,2,3,4,1,4,2,1,4,2,4
95,4,1,2,3,1,1,3,3,1,3,3,1
96,4,1,2,3,1,1,1,2,3,1,2,1
97,4,1,2,3,1,1,2,4,2,1,4,3
98,4,1,4,3,1,1,2,2,3,4,3,2
99,4,1,2,3,1,1,2,3,4,4,1,4
100,4,1,2,3,1,1,3,1,2,1,2,1
101,2,4,2,4,4,2,2,1,2,4,3,1
102,2,1,2,3,4,1,4,3,4,3,3,3
103,4,1,2,3,1,1,3,2,3,1,2,4
104,4,1,2,3,1,1,4,4,1,3,1,4
105,2,1,2,3,4,2,4,2,1,3,1,2
106,2,1,2,3,4,2,4,4,2,2,2,2
107,2,1,2,3,4,2,4,3,4,2,3,3
108,2,1,2,3,4,1,2,3,3,1,1,2
109,2,1,2,3,4,1,2,4,2,3,4,3
110,2,1,2,3,4,1,3,2,2,2,1,3
111,2,1,2,3,1,1,1,2,3,4,3,1
112,4,1,2,3,1,1,3,3,2,2,4,4
113,4,1,2,3,1,1,2,2,3,3,2,3
114,4,1,2,3,1,1,4,2,4,4,4,4
115,4,1,2,3,1,1,1,3,3,4,4,3
116,4,1,2,3,1,1,1,3,2,3,4,2
117,4,1,2,3,1,1,3,3,2,4,2,4
118,4,1,2,3,1,1,4,4,3,1,3,2
119,4,1,2,3,1,1,4,2,3,3,3,2
120,2,1,2,3,4,1,3,2,3,1,1,3
121,2,1,2,3,4,1,1,2,2,3,4,3
122,4,1,2,3,1,1,2,4,2,1,2,1
123,4,1,4,3,1,1,4,1,3,4,4,2
124,4,1,2,3,1,1,2,1,2,2,3,4
125,4,1,2,4,1,1,2,1,3,2,1,3
126,2,1,2,3,4,1,4,3,4,4,2,2
127,2,1,2,3,4,1,4,4,3,4,2,4
128,4,1,2,3,1,1,2,3,1,1,3,1
129,4,1,4,1,1,1,4,2,2,3,4,3
130,4,1,4,1,1,1,2,3,2,4,2,3
131,4,1,4,1,1,1,2,4,2,2,3,4
132,4,1,4,3,1,1,2,2,3,1,1,3
133,4,1,4,3,1,1,1,2,2,2,2,4
134,4,1,4,3,1,1,4,1,2,3,3,2
135,4,1,4,1,1,1,1,2,2,3,1,4
136,4,1,4,2,1,1,4,4,4,4,3,1
137,4,1,2,3,4,1,1,4,4,1,4,2
138,2,1,2,3,4,1,3,2,1,1,1,4
139,2,1,2,3,4,1,3,2,1,2,4,1
140,4,1,2,3,1,1,1,1,2,4,4,3
141,4,1,4,3,1,1,1,1,2,3,2,1
142,4,1,4,2,3,1,4,4,4,3,4,1
143,4,1,4,2,3,1,4,1,4,4,1,3
144,4,1,2,3,1,1,3,4,3,4,3,2
145,4,1,2,3,1,1,1,3,3,3,1,4
146,2,1,2,3,4,1,1,3,3,4,2,1
147,2,1,2,3,4,1,2,1,3,2,3,1
148,2,1,2,3,4,2,1,1,2,3,2,4
149,2,1,2,3,4,1,2,1,2,2,4,1
150,2,1,2,3,4,1,4,1,2,1,2,3
151,2,1,2,3,4,1,2,2,1,4,2,3
152,4,1,2,3,1,1,2,1,3,1,4,1
153,2,4,2,4,4,2,1,1,2,4,4,1
154,2,1,2,4,4,1,1,4,4,2,3,2
155,4,1,4,2,1,1,3,2,3,2,3,4
156,4,1,4,2,4,1,3,3,1,3,4,1
157,4,1,2,2,1,1,3,1,3,3,3,1
158,4,1,4,1,1,1,3,2,3,1,4,1
159,4,1,4,1,1,1,3,1,1,4,3,4
160,4,1,4,1,1,1,2,1,3,2,3,2
161,4,1,4,1,1,1,4,1,1,2,4,4
162,4,1,4,3,1,1,2,2,1,2,3,4
163,4,1,4,3,1,1,2,1,1,2,2,2
164,4,1,4,3,1,1,2,4,2,4,4,2
165,4,1,4,3,1,1,1,4,1,4,2,2
166,4,1,4,2,4,1,2,1,1,3,2,3
167,2,1,4,2,4,1,3,4,2,3,1,2
168,4,1,2,3,4,1,2,4,4,3,1,2
169,2,1,2,3,4,1,4,3,4,3,3,4
170,2,1,2,3,4,1,4,1,4,4,2,3
