,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,4,3,2,2,3,1,1,3,4,1,1,4
1,4,3,2,2,3,1,3,2,2,4,3,3
2,4,3,2,2,3,1,2,4,2,3,4,4
3,4,3,2,2,3,1,2,3,3,1,4,1
4,4,3,2,2,3,1,4,4,2,2,3,1
5,4,3,2,2,3,1,2,3,3,3,3,1
6,4,3,2,2,3,1,3,3,3,1,3,4
7,4,3,2,2,3,1,3,3,2,2,1,2
8,4,3,2,2,3,1,3,4,3,1,1,3
9,4,3,2,2,3,1,4,2,2,4,4,2
10,4,3,2,2,3,1,2,3,1,4,1,2
11,4,3,2,2,3,1,1,4,1,3,4,4
12,4,3,2,2,3,1,2,4,3,3,1,2
13,4,3,2,2,3,1,3,2,3,1,4,1
14,4,3,2,2,3,1,1,2,2,2,1,1
15,4,3,2,2,3,1,3,1,1,4,3,2
16,4,3,2,2,3,1,3,4,4,4,1,3
17,4,3,2,2,3,1,1,3,1,4,1,4
18,4,3,2,2,3,1,4,4,4,3,4,2
19,4,3,2,2,3,1,2,3,3,4,2,3
20,4,3,2,2,3,1,1,1,3,2,1,2
21,4,3,2,2,3,1,2,2,3,3,2,1
22,4,3,2,2,3,1,1,4,2,4,3,2
23,4,3,2,2,3,1,3,1,1,3,1,3
24,4,3,2,2,3,1,4,1,4,4,4,1
25,4,3,2,2,3,1,2,1,3,4,2,4
26,4,3,2,2,3,1,4,2,4,1,1,2
27,4,3,2,2,3,1,1,1,1,1,3,3
28,4,3,2,2,3,1,1,2,3,3,2,1
29,4,3,2,2,3,1,1,4,3,1,1,1
30,4,3,2,2,3,1,1,1,1,3,4,4
31,4,3,2,2,3,1,4,4,1,1,1,4
32,4,3,2,2,3,1,3,4,3,4,3,4
33,4,3,2,2,3,1,1,1,4,1,3,2
34,4,3,2,2,3,1,2,3,1,3,3,1
35,4,3,2,2,3,1,3,4,3,3,1,2
36,4,3,2,2,3,1,3,3,2,3,1,1
37,4,3,2,2,3,1,1,3,1,1,2,3
38,4,3,2,2,3,1,3,1,3,4,3,4
39,4,3,2,2,3,1,2,4,2,2,4,3
40,4,3,2,2,3,1,1,2,4,2,2,4
41,4,3,2,2,3,1,2,2,4,4,4,4
42,4,3,2,2,3,1,3,1,1,2,3,2
43,4,3,2,2,3,1,1,4,3,3,2,1
44,4,3,2,2,3,1,1,3,1,4,4,3
45,4,3,2,2,3,1,2,4,4,2,3,2
46,4,3,2,2,3,1,3,2,4,1,4,2
47,4,3,2,2,3,1,3,1,1,3,2,4
48,4,3,2,2,3,1,1,1,1,4,2,4
49,4,3,2,2,3,1,1,4,3,1,3,3
50,4,3,2,2,3,1,4,2,1,2,2,1
51,4,3,2,2,3,1,4,2,2,4,4,3
52,4,3,2,2,3,1,2,4,1,3,3,4
53,4,3,2,2,3,1,3,1,1,3,1,4
54,4,3,2,2,3,1,4,4,3,3,1,4
55,4,3,2,2,3,1,3,4,4,3,4,3
56,4,3,2,2,3,1,3,4,2,3,1,2
57,4,3,2,2,3,1,3,1,1,2,2,1
58,4,3,2,2,3,1,4,4,3,3,1,2
59,4,3,2,2,3,1,2,1,2,1,4,4
60,4,3,2,2,3,1,4,2,4,3,2,4
61,4,3,2,2,3,1,3,2,1,4,4,3
62,4,3,2,2,3,1,2,3,2,2,2,3
63,4,3,2,2,3,1,2,1,3,1,1,4
64,4,3,2,2,3,1,4,1,2,4,3,2
65,4,3,2,2,3,1,3,1,4,2,1,1
66,4,3,2,2,3,1,2,4,1,4,4,1
67,4,3,2,2,3,1,1,3,3,4,3,3
68,4,3,2,2,3,1,3,4,1,4,2,2
69,4,3,2,2,3,1,3,2,1,1,2,1
70,4,3,2,2,3,1,4,2,3,4,1,2
71,4,3,2,2,3,1,3,4,2,1,1,3
72,4,3,2,2,3,1,1,4,1,4,1,1
73,4,3,2,2,3,1,3,2,3,2,1,4
74,4,3,2,2,3,1,2,4,2,4,2,3
75,4,3,2,2,3,1,4,2,2,3,4,1
76,4,3,2,2,3,1,4,2,3,1,1,2
77,4,3,2,2,3,1,1,2,3,3,2,2
78,4,3,2,2,3,1,3,4,3,3,3,2
79,4,3,2,2,3,1,3,4,1,3,4,1
80,4,3,2,2,3,1,1,3,2,4,3,2
81,4,3,2,2,3,1,4,1,1,3,4,1
82,4,3,2,2,3,1,4,4,3,2,2,1
83,4,3,2,2,3,1,2,3,1,2,2,4
84,4,3,2,2,3,1,2,4,4,3,3,3
85,4,3,2,2,3,1,4,2,2,2,2,1
86,4,3,2,2,3,1,1,3,4,4,2,3
87,4,3,2,2,3,1,3,4,2,2,4,2
88,4,3,2,2,3,1,2,2,4,1,4,4
89,4,3,2,2,3,1,4,2,4,1,4,4
90,4,3,2,2,3,1,3,1,1,2,3,3
91,4,3,2,2,3,1,2,1,3,4,4,4
92,4,3,2,2,3,1,3,3,1,2,1,1
93,4,3,2,2,3,1,4,2,1,2,4,1
94,4,3,2,2,3,1,3,4,1,1,2,4
95,4,3,2,2,3,1,2,4,2,3,4,2
96,4,3,2,2,3,1,3,2,2,4,1,1
97,4,3,2,2,3,1,3,2,1,4,2,3
98,4,3,2,2,3,1,1,4,3,3,2,2
99,4,3,2,2,3,1,2,1,4,1,3,4
100,4,3,2,2,3,1,1,1,1,2,4,4
101,4,3,2,2,3,1,3,2,4,2,1,1
102,4,3,2,2,3,1,3,3,3,2,3,3
103,4,3,2,2,3,1,4,2,1,1,2,2
104,4,3,2,2,3,1,4,3,2,1,3,1
105,4,3,2,2,3,1,3,3,1,1,2,2
106,4,3,2,2,3,1,4,4,4,2,3,2
107,4,3,2,2,3,1,4,3,2,3,4,4
108,4,3,2,2,3,1,1,4,3,4,2,1
109,4,3,2,2,3,1,4,1,3,1,4,3
110,4,3,2,2,3,1,1,3,3,1,1,3
111,4,3,2,2,3,1,2,1,4,3,2,3
112,4,3,2,2,3,1,3,3,2,3,3,4
113,4,3,2,2,3,1,4,2,1,4,3,3
114,4,3,2,2,3,1,2,3,3,4,3,3
115,4,3,2,2,3,1,1,1,2,2,4,2
116,4,3,2,2,3,1,3,2,2,3,1,1
