,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,32.0,10.0,31.0,11.0
1,32.0,10.0,27.0,17.0
2,32.0,10.0,32.0,10.0
3,32.0,10.0,27.0,17.0
4,32.0,10.0,27.0,17.0
5,32.0,10.0,32.0,10.0
6,32.0,10.0,32.0,10.0
7,32.0,10.0,30.0,13.0
8,32.0,10.0,30.0,13.0
9,32.0,10.0,31.0,11.0
10,32.0,10.0,31.0,11.0
11,32.0,10.0,27.0,17.0
12,32.0,10.0,31.0,11.0
13,32.0,10.0,30.0,13.0
14,32.0,10.0,30.0,13.0
15,32.0,10.0,31.0,11.0
16,32.0,10.0,27.0,17.0
17,32.0,10.0,32.0,10.0
18,32.0,10.0,31.0,11.0
19,32.0,10.0,30.0,13.0
20,32.0,10.0,30.0,13.0
21,32.0,10.0,27.0,17.0
22,31.0,17.0,30.0,13.0
23,27.0,17.0,27.0,17.0
24,32.0,10.0,32.0,10.0
25,32.0,10.0,27.0,17.0
26,32.0,10.0,31.0,11.0
27,32.0,10.0,27.0,17.0
28,32.0,10.0,32.0,10.0
29,32.0,10.0,27.0,17.0
30,32.0,10.0,32.0,10.0
31,32.0,10.0,27.0,17.0
32,32.0,10.0,32.0,10.0
33,32.0,10.0,32.0,10.0
34,32.0,10.0,30.0,13.0
35,32.0,10.0,31.0,11.0
36,32.0,10.0,31.0,11.0
37,32.0,10.0,32.0,10.0
38,32.0,10.0,31.0,11.0
39,32.0,10.0,32.0,10.0
40,32.0,10.0,30.0,13.0
41,27.0,17.0,32.0,10.0
42,27.0,17.0,31.0,11.0
43,27.0,17.0,27.0,17.0
44,27.0,17.0,31.0,11.0
45,27.0,17.0,30.0,13.0
46,27.0,17.0,31.0,11.0
47,27.0,17.0,32.0,10.0
48,27.0,17.0,31.0,11.0
49,27.0,17.0,30.0,13.0
50,27.0,17.0,30.0,13.0
51,27.0,17.0,27.0,17.0
52,27.0,10.0,27.0,17.0
53,27.0,17.0,27.0,17.0
