,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,14,12,40,42
1,14,12,31,34
2,14,12,48,22
3,14,12,13,45
4,14,12,45,10
5,14,12,12,30
6,14,12,28,44
7,14,12,31,27
8,14,12,42,17
9,14,12,38,45
10,14,12,39,29
11,14,12,41,20
12,14,12,22,12
13,14,12,44,39
14,14,12,29,23
15,14,12,49,10
16,14,12,43,45
17,14,12,11,21
18,14,12,29,36
19,14,12,29,40
20,14,12,28,45
21,14,12,17,16
22,14,12,35,40
23,14,12,16,32
24,14,12,30,15
25,14,12,29,13
26,14,12,22,40
27,14,12,44,20
28,14,12,46,38
29,14,12,36,27
30,14,12,43,47
31,14,12,24,10
32,14,12,18,37
33,14,12,40,49
34,14,12,40,41
35,14,12,14,39
36,14,12,12,35
37,14,12,39,33
38,14,12,25,33
39,14,12,12,43
40,14,12,45,11
41,14,12,49,39
42,14,12,40,41
43,14,12,22,19
44,14,12,32,46
45,14,12,32,38
46,14,12,17,28
47,14,12,14,31
48,14,12,39,38
49,14,12,31,38
50,14,12,25,13
51,14,12,34,35
52,14,12,15,36
53,14,12,30,44
54,14,12,34,13
55,14,12,18,45
56,14,12,29,14
57,14,12,23,16
58,14,12,17,10
59,14,12,32,10
60,14,12,12,23
61,14,12,34,19
62,14,12,11,42
63,14,12,38,33
64,14,12,30,30
65,14,12,32,26
66,14,12,33,23
67,14,12,48,18
68,14,12,31,36
69,14,12,13,42
70,14,12,35,13
71,14,12,37,29
72,14,12,21,41
73,14,12,34,40
74,14,12,36,20
75,14,12,19,27
76,14,12,17,11
77,14,12,13,19
78,14,12,41,30
79,14,12,27,42
80,14,12,21,25
81,14,12,15,48
82,14,12,23,45
83,14,12,38,16
84,14,12,12,46
85,14,12,22,40
86,14,12,23,16
87,14,12,25,18
88,14,12,41,19
89,14,12,35,38
90,14,12,17,10
91,14,12,11,31
92,14,12,23,41
93,14,12,41,13
94,14,12,38,29
95,14,12,15,26
96,14,12,15,42
97,14,12,17,10
98,14,12,16,47
99,14,12,36,46
100,14,12,47,21
101,14,12,31,33
102,14,12,46,14
103,14,12,33,20
104,14,12,47,15
105,14,12,47,19
106,14,12,25,27
107,14,12,22,12
108,14,12,15,34
109,14,12,32,26
110,14,12,43,34
111,14,12,13,20
112,14,12,28,32
113,14,12,35,17
114,14,12,39,20
115,14,12,15,45
116,14,12,41,27
117,14,12,39,11
118,14,12,46,30
119,14,12,22,28
120,14,12,24,42
121,14,12,21,42
122,14,12,41,38
123,14,12,20,47
124,14,12,14,33
125,14,12,46,38
126,14,12,49,43
127,14,12,12,23
128,14,12,45,38
129,14,12,37,25
130,14,12,30,35
131,14,12,43,10
132,14,12,29,28
133,14,12,15,17
134,14,12,38,48
135,14,12,44,19
136,14,12,33,33
137,14,12,16,45
138,14,12,37,13
139,14,12,44,18
140,14,12,25,31
141,14,12,10,26
142,14,12,39,42
143,14,12,41,36
144,14,12,43,36
145,14,12,11,36
146,14,12,33,19
147,14,12,37,33
148,14,12,42,25
149,14,12,34,21
150,14,12,47,36
151,14,12,27,44
152,14,12,29,33
153,14,12,31,24
154,14,12,19,36
155,14,12,40,33
156,14,12,41,29
157,14,12,27,44
158,14,12,19,22
159,14,12,35,11
160,14,12,28,30
161,14,12,40,15
162,14,12,17,18
163,14,12,27,15
164,14,12,34,49
165,14,12,32,18
166,14,12,20,35
167,14,12,39,15
168,14,12,40,18
169,14,12,41,24
170,14,12,46,19
171,14,12,16,10
172,14,12,37,18
173,14,12,19,38
174,14,12,41,25
175,14,12,36,25
176,14,12,18,39
177,14,12,48,12
178,14,12,23,17
179,14,12,47,31
180,14,12,25,12
181,14,12,15,14
182,14,12,28,43
183,14,12,36,23
184,14,12,12,42
185,14,12,42,32
186,14,12,12,43
187,14,12,47,11
188,14,12,19,49
189,14,12,28,32
190,14,12,39,39
191,14,12,25,23
192,14,12,47,35
193,14,12,18,38
194,14,12,27,38
195,14,12,47,43
196,14,12,41,25
197,14,12,12,22
198,14,12,16,37
199,14,12,14,10
200,14,12,43,18
201,14,12,12,41
202,14,12,20,24
203,14,12,23,25
204,14,12,12,26
205,14,12,44,28
206,14,12,34,43
207,14,12,23,19
208,14,12,46,14
209,14,12,29,11
210,14,12,12,36
211,14,12,25,25
212,14,12,19,42
213,14,12,19,22
214,14,12,45,46
215,14,12,11,28
216,14,12,42,17
217,14,12,49,24
218,14,12,45,36
219,14,12,15,17
220,14,12,40,38
221,14,12,14,45
222,14,12,11,46
223,14,12,44,48
224,14,12,28,13
225,14,12,38,42
226,14,12,12,23
227,14,12,46,30
228,14,12,49,49
229,14,12,44,22
230,14,12,23,21
231,14,12,40,38
232,14,12,32,28
233,14,12,35,16
234,14,12,21,38
235,14,12,43,49
236,14,12,30,22
237,14,12,31,43
238,14,12,46,22
239,14,12,33,38
240,14,12,48,27
241,14,12,32,21
242,14,12,23,41
243,14,12,28,28
244,14,12,26,17
245,14,12,34,40
246,14,12,19,11
247,14,12,10,28
248,14,12,34,35
249,14,12,40,32
250,14,12,23,14
251,14,12,16,22
252,14,12,19,49
253,14,12,16,48
254,14,12,32,37
255,14,12,14,28
256,14,12,29,35
257,14,12,22,15
258,14,12,38,18
259,14,12,21,28
260,14,12,31,30
261,14,12,38,23
262,14,12,24,28
263,14,12,34,39
264,14,12,39,32
265,14,12,29,21
266,14,12,39,24
267,14,12,17,28
268,14,12,19,32
269,14,12,34,11
270,14,12,30,25
271,14,12,38,38
272,14,12,46,48
273,14,12,45,48
274,14,12,44,27
275,14,12,18,45
276,14,12,27,20
277,14,12,29,25
278,14,12,45,39
279,14,12,43,35
280,14,12,48,19
281,14,12,16,49
282,14,12,24,17
283,14,12,34,27
284,14,12,18,28
285,14,12,15,37
286,14,12,24,24
287,14,12,27,22
288,14,12,45,36
289,14,12,45,24
290,14,12,28,34
291,14,12,47,48
292,14,12,34,11
293,14,12,24,40
294,14,12,40,39
295,14,12,23,19
296,14,12,19,48
297,14,12,47,36
298,14,12,37,19
299,14,12,19,23
300,14,12,40,10
301,14,12,29,33
302,14,12,48,38
303,14,12,47,20
304,14,12,15,46
305,14,12,42,19
306,14,12,41,33
307,14,12,46,28
308,14,12,25,22
309,14,12,39,12
310,14,12,24,43
311,14,12,49,28
312,14,12,32,40
313,14,12,15,36
314,14,12,19,11
315,14,12,48,12
316,14,12,16,33
317,14,12,47,38
318,14,12,18,44
319,14,12,47,23
320,14,12,39,27
321,14,12,38,24
322,14,12,12,36
323,14,12,11,48
324,14,12,15,31
325,14,12,40,39
326,14,12,17,23
327,14,12,25,27
328,14,12,31,27
329,14,12,38,42
330,14,12,40,15
331,14,12,47,40
332,14,12,16,48
333,14,12,17,19
334,14,12,34,37
335,14,12,22,41
336,14,12,33,21
337,14,12,28,47
338,14,12,28,37
339,14,12,40,30
340,14,12,15,49
341,14,12,46,46
342,14,12,16,27
343,14,12,21,48
344,14,12,43,22
345,14,12,16,41
346,14,12,33,36
347,14,12,36,16
348,14,12,45,20
349,14,12,18,15
350,14,12,28,48
351,14,12,38,36
352,14,12,48,17
353,14,12,12,19
354,14,12,18,41
355,14,12,32,32
356,14,12,21,22
357,14,12,43,42
358,14,12,36,14
359,14,12,14,18
360,14,12,17,10
361,14,12,15,34
362,14,12,40,48
363,14,12,41,30
364,14,12,15,41
365,14,12,17,22
366,14,12,33,18
367,14,12,40,42
368,14,12,39,43
369,14,12,10,21
370,14,12,41,46
371,14,12,39,18
372,14,12,19,32
373,14,12,40,28
374,14,12,34,36
375,14,12,44,16
376,14,12,16,19
377,14,12,44,17
378,14,12,36,24
379,14,12,29,32
380,14,12,17,22
381,14,12,25,47
382,14,12,42,46
383,14,12,33,48
384,14,12,18,17
385,14,12,30,46
386,14,12,12,19
387,14,12,35,29
388,14,12,34,22
389,14,12,46,14
390,14,12,29,14
