,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,27.0,17.0,27.0,17.0
1,27.0,17.0,32.0,10.0
2,27.0,17.0,30.0,13.0
3,27.0,17.0,31.0,11.0
4,27.0,17.0,31.0,11.0
5,27.0,17.0,27.0,17.0
6,32.0,10.0,31.0,11.0
7,32.0,10.0,31.0,11.0
8,32.0,10.0,31.0,11.0
9,32.0,10.0,32.0,10.0
10,27.0,17.0,27.0,17.0
11,27.0,17.0,27.0,17.0
12,32.0,10.0,31.0,11.0
13,27.0,17.0,31.0,11.0
14,27.0,17.0,32.0,10.0
15,27.0,17.0,32.0,10.0
16,27.0,17.0,31.0,11.0
17,27.0,17.0,27.0,17.0
18,27.0,17.0,27.0,17.0
19,27.0,17.0,32.0,10.0
20,27.0,17.0,32.0,10.0
21,27.0,10.0,27.0,17.0
22,27.0,17.0,32.0,10.0
23,27.0,17.0,27.0,17.0
24,27.0,17.0,32.0,10.0
25,32.0,10.0,27.0,17.0
26,32.0,10.0,30.0,13.0
27,32.0,10.0,27.0,17.0
28,32.0,10.0,32.0,10.0
29,32.0,10.0,31.0,11.0
30,32.0,10.0,30.0,13.0
31,32.0,10.0,30.0,13.0
32,32.0,10.0,32.0,10.0
33,32.0,10.0,30.0,13.0
34,32.0,10.0,31.0,11.0
35,32.0,10.0,30.0,13.0
36,32.0,10.0,27.0,17.0
37,32.0,10.0,32.0,10.0
38,32.0,10.0,31.0,11.0
39,32.0,10.0,30.0,13.0
40,32.0,10.0,30.0,13.0
41,27.0,17.0,32.0,10.0
42,27.0,17.0,27.0,17.0
43,27.0,17.0,32.0,10.0
44,27.0,17.0,32.0,10.0
45,27.0,17.0,32.0,10.0
46,27.0,17.0,27.0,17.0
47,27.0,17.0,30.0,13.0
48,27.0,17.0,32.0,10.0
49,27.0,17.0,30.0,13.0
50,27.0,17.0,27.0,17.0
51,27.0,17.0,31.0,11.0
52,27.0,17.0,31.0,11.0
53,27.0,17.0,32.0,10.0
54,27.0,17.0,27.0,17.0
55,32.0,10.0,32.0,10.0
56,32.0,10.0,32.0,10.0
57,32.0,10.0,32.0,10.0
58,32.0,10.0,30.0,13.0
59,32.0,10.0,32.0,10.0
60,32.0,10.0,30.0,13.0
61,32.0,10.0,27.0,17.0
62,32.0,10.0,27.0,17.0
63,32.0,10.0,27.0,17.0
64,32.0,10.0,31.0,11.0
65,32.0,10.0,27.0,17.0
66,32.0,10.0,30.0,13.0
67,32.0,10.0,27.0,17.0
68,32.0,10.0,27.0,17.0
69,30.0,13.0,27.0,17.0
70,30.0,13.0,27.0,17.0
71,30.0,13.0,27.0,17.0
72,32.0,10.0,27.0,17.0
73,32.0,10.0,30.0,13.0
74,32.0,10.0,31.0,11.0
75,32.0,10.0,31.0,11.0
76,32.0,10.0,31.0,11.0
77,32.0,10.0,31.0,11.0
78,32.0,10.0,30.0,13.0
79,32.0,10.0,32.0,10.0
80,32.0,10.0,32.0,10.0
81,32.0,10.0,31.0,11.0
82,32.0,10.0,31.0,11.0
83,32.0,10.0,31.0,11.0
84,32.0,10.0,31.0,11.0
85,32.0,10.0,31.0,11.0
86,32.0,10.0,32.0,10.0
87,32.0,10.0,32.0,10.0
88,32.0,10.0,32.0,10.0
89,32.0,10.0,32.0,10.0
90,32.0,10.0,32.0,10.0
91,32.0,10.0,32.0,10.0
92,32.0,10.0,31.0,11.0
93,32.0,10.0,30.0,13.0
94,32.0,10.0,32.0,10.0
95,32.0,10.0,27.0,17.0
