,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,4,2,1,4,4,2,2,3,2,4,1,3
1,4,2,1,4,4,2,2,3,2,2,1,3
2,4,2,1,4,4,2,3,3,2,1,4,2
3,4,2,1,4,4,2,2,3,4,3,1,1
4,1,2,1,4,4,2,4,2,1,2,1,1
5,1,2,1,2,4,3,2,4,3,1,1,1
6,4,2,2,1,4,3,2,3,4,4,2,3
7,4,2,2,1,4,3,2,3,1,3,3,4
8,4,2,2,1,4,4,1,1,1,3,1,3
9,4,2,2,1,4,4,2,3,2,3,2,1
10,4,2,2,1,4,4,3,3,3,4,3,2
11,4,2,2,1,4,3,4,1,4,1,3,2
12,4,2,2,1,4,3,3,4,4,2,3,4
13,1,2,1,4,4,3,4,3,3,1,3,1
14,1,1,1,4,2,3,1,3,3,2,4,1
15,1,2,1,4,4,2,3,1,4,1,4,3
16,4,2,1,4,4,2,1,2,3,4,4,3
17,4,2,1,4,4,2,1,1,2,1,1,1
18,4,2,1,4,4,2,3,2,2,2,4,4
19,1,2,1,4,4,2,3,1,3,2,4,3
20,1,2,1,4,4,2,4,4,1,2,2,1
21,1,2,1,4,4,2,1,3,4,4,3,4
22,1,2,1,4,4,2,2,1,2,1,4,1
23,1,1,1,4,2,4,2,1,4,4,3,1
24,1,1,1,4,2,4,3,4,3,3,1,4
25,1,1,1,4,2,4,4,1,1,3,2,3
26,4,1,1,4,1,4,3,3,3,1,3,3
27,4,1,1,2,4,4,3,1,1,1,2,3
28,1,2,3,1,2,4,1,2,3,2,1,1
29,1,2,3,1,2,4,1,1,1,1,2,1
30,1,2,3,1,4,4,1,2,2,3,4,3
31,1,2,3,1,4,4,1,4,1,4,4,1
32,4,2,1,1,4,4,2,4,4,2,2,2
33,4,2,1,1,4,4,4,3,3,3,1,3
34,4,2,3,1,4,4,2,3,1,4,3,3
35,4,2,1,1,4,1,1,1,4,1,3,1
36,4,2,1,1,4,4,2,2,1,3,4,2
37,4,2,1,1,4,4,1,1,4,1,4,1
38,4,2,1,1,4,4,1,1,2,2,3,1
39,4,2,2,1,1,4,4,3,4,1,2,1
40,4,2,2,1,1,4,2,1,4,2,1,2
41,4,2,2,1,1,4,1,3,3,2,4,3
42,4,2,2,1,1,4,3,4,4,3,1,1
43,4,2,2,1,1,4,3,3,4,1,1,2
44,4,2,2,1,1,4,1,3,1,4,2,4
45,4,2,2,1,1,4,3,2,3,3,2,3
46,4,2,1,1,1,4,3,4,1,3,4,2
47,4,2,1,1,1,4,3,1,2,2,1,1
48,4,2,4,1,1,4,1,1,3,4,3,3
49,4,2,3,1,1,4,3,2,2,1,4,4
50,4,2,3,1,1,4,4,2,3,4,2,4
51,4,2,4,1,1,4,4,3,4,4,2,1
52,4,2,4,1,1,3,2,4,2,2,1,1
53,4,2,3,1,1,3,3,4,2,1,1,4
54,4,2,2,1,1,4,1,2,4,1,2,3
55,4,2,3,1,1,4,4,2,1,1,4,4
56,4,2,4,1,1,4,4,4,4,4,3,3
57,4,2,4,1,1,4,3,3,3,1,1,2
58,4,2,4,1,1,4,2,4,4,4,3,4
59,4,2,4,1,1,4,3,2,4,1,2,4
60,4,2,4,1,1,4,2,1,4,1,1,3
61,4,2,4,1,1,4,3,3,3,2,1,3
62,4,2,4,1,1,4,1,4,2,1,3,3
63,4,2,2,1,1,4,2,2,3,3,2,3
