,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,3,1,3,1,2,3,3,3,1,4,3,1
1,3,1,3,1,2,3,1,4,3,4,3,4
2,3,1,3,1,2,3,2,2,4,3,4,1
3,3,1,3,1,2,3,2,4,4,1,2,3
4,3,1,3,1,2,3,3,2,1,1,1,2
5,3,1,3,1,2,3,2,3,3,1,1,2
6,3,1,3,1,2,3,3,1,1,1,4,2
7,3,1,3,1,2,3,2,2,1,2,2,1
8,3,1,3,1,2,3,3,2,4,4,2,4
9,3,1,3,1,2,3,2,1,3,3,4,2
10,3,1,4,1,2,3,2,4,3,3,1,2
11,3,2,4,1,2,3,1,1,3,4,4,3
12,4,2,4,4,2,2,2,3,1,2,4,1
13,3,2,4,4,2,2,4,1,2,4,1,3
14,3,2,2,4,2,2,4,4,2,1,4,1
15,3,2,2,4,2,2,4,3,3,4,4,3
16,3,2,2,4,2,2,3,3,2,3,4,1
17,3,2,2,4,2,2,4,2,2,2,3,1
18,3,2,1,4,2,2,3,2,3,3,2,4
19,3,2,1,4,2,1,2,1,3,4,4,4
20,3,2,1,4,2,1,4,2,2,3,1,4
21,3,2,1,4,2,1,1,3,4,4,3,4
22,3,2,1,4,2,1,1,2,4,4,2,2
23,3,2,1,4,2,1,4,4,4,2,1,4
24,3,2,1,4,2,1,3,3,3,4,3,3
25,3,2,1,4,2,1,2,1,4,3,2,2
26,3,2,1,4,2,1,2,3,2,1,2,1
27,3,2,1,4,2,1,1,1,4,2,3,3
28,3,2,1,4,2,1,1,1,2,4,3,2
29,3,2,1,4,2,1,1,3,2,4,3,4
30,3,2,1,4,2,1,1,4,4,4,4,4
31,3,2,1,4,2,1,3,1,3,1,2,1
32,3,2,1,4,2,1,4,2,3,3,1,1
33,3,2,1,4,2,1,3,3,3,3,2,1
34,3,2,1,4,2,1,3,1,2,2,2,4
35,3,2,1,4,2,1,4,4,1,4,3,3
36,3,2,1,4,2,1,3,3,1,1,2,4
37,3,2,1,4,2,1,4,3,3,1,2,4
38,3,2,1,4,2,1,4,2,4,4,1,2
39,3,2,1,4,2,1,4,2,3,1,3,4
40,3,2,2,4,2,1,3,1,2,4,1,1
