,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,30,27,40,49
1,30,27,27,41
2,30,27,44,30
3,30,27,31,39
4,30,27,40,34
5,30,27,16,34
6,30,27,21,19
7,30,27,23,46
8,30,27,49,48
9,30,27,47,37
10,30,27,23,15
11,30,27,49,23
12,30,27,39,13
13,30,27,15,42
14,30,27,44,28
15,30,27,13,34
16,30,27,21,24
17,30,27,40,41
18,30,27,21,18
19,30,27,48,11
20,30,27,13,49
21,30,27,28,23
22,30,27,24,23
23,30,27,45,36
24,30,27,37,17
25,30,27,44,23
26,30,27,12,19
27,30,27,30,24
28,30,27,49,26
29,30,27,43,21
30,30,27,24,12
31,30,27,31,20
32,30,27,44,48
33,30,27,42,21
34,30,27,39,27
35,30,27,18,31
36,30,27,36,42
37,30,27,14,13
38,30,27,37,28
39,30,27,14,28
40,30,27,42,34
41,30,27,27,48
42,30,27,31,11
43,30,27,10,47
44,30,27,19,20
45,30,27,33,30
46,30,27,26,15
47,30,27,17,33
48,30,27,18,35
49,30,27,25,35
50,30,27,48,11
51,30,27,34,48
52,30,27,31,48
53,30,27,22,37
54,30,27,11,34
55,30,27,22,26
56,30,27,11,27
57,30,27,23,13
58,30,27,12,31
59,30,27,41,35
60,30,27,22,17
61,30,27,45,44
62,30,27,37,32
63,30,27,20,48
64,30,27,13,38
65,30,27,11,42
66,30,27,11,42
67,30,27,24,17
68,30,27,39,30
69,30,27,40,23
70,30,27,31,40
71,30,27,49,16
72,30,27,13,10
73,30,27,36,22
74,30,27,48,29
75,30,27,41,17
76,30,27,34,15
77,30,27,26,49
78,30,27,17,24
79,30,27,47,18
80,30,27,27,49
81,30,27,10,44
82,30,27,20,27
83,30,27,30,41
84,30,27,19,38
85,30,27,14,48
86,30,27,24,16
87,30,27,44,12
88,30,27,12,32
89,30,27,31,38
90,30,27,31,46
91,30,27,12,23
92,30,27,39,37
93,30,27,45,45
94,30,27,23,24
95,30,27,22,15
96,30,27,39,40
97,30,27,37,10
98,30,27,45,17
99,30,27,21,20
100,30,27,13,44
101,30,27,25,21
102,30,27,45,43
103,30,27,36,25
104,30,27,14,45
105,30,27,13,45
106,30,27,11,47
107,30,27,31,40
108,30,27,40,22
109,30,27,43,33
110,30,27,26,23
111,30,27,49,40
112,30,27,33,33
113,30,27,36,31
114,30,27,48,15
115,30,27,12,49
116,30,27,31,21
117,30,27,36,48
118,30,27,18,41
119,30,27,11,14
120,30,27,45,23
121,30,27,34,15
122,30,27,25,12
123,30,27,35,38
124,30,27,41,34
125,30,27,23,35
126,30,27,43,35
127,30,27,17,14
128,30,27,49,11
129,30,27,23,13
130,30,27,36,25
131,30,27,40,18
132,30,27,28,28
133,30,27,22,24
134,30,27,48,33
135,30,27,14,17
136,30,27,18,18
137,30,27,46,41
138,30,27,46,17
139,30,27,12,19
140,30,27,43,45
141,30,27,38,47
142,30,27,44,10
143,30,27,17,46
144,30,27,43,19
145,30,27,36,44
146,30,27,22,24
147,30,27,16,24
148,30,27,29,16
149,30,27,39,38
150,30,27,19,28
151,30,27,44,15
152,30,27,20,49
153,30,27,12,31
154,30,27,31,33
155,30,27,41,21
156,30,27,44,22
157,30,27,44,32
158,30,27,36,49
159,30,27,16,28
160,30,27,11,25
161,30,27,18,47
162,30,27,33,20
163,30,27,49,15
164,30,27,45,40
165,30,27,46,48
166,30,27,27,21
167,30,27,13,25
168,30,27,29,14
169,30,27,40,11
170,30,27,13,11
171,30,27,21,40
172,30,27,12,34
173,30,27,32,15
174,30,27,38,42
175,30,27,48,27
176,30,27,27,44
177,30,27,24,26
178,30,27,20,26
179,30,27,27,18
180,30,27,34,15
181,30,27,23,22
182,30,27,16,48
183,30,27,17,27
184,30,27,24,27
185,30,27,49,36
186,30,27,14,44
187,30,27,12,12
188,30,27,15,45
189,30,27,24,42
190,30,27,29,21
191,30,27,41,13
192,30,27,16,30
193,30,27,47,44
194,30,27,22,20
195,30,27,17,45
196,30,27,21,21
197,30,27,34,22
198,30,27,16,17
199,30,27,26,17
200,30,27,41,18
201,30,27,41,37
202,30,27,30,17
203,30,27,12,10
204,30,27,10,25
205,30,27,47,39
206,30,27,27,24
207,30,27,26,20
208,30,27,19,11
209,30,27,35,10
210,30,27,41,27
211,30,27,40,46
212,30,27,47,29
213,30,27,23,38
214,30,27,45,38
215,30,27,10,45
216,30,27,11,29
217,30,27,10,14
218,30,27,12,27
219,30,27,41,36
220,30,27,32,15
221,30,27,16,15
222,30,27,24,43
223,30,27,27,42
224,30,27,15,11
225,30,27,27,42
226,30,27,14,24
227,30,27,36,15
228,30,27,18,45
229,30,27,31,41
230,30,27,34,17
231,30,27,29,24
232,30,27,19,11
233,30,27,33,39
234,30,27,38,21
235,30,27,40,25
236,30,27,30,41
237,30,27,33,20
238,30,27,30,44
239,30,27,20,31
240,30,27,42,29
241,30,27,34,36
242,30,27,21,31
243,30,27,43,37
244,30,27,41,42
245,30,27,25,16
246,30,27,47,12
247,30,27,25,25
248,30,27,42,25
249,30,27,33,27
250,30,27,49,39
251,30,27,47,45
252,30,27,19,41
253,30,27,49,26
254,30,27,22,47
255,30,27,14,41
256,30,27,42,10
257,30,27,15,10
258,30,27,35,14
259,30,27,14,23
260,30,27,24,29
261,30,27,45,36
262,30,27,21,30
263,30,27,11,32
264,30,27,31,39
265,30,27,19,38
266,30,27,29,23
267,30,27,41,27
268,30,27,31,20
269,30,27,14,25
270,30,27,30,24
271,30,27,38,40
272,30,27,28,38
273,30,27,11,30
274,30,27,44,48
275,30,27,15,43
276,30,27,10,48
277,30,27,27,21
278,30,27,23,11
279,30,27,49,27
280,30,27,11,28
281,30,27,29,10
282,30,27,41,45
283,30,27,35,11
284,30,27,38,43
285,30,27,31,37
286,30,27,20,18
287,30,27,44,12
288,30,27,47,47
289,30,27,44,37
290,30,27,44,11
291,30,27,47,49
292,30,27,28,21
293,30,27,14,37
294,30,27,25,20
295,30,27,22,15
296,30,27,32,48
297,30,27,33,20
298,30,27,30,18
299,30,27,33,26
300,30,27,24,35
301,30,27,16,19
302,30,27,35,21
303,30,27,12,31
304,30,27,22,44
305,30,27,15,15
306,30,27,24,11
307,30,27,47,46
308,30,27,39,24
309,30,27,19,31
310,30,27,19,19
311,30,27,10,38
312,30,27,15,42
313,30,27,15,41
314,30,27,31,23
315,30,27,39,24
316,30,27,47,11
317,30,27,22,33
318,30,27,37,10
319,30,27,32,17
320,30,27,19,35
321,30,27,35,42
322,30,27,40,39
323,30,27,25,16
324,30,27,43,31
325,30,27,43,10
326,30,27,37,43
327,30,27,35,32
328,30,27,28,41
329,30,27,22,42
330,30,27,32,30
331,30,27,49,34
332,30,27,41,48
333,30,27,48,26
334,30,27,29,44
335,30,27,45,42
336,30,27,47,29
337,30,27,21,30
338,30,27,13,26
339,30,27,28,41
340,30,27,37,31
341,30,27,16,16
342,30,27,47,48
343,30,27,48,25
344,30,27,49,38
345,30,27,15,48
346,30,27,47,36
347,30,27,25,47
348,30,27,20,19
349,30,27,29,21
350,30,27,29,17
351,30,27,16,37
352,30,27,11,23
353,30,27,33,42
354,30,27,26,23
355,30,27,26,33
356,30,27,25,46
357,30,27,48,23
358,30,27,35,41
359,30,27,13,37
360,30,27,36,25
361,30,27,41,20
362,30,27,11,22
363,30,27,42,33
364,30,27,49,42
365,30,27,33,24
366,30,27,28,11
367,30,27,46,12
368,30,27,10,17
369,30,27,15,32
370,30,27,19,10
371,30,27,39,15
372,30,27,22,27
373,30,27,10,16
374,30,27,37,46
375,30,27,13,22
376,30,27,29,17
377,30,27,40,42
378,30,27,25,43
379,30,27,27,11
380,30,27,41,36
381,30,27,28,19
382,30,27,33,44
383,30,27,36,21
384,30,27,14,25
385,30,27,19,41
386,30,27,14,44
387,30,27,26,48
388,30,27,41,17
389,30,27,16,14
390,30,27,16,41
391,30,27,29,21
392,30,27,46,32
393,30,27,38,29
394,30,27,27,22
395,30,27,29,15
396,30,27,23,11
397,30,27,18,13
398,30,27,13,36
399,30,27,14,14
400,30,27,34,20
401,30,27,28,26
402,30,27,13,44
403,30,27,29,25
404,30,27,18,38
405,30,27,39,35
406,30,27,13,35
407,30,27,48,23
408,30,27,41,27
409,30,27,48,15
410,30,27,27,11
411,30,27,46,45
412,30,27,18,21
413,30,27,16,25
414,30,27,19,46
415,30,27,45,44
416,30,27,45,39
417,30,27,39,11
418,30,27,35,26
419,30,27,47,35
420,30,27,38,21
421,30,27,14,16
422,30,27,36,39
423,30,27,17,19
424,30,27,31,17
425,30,27,15,45
426,30,27,32,43
427,30,27,42,44
428,30,27,15,44
429,30,27,17,31
430,30,27,10,16
431,30,27,47,16
432,30,27,36,37
433,30,27,21,42
434,30,27,11,47
435,30,27,28,40
436,30,27,36,31
437,30,27,30,28
438,30,27,35,11
439,30,27,42,17
440,30,27,24,42
441,30,27,16,21
442,30,27,11,35
443,30,27,30,26
444,30,27,33,11
445,30,27,19,13
446,30,27,39,47
447,30,27,15,30
448,30,27,45,38
449,30,27,22,17
450,30,27,13,41
451,30,27,25,34
452,30,27,18,15
453,30,27,18,33
454,30,27,36,19
455,30,27,17,30
456,30,27,19,13
457,30,27,36,43
458,30,27,27,48
459,30,27,14,36
460,30,27,29,14
461,30,27,21,43
462,30,27,22,38
463,30,27,16,14
464,30,27,43,27
