,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,21,28,40,20
1,21,28,36,42
2,21,28,13,46
3,21,28,47,17
4,21,28,13,11
5,21,28,42,16
6,21,28,25,24
7,21,28,23,47
8,21,28,47,13
9,21,28,15,21
10,21,28,40,40
11,21,28,49,15
12,21,28,41,47
13,21,28,31,16
14,21,28,35,26
15,21,28,15,49
16,21,28,18,48
17,21,28,34,26
18,21,28,40,25
19,21,28,10,21
20,21,28,45,26
21,21,28,47,28
22,21,28,24,33
23,21,28,34,17
24,21,28,23,23
25,21,28,11,30
26,21,28,38,37
27,21,28,29,42
28,21,28,45,44
29,21,28,36,22
30,21,28,44,21
31,21,28,45,13
32,21,28,42,45
33,21,28,33,18
34,21,28,22,19
35,21,28,21,48
36,21,28,29,31
37,21,28,46,44
38,21,28,48,42
39,21,28,11,23
40,21,28,32,14
41,21,28,39,47
42,21,28,33,20
43,21,28,20,43
44,21,28,40,13
45,21,28,31,25
46,21,28,41,15
47,21,28,13,11
48,21,28,10,12
49,21,28,30,40
50,21,28,14,21
51,21,28,48,39
52,21,28,20,23
53,21,28,22,13
54,21,28,10,47
55,21,28,36,26
56,21,28,29,36
57,21,28,49,22
58,21,28,34,29
59,21,28,38,28
60,21,28,48,45
61,21,28,47,28
62,21,28,16,33
63,21,28,38,40
64,21,28,25,39
65,21,28,29,38
66,21,28,47,32
67,21,28,49,37
68,21,28,15,12
69,21,28,30,32
70,21,28,44,18
71,21,28,22,22
72,21,28,16,28
73,21,28,48,48
74,21,28,33,31
75,21,28,39,35
76,21,28,41,32
77,21,28,22,36
78,21,28,38,18
79,21,28,37,45
80,21,28,24,27
81,21,28,24,16
82,21,28,19,23
83,21,28,46,48
84,21,28,14,43
85,21,28,30,24
86,21,28,35,45
87,21,28,25,39
88,21,28,45,29
89,21,28,41,30
90,21,28,21,47
91,21,28,28,22
92,21,28,41,36
93,21,28,34,48
94,21,28,33,24
95,21,28,47,16
96,21,28,13,10
97,21,28,16,42
98,21,28,36,23
99,21,28,18,46
100,21,28,14,44
101,21,28,21,11
102,21,28,42,15
103,21,28,43,15
104,21,28,27,42
105,21,28,20,33
106,21,28,31,25
107,21,28,20,40
108,21,28,22,14
109,21,28,11,42
110,21,28,27,31
111,21,28,13,47
112,21,28,40,48
113,21,28,19,31
114,21,28,16,12
115,21,28,49,40
116,21,28,38,15
117,21,28,17,28
118,21,28,11,21
119,21,28,16,44
120,21,28,17,44
121,21,28,29,36
122,21,28,13,18
123,21,28,34,40
124,21,28,40,37
125,21,28,32,25
126,21,28,42,12
127,21,28,15,36
128,21,28,31,13
129,21,28,13,27
130,21,28,10,48
131,21,28,42,27
132,21,28,49,18
133,21,28,14,25
134,21,28,16,13
135,21,28,34,43
136,21,28,29,18
137,21,28,16,45
138,21,28,36,45
139,21,28,27,24
140,21,28,39,45
141,21,28,21,21
142,21,28,41,30
143,21,28,49,33
144,21,28,48,24
145,21,28,18,48
146,21,28,13,39
147,21,28,47,30
148,21,28,10,43
149,21,28,49,11
150,21,28,22,49
151,21,28,28,45
152,21,28,28,22
153,21,28,48,28
154,21,28,23,13
155,21,28,21,49
156,21,28,40,46
157,21,28,47,32
158,21,28,27,19
159,21,28,35,13
160,21,28,43,24
161,21,28,15,12
162,21,28,13,29
163,21,28,36,22
164,21,28,47,33
