,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,31,14,45,33
1,31,14,11,48
2,31,14,20,26
3,31,14,35,41
4,31,14,19,15
5,31,14,36,22
6,31,14,10,46
7,31,14,44,46
8,31,14,11,41
9,31,14,41,16
10,31,14,41,23
11,31,14,41,24
12,31,14,37,45
13,31,14,43,30
14,31,14,35,26
15,31,14,37,37
16,31,14,39,19
17,31,14,36,14
18,31,14,45,36
19,31,14,28,31
20,31,14,45,14
21,31,14,44,13
22,31,14,25,19
23,31,14,25,23
24,31,14,11,49
25,31,14,10,24
26,31,14,10,20
27,31,14,23,48
28,31,14,46,20
29,31,14,15,42
30,31,14,35,12
31,31,14,11,23
32,31,14,48,19
33,31,14,44,28
34,31,14,12,24
35,31,14,12,44
36,31,14,42,17
37,31,14,13,40
38,31,14,29,21
39,31,14,49,48
40,31,14,26,45
41,31,14,27,45
42,31,14,27,15
43,31,14,16,24
44,31,14,34,15
45,31,14,27,26
46,31,14,15,19
47,31,14,30,28
48,31,14,22,29
49,31,14,29,22
50,31,14,30,16
51,31,14,18,27
52,31,14,21,47
53,31,14,17,43
54,31,14,44,30
55,31,14,12,14
56,31,14,32,31
57,31,14,19,28
58,31,14,19,27
59,31,14,35,13
60,31,14,18,49
61,31,14,25,37
62,31,14,39,28
63,31,14,13,49
64,31,14,36,21
65,31,14,45,48
66,31,14,44,42
67,31,14,25,12
68,31,14,38,44
69,31,14,22,36
70,31,14,14,43
71,31,14,28,23
72,31,14,42,33
73,31,14,25,12
74,31,14,15,11
75,31,14,36,36
76,31,14,40,49
77,31,14,23,48
78,31,14,10,19
79,31,14,40,26
80,31,14,22,49
81,31,14,48,41
82,31,14,36,27
83,31,14,11,25
84,31,14,38,37
85,31,14,43,18
86,31,14,35,19
87,31,14,15,28
88,31,14,44,21
89,31,14,16,47
90,31,14,17,27
91,31,14,37,37
92,31,14,40,36
93,31,14,37,38
94,31,14,46,12
95,31,14,44,45
96,31,14,42,27
97,31,14,26,40
98,31,14,36,16
99,31,14,18,20
100,31,14,40,42
101,31,14,36,49
102,31,14,25,32
103,31,14,27,16
104,31,14,19,38
105,31,14,40,32
106,31,14,46,23
107,31,14,49,47
108,31,14,13,41
109,31,14,13,12
110,31,14,30,31
111,31,14,40,20
112,31,14,29,31
113,31,14,23,46
114,31,14,29,28
115,31,14,36,12
116,31,14,31,34
117,31,14,30,41
118,31,14,39,37
119,31,14,47,29
120,31,14,37,17
121,31,14,37,10
122,31,14,32,14
123,31,14,35,44
124,31,14,26,25
125,31,14,34,18
126,31,14,14,26
127,31,14,17,30
128,31,14,14,14
129,31,14,31,27
130,31,14,16,28
131,31,14,12,31
132,31,14,40,35
133,31,14,46,49
134,31,14,18,39
135,31,14,14,33
136,31,14,46,34
137,31,14,15,29
138,31,14,35,19
139,31,14,34,24
140,31,14,11,43
141,31,14,12,32
142,31,14,41,45
143,31,14,20,12
144,31,14,16,44
145,31,14,49,30
146,31,14,47,45
147,31,14,18,14
148,31,14,34,20
149,31,14,48,48
150,31,14,12,16
151,31,14,16,44
152,31,14,26,11
153,31,14,14,39
154,31,14,48,11
155,31,14,26,18
156,31,14,26,21
157,31,14,26,38
158,31,14,12,46
159,31,14,47,39
160,31,14,37,21
161,31,14,23,34
162,31,14,31,18
163,31,14,31,37
164,31,14,27,19
165,31,14,48,11
166,31,14,18,46
167,31,14,32,47
168,31,14,41,26
169,31,14,13,25
170,31,14,44,22
171,31,14,23,39
172,31,14,33,19
173,31,14,13,29
174,31,14,23,49
175,31,14,23,48
176,31,14,49,34
177,31,14,14,49
178,31,14,46,31
179,31,14,17,43
180,31,14,48,32
181,31,14,34,44
182,31,14,47,16
183,31,14,40,37
184,31,14,27,26
185,31,14,25,33
186,31,14,31,28
187,31,14,48,36
188,31,14,25,21
189,31,14,34,36
190,31,14,31,40
191,31,14,45,30
192,31,14,12,20
193,31,14,32,28
194,31,14,16,33
195,31,14,49,27
196,31,14,35,39
197,31,14,46,19
198,31,14,46,20
199,31,14,49,39
200,31,14,28,49
201,31,14,35,22
202,31,14,49,25
203,31,14,25,20
204,31,14,24,19
205,31,14,41,31
206,31,14,44,41
207,31,14,15,17
208,31,14,14,11
209,31,14,15,14
210,31,14,13,18
211,31,14,26,26
212,31,14,19,40
213,31,14,19,14
214,31,14,35,40
215,31,14,29,39
216,31,14,29,24
217,31,14,27,40
218,31,14,27,28
219,31,14,15,39
220,31,14,11,20
