,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,3,4,1,4,2,2,1,2,1,4,4,3
1,3,4,1,4,2,2,1,2,2,4,4,4
2,3,4,1,4,2,2,4,1,3,4,2,2
3,3,4,1,4,2,2,4,2,1,1,1,1
4,3,4,1,4,2,2,1,2,2,4,2,1
5,3,4,1,4,2,2,2,1,1,4,2,1
6,3,4,1,4,2,2,4,4,1,2,4,4
7,3,4,1,4,2,2,2,3,3,4,4,3
8,3,4,1,4,2,2,4,3,4,3,2,4
9,3,4,1,4,2,2,2,4,3,1,1,4
10,3,4,1,4,2,2,1,2,3,2,3,2
11,3,4,1,4,2,2,1,4,4,3,3,4
12,3,4,1,4,2,2,2,2,1,4,2,3
13,3,4,1,4,2,2,2,2,1,4,2,3
14,3,4,1,4,2,2,2,4,1,3,2,3
15,3,4,1,4,2,2,3,2,3,2,3,3
16,3,4,1,4,2,2,3,1,2,2,2,1
17,3,4,1,4,2,2,4,3,1,3,2,2
18,3,4,1,4,2,2,2,3,2,2,3,3
19,3,4,1,4,2,2,2,2,2,4,2,3
20,3,4,1,4,2,2,4,3,4,2,4,1
21,3,4,1,4,2,2,2,1,2,2,4,4
22,3,4,1,4,2,2,4,2,3,2,3,1
23,3,4,1,4,2,2,1,4,2,3,1,4
24,3,4,1,4,2,2,1,2,1,3,3,3
25,3,4,1,4,2,2,4,1,1,2,3,2
26,3,4,1,4,2,2,2,3,1,4,3,1
27,3,4,1,4,2,2,3,4,2,2,4,4
28,3,4,1,4,2,2,4,1,2,1,3,1
29,3,4,1,4,2,2,4,1,1,2,3,4
30,3,4,1,4,2,2,1,2,1,1,2,4
31,3,4,1,4,2,2,2,4,3,2,1,4
32,3,4,1,4,2,2,4,2,4,3,2,3
33,3,4,1,4,2,2,3,4,2,3,2,4
34,3,4,1,4,2,2,1,1,4,1,1,1
35,3,4,1,4,2,2,1,3,1,3,3,4
36,3,4,1,4,2,2,3,1,1,3,1,2
37,3,4,1,4,2,2,2,2,1,4,3,4
38,3,4,1,4,2,2,1,2,2,1,2,1
39,3,4,1,4,2,2,4,4,2,1,3,4
40,3,4,1,4,2,2,2,1,1,1,2,4
41,3,4,1,4,2,2,4,3,2,1,2,2
42,3,4,1,4,2,2,2,4,2,3,3,4
43,3,4,1,4,2,2,3,2,2,1,4,2
44,3,4,1,4,2,2,1,1,1,2,4,2
45,3,4,1,4,2,2,4,3,4,4,3,3
46,3,4,1,4,2,2,4,4,4,2,1,4
47,3,4,1,4,2,2,2,1,4,2,4,4
48,3,4,1,4,2,2,4,4,4,1,2,2
49,3,4,1,4,2,2,2,3,4,2,3,1
50,3,4,1,4,2,2,2,3,3,1,4,4
51,3,4,1,4,2,2,1,3,3,4,4,3
52,3,2,1,4,2,1,3,2,2,2,4,3
53,3,4,1,4,2,2,1,1,4,2,1,3
54,3,4,1,4,2,2,3,1,3,4,3,2
55,3,4,1,4,2,2,1,4,1,3,2,2
56,3,4,1,4,2,2,4,3,3,2,3,4
57,3,4,1,4,2,2,1,3,4,1,3,3
58,3,4,1,4,2,2,2,2,4,4,2,4
59,3,4,1,4,2,2,2,3,4,3,4,2
60,1,4,1,4,2,2,1,2,4,2,1,1
61,1,4,1,4,2,2,1,3,2,2,1,1
62,1,4,1,4,2,2,1,4,3,1,2,4
63,1,4,1,4,2,2,1,2,4,2,3,3
64,1,4,3,4,2,2,4,1,2,1,2,3
65,1,4,3,4,2,2,2,1,1,4,1,3
66,1,4,3,4,2,2,4,4,4,1,3,2
67,1,4,1,4,2,2,1,4,2,2,2,4
68,3,4,1,4,2,2,2,4,2,4,1,3
69,3,4,1,4,2,2,1,4,4,1,3,4
70,3,4,1,4,2,2,1,2,2,4,2,3
71,3,4,1,4,2,2,2,2,1,3,2,3
72,3,4,1,4,2,2,3,1,4,3,4,2
73,3,4,1,4,2,2,4,1,3,4,4,4
74,3,4,1,4,2,2,2,3,4,3,4,2
75,3,4,1,4,2,2,2,4,3,3,3,4
76,3,4,1,4,2,2,2,4,4,3,3,2
77,3,4,1,4,2,2,2,1,3,3,1,4
78,3,4,1,4,2,2,4,4,3,2,4,1
79,3,4,1,4,2,2,2,1,1,3,1,1
80,3,4,1,4,2,2,1,3,1,1,1,1
81,3,4,1,4,2,2,2,2,2,4,2,2
82,3,4,1,4,2,2,3,3,1,3,1,3
83,3,4,1,4,2,2,1,1,2,3,4,1
84,3,4,1,4,2,2,3,3,1,3,1,2
85,1,4,1,4,2,2,2,4,1,1,3,3
86,1,4,1,4,2,2,3,4,2,2,2,1
87,1,4,3,4,2,2,2,4,4,3,1,3
88,1,4,3,4,2,2,4,1,4,2,2,2
