,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,31,39,33,41
1,31,39,13,26
2,31,39,38,33
3,31,39,45,17
4,31,39,44,35
5,31,39,15,11
6,31,39,35,25
7,31,39,47,46
8,31,39,13,30
9,31,39,15,28
10,31,39,38,34
11,31,39,37,30
12,31,39,12,28
13,31,39,10,10
14,31,39,23,37
15,31,39,33,27
16,31,39,21,21
17,31,39,30,13
18,31,39,49,21
19,31,39,17,30
20,31,39,28,16
21,31,39,43,39
22,31,39,28,34
23,31,39,35,13
24,31,39,27,12
25,31,39,17,38
26,31,39,29,32
27,31,39,25,23
28,31,39,28,42
29,31,39,21,42
30,31,39,28,44
31,31,39,26,23
32,31,39,45,31
33,31,39,43,43
34,31,39,23,33
35,31,39,33,28
36,31,39,36,27
37,31,39,41,47
38,31,39,39,21
39,31,39,32,47
40,31,39,32,13
41,31,39,30,37
42,31,39,20,14
43,31,39,20,40
44,31,39,21,23
45,31,39,17,28
46,31,39,19,45
47,31,39,48,44
48,31,39,33,37
49,31,39,43,12
50,31,39,36,11
51,31,39,29,22
52,31,39,25,38
53,31,39,40,46
54,31,39,37,38
55,31,39,28,47
56,31,39,26,21
57,31,39,30,44
58,31,39,42,21
59,31,39,39,23
60,31,39,14,40
61,31,39,23,45
62,31,39,40,43
63,31,39,30,30
64,31,39,16,26
65,31,39,31,44
66,31,39,28,13
67,31,39,44,36
68,31,39,31,33
69,31,39,14,26
70,31,39,41,47
71,31,39,22,41
72,31,39,47,12
73,31,39,42,14
74,31,39,12,22
75,31,39,12,22
76,31,39,27,48
77,31,39,39,30
78,31,39,32,42
79,31,39,42,24
80,31,39,31,31
81,31,39,17,37
82,31,39,32,41
83,31,39,14,16
84,31,39,48,16
85,31,39,32,14
86,31,39,22,25
87,31,39,45,20
88,31,39,18,40
89,31,39,42,12
90,31,39,26,11
91,31,39,10,18
92,31,39,29,15
93,31,39,38,49
94,31,39,35,32
95,31,39,23,15
96,31,39,47,19
97,31,39,16,45
98,31,39,16,31
99,31,39,47,33
100,31,39,20,12
101,31,39,45,44
102,31,39,40,17
103,31,39,34,21
104,31,39,45,10
105,31,39,16,14
106,31,39,15,21
107,31,39,39,46
108,31,39,40,11
109,31,39,17,12
110,31,39,36,35
111,31,39,37,24
112,31,39,32,11
113,31,39,44,38
114,31,39,39,15
115,31,39,39,12
116,31,39,10,45
117,31,39,21,38
118,31,39,48,48
119,31,39,24,46
120,31,39,33,28
121,31,39,39,36
122,31,39,26,35
123,31,39,40,20
124,31,39,21,29
125,31,39,16,23
126,31,39,45,27
127,31,39,46,13
128,31,39,41,34
129,31,39,20,38
130,31,39,23,28
131,31,39,19,19
132,31,39,14,31
133,31,39,45,35
134,31,39,41,40
135,31,39,31,43
136,31,39,21,39
137,31,39,39,31
138,31,39,35,31
139,31,39,12,40
140,31,39,48,43
141,31,39,42,30
142,31,39,19,45
143,31,39,41,42
144,31,39,39,10
145,31,39,40,24
146,31,39,34,22
147,31,39,30,32
148,31,39,41,28
149,31,39,42,27
150,31,39,17,43
151,31,39,34,41
152,31,39,32,36
153,31,39,27,36
154,31,39,20,44
155,31,39,10,12
156,31,39,23,31
157,31,39,21,25
158,31,39,25,38
159,31,39,40,42
160,31,39,20,39
161,31,39,25,49
162,31,39,26,10
163,31,39,21,47
164,31,39,23,22
165,31,39,26,23
166,31,39,46,30
167,31,39,47,28
168,31,39,30,48
169,31,39,13,48
170,31,39,14,31
171,31,39,26,48
172,31,39,30,40
173,31,39,17,30
174,31,39,20,45
175,31,39,13,43
176,31,39,43,44
177,31,39,31,28
178,31,39,21,33
179,31,39,28,12
180,31,39,24,35
181,31,39,26,48
182,31,39,41,43
183,31,39,15,15
184,31,39,41,40
185,31,39,35,47
186,31,39,24,19
187,31,39,26,29
188,31,39,48,18
189,31,39,17,14
190,31,39,16,16
191,31,39,48,26
192,31,39,43,46
193,31,39,41,27
194,31,39,40,49
195,31,39,46,46
196,31,39,42,35
197,31,39,26,46
198,31,39,38,34
199,31,39,42,10
200,31,39,49,37
201,31,39,35,30
202,31,39,27,46
203,31,39,14,38
204,31,39,48,24
205,31,39,44,27
206,31,39,37,44
207,31,39,35,24
208,31,39,16,35
209,31,39,20,44
210,31,39,39,35
211,31,39,11,24
212,31,39,49,32
213,31,39,38,11
214,31,39,23,25
215,31,39,37,32
216,31,39,17,40
217,31,39,40,37
218,31,39,41,32
219,31,39,30,14
220,31,39,33,42
221,31,39,22,34
222,31,39,19,30
223,31,39,49,34
224,31,39,30,43
225,31,39,42,23
226,31,39,47,23
227,31,39,28,48
228,31,39,28,28
229,31,39,20,41
230,31,39,17,48
231,31,39,43,38
232,31,39,13,11
233,31,39,40,18
234,31,39,34,27
235,31,39,18,11
236,31,39,28,21
237,31,39,12,20
238,31,39,27,29
239,31,39,48,35
240,31,39,10,25
241,31,39,28,47
242,31,39,39,34
243,31,39,15,46
244,31,39,14,36
245,31,39,23,17
246,31,39,10,45
247,31,39,39,49
248,31,39,44,42
249,31,39,36,38
250,31,39,11,24
251,31,39,18,49
252,31,39,13,12
253,31,39,32,40
254,31,39,28,10
255,31,39,15,26
256,31,39,41,45
