,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,80127983616000.0,39109460492288.0,41018523123712.0,0.025346236303448677,0.02490234375
1,75508343635968.0,34194845597696.0,41313495941120.0,0.0263671875,0.023881392553448677
2,81014734979072.0,38680819400704.0,42333919772672.0,0.025346236303448677,0.026811080053448677
3,83942719881216.0,44092100706304.0,39850619174912.0,0.023570667952299118,0.024014560505747795
4,72219875082240.0,36515866476544.0,35704004411392.0,0.025967685505747795,0.025745738297700882
5,72444505227264.0,29283846193152.0,43160659034112.0,0.025745738297700882,0.024813564494252205
6,100494819196928.0,51671220617216.0,48823590191104.0,0.02570134960114956,0.024280894547700882
7,65887151325184.0,31067000012800.0,34820157603840.0,0.024192117154598236,0.026100851595401764
8,91573450702848.0,42703198879744.0,48870251823104.0,0.024458451196551323,0.025390625
9,80743606779904.0,38382860238848.0,42360742346752.0,0.024946732446551323,0.023792613297700882
