,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,30074510245888.0,16806632751104.0,13267877494784.0,0.02520751953125,0.0238037109375
1,33160037400576.0,19468426149888.0,13691610202112.0,0.02545166015625,0.0240478515625
2,34253085605888.0,15120737501184.0,19132349153280.0,0.02508544921875,0.02557373046875
3,28891051720704.0,14287502311424.0,14603550457856.0,0.025634765625,0.02496337890625
4,30502014681088.0,16314335756288.0,14187677876224.0,0.022216796875,0.0279541015625
5,38927767437312.0,19792159309824.0,19135610224640.0,0.02386474609375,0.02471923828125
6,32575793922048.0,15218604244992.0,17357190725632.0,0.0260009765625,0.024658203125
7,35094557360128.0,19092721369088.0,16001837039616.0,0.0255126953125,0.02532958984375
8,29946961461248.0,15705957203968.0,14241001111552.0,0.0267333984375,0.0250244140625
9,32946994020352.0,17341095084032.0,15605897887744.0,0.02557373046875,0.02508544921875
