,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,242243856236544.0,106464144261120.0,135779728752640.0,0.02508544921875,0.024444580078125
1,216890479738880.0,101271285530624.0,115619210985472.0,0.02587890625,0.02392578125
2,216919017783296.0,77684038172672.0,139234987999232.0,0.024383544921875,0.024169921875
3,267895028318208.0,123339079155712.0,144555949162496.0,0.02423095703125,0.024017333984375
4,222489892356096.0,116523452596224.0,105966464925696.0,0.024871826171875,0.024078369140625
5,206662719766528.0,126536329986048.0,80126406557696.0,0.02587890625,0.02557373046875
6,251881175646208.0,105462611574784.0,146418538905600.0,0.023529052734375,0.024383544921875
7,269694183407616.0,125542548373504.0,144151635034112.0,0.026702880859375,0.02435302734375
8,188989248110592.0,78182824804352.0,110806440083456.0,0.023895263671875,0.02593994140625
9,261830584827904.0,131473109680128.0,130357491924992.0,0.025177001953125,0.02606201171875
