,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,651534324989952.0,338469394055168.0,313064897380352.0,0.02506510354578495,0.02434430830180645
1,640093068984320.0,323380502855680.0,316712599683072.0,0.0243210569024086,0.0261811763048172
2,618743390535680.0,264181475442688.0,354562066087936.0,0.0250883549451828,0.0249953493475914
3,668639971770368.0,417940247674880.0,250699791204352.0,0.02487909235060215,0.02576264925301075
4,515898989346816.0,223660606488576.0,292238366081024.0,0.02497209794819355,0.0232979916036129
5,745546931240960.0,408126549393408.0,337420314738688.0,0.02380952425301075,0.0241582952439785
6,523405283557376.0,278199980261376.0,245205252964352.0,0.0263206847012043,0.0241815485060215
7,579552216612864.0,318715295956992.0,260836970987520.0,0.02380952425301075,0.0241582952439785
8,583568749232128.0,283615044829184.0,299953704402944.0,0.0243675597012043,0.0257393978536129
9,604897489715200.0,275893666709504.0,329003823005696.0,0.02492559514939785,0.02457682229578495
