,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,74571998822400.0,37414038929408.0,37157959892992.0,0.02299804612994194,0.02534179762005806
1,59472814800896.0,26062840922112.0,33409973878784.0,0.02568359300494194,0.02534179762005806
2,61670101614592.0,31205007294464.0,30465096417280.0,0.02734375,0.02490234375
3,70379901026304.0,30042625146880.0,40337271685120.0,0.02475585974752903,0.02490234375
4,56907108712448.0,28773542002688.0,28133566709760.0,0.02436523512005806,0.02480468712747097
5,58160131866624.0,28455102054400.0,29705034006528.0,0.02504882775247097,0.02583007887005806
6,65904314417152.0,34588701229056.0,31315608993792.0,0.02407226525247097,0.02592773362994194
7,60980541259776.0,31304728969216.0,29675812290560.0,0.02451171912252903,0.02387695387005806
8,54709037563904.0,23936553189376.0,30772488568832.0,0.02509765699505806,0.0234375
9,70730419011584.0,29632483033088.0,41097946464256.0,0.02255859412252903,0.02475585974752903
