,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,31,29,10,35
1,31,29,22,14
2,31,29,37,17
3,31,29,40,15
4,31,29,27,29
5,31,29,14,13
6,31,29,42,44
7,31,29,41,31
8,31,29,34,24
9,31,29,35,24
10,31,29,28,35
11,31,29,34,18
12,31,29,41,24
13,31,29,38,29
14,31,29,46,40
15,31,29,46,13
16,31,29,21,33
17,31,29,23,31
18,31,29,22,37
19,31,29,35,27
20,31,29,22,11
21,31,29,27,29
22,31,29,35,12
23,31,29,44,47
24,31,29,11,31
25,31,29,17,27
26,31,29,40,24
27,31,29,16,47
28,31,29,28,40
29,31,29,36,17
30,31,29,26,46
31,31,29,49,43
32,31,29,26,43
33,31,29,44,48
34,31,29,47,33
35,31,29,41,46
36,31,29,27,32
37,31,29,38,31
38,31,29,29,19
39,31,29,24,46
40,31,29,30,25
41,31,29,44,49
42,31,29,39,30
43,31,29,42,40
44,31,29,19,15
45,31,29,38,38
46,31,29,15,43
47,31,29,42,20
48,31,29,19,24
49,31,29,28,36
50,31,29,18,24
51,31,29,12,45
52,31,29,22,43
53,31,29,47,44
54,31,29,40,41
55,31,29,22,29
56,31,29,32,35
57,31,29,43,22
58,31,29,41,16
59,31,29,44,33
60,31,29,20,34
61,31,29,37,33
62,31,29,40,12
63,31,29,22,43
64,31,29,11,37
65,31,29,31,36
66,31,29,38,40
67,31,29,16,46
68,31,29,11,16
69,31,29,47,13
70,31,29,48,48
71,31,29,14,46
72,31,29,31,15
73,31,29,39,35
74,31,29,12,18
75,31,29,15,13
76,31,29,39,30
77,31,29,39,44
78,31,29,34,14
79,31,29,47,46
80,31,29,24,38
81,31,29,24,18
82,31,29,29,11
83,31,29,14,13
84,31,29,20,18
85,31,29,48,11
86,31,29,47,41
87,31,29,25,13
88,31,29,10,21
89,31,29,24,13
90,31,29,18,39
91,31,29,29,40
92,31,29,15,17
93,31,29,11,41
94,31,29,37,13
95,31,29,22,48
96,31,29,37,17
97,31,29,29,42
98,31,29,29,14
