,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,22,23,49,24
1,22,23,13,12
2,22,23,20,26
3,22,23,31,30
4,22,23,41,22
5,22,23,40,15
6,22,23,22,41
7,22,23,23,14
8,22,23,27,36
9,22,23,11,45
10,22,23,44,18
11,22,23,18,42
12,22,23,30,48
13,22,23,20,41
14,22,23,40,17
15,22,23,23,11
16,22,23,38,37
17,22,23,40,27
18,22,23,26,42
19,22,23,20,44
20,22,23,24,25
21,22,23,28,42
22,22,23,38,39
23,22,23,25,46
24,22,23,46,29
25,22,23,43,31
26,22,23,47,40
27,22,23,33,30
28,22,23,39,11
29,22,23,37,15
30,22,23,41,42
31,22,23,10,12
32,22,23,37,44
33,22,23,49,47
34,22,23,16,22
35,22,23,30,14
36,22,23,38,40
37,22,23,35,31
38,22,23,15,22
39,22,23,21,27
40,22,23,20,30
41,22,23,13,29
42,22,23,35,16
43,22,23,37,32
44,22,23,31,33
45,22,23,39,45
46,22,23,37,34
47,22,23,37,45
48,22,23,47,42
49,22,23,38,16
50,22,23,39,20
51,22,23,41,37
52,22,23,47,42
53,22,23,12,35
54,22,23,16,46
55,22,23,29,42
56,22,23,12,43
57,22,23,41,26
58,22,23,23,30
59,22,23,18,25
60,22,23,22,17
61,22,23,34,14
62,22,23,36,49
63,22,23,32,33
64,22,23,42,41
65,22,23,14,49
66,22,23,20,23
67,22,23,28,34
68,22,23,10,47
69,22,23,30,28
70,22,23,48,42
71,22,23,34,47
72,22,23,10,12
73,22,23,35,21
74,22,23,10,21
75,22,23,29,18
76,22,23,29,47
77,22,23,13,37
78,22,23,15,15
79,22,23,48,34
80,22,23,43,14
81,22,23,32,14
82,22,23,27,19
83,22,23,46,21
84,22,23,48,35
85,22,23,20,20
86,22,23,15,19
87,22,23,46,18
88,22,23,23,36
89,22,23,17,20
90,22,23,38,35
91,22,23,30,19
92,22,23,41,32
93,22,23,34,27
94,22,23,20,41
95,22,23,13,28
96,22,23,25,38
97,22,23,29,14
98,22,23,19,33
99,22,23,46,20
100,22,23,17,10
101,22,23,34,27
102,22,23,29,40
103,22,23,22,46
104,22,23,27,14
105,22,23,26,39
106,22,23,41,37
107,22,23,22,48
108,22,23,43,17
109,22,23,35,48
110,22,23,30,23
111,22,23,36,42
112,22,23,17,43
113,22,23,21,19
114,22,23,38,42
115,22,23,27,40
116,22,23,49,38
117,22,23,18,30
118,22,23,11,34
119,22,23,16,35
120,22,23,33,49
121,22,23,47,37
122,22,23,20,26
123,22,23,19,48
124,22,23,39,22
125,22,23,41,20
126,22,23,47,27
127,22,23,20,44
128,22,23,36,12
129,22,23,34,10
130,22,23,49,24
131,22,23,36,24
132,22,23,34,30
133,22,23,49,43
134,22,23,37,46
135,22,23,14,49
136,22,23,41,23
137,22,23,19,12
138,22,23,47,39
139,22,23,29,35
140,22,23,49,43
141,22,23,43,32
142,22,23,45,34
143,22,23,25,11
144,22,23,25,36
145,22,23,16,30
146,22,23,32,46
147,22,23,19,27
148,22,23,14,44
149,22,23,16,46
150,22,23,23,37
151,22,23,39,27
152,22,23,18,38
153,22,23,36,16
154,22,23,48,49
155,22,23,42,42
156,22,23,35,36
157,22,23,27,13
158,22,23,45,45
159,22,23,32,33
160,22,23,39,19
161,22,23,11,34
162,22,23,33,44
163,22,23,35,21
164,22,23,22,31
165,22,23,33,17
166,22,23,30,18
167,22,23,14,25
