,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,26,18,41,23
1,26,18,29,24
2,26,18,31,34
3,26,18,45,36
4,26,18,34,47
5,26,18,46,28
6,26,18,21,19
7,26,18,17,40
8,26,18,23,27
9,26,18,28,40
10,26,18,29,13
11,26,18,43,23
12,26,18,36,16
13,26,18,39,37
14,26,18,47,25
15,26,18,49,27
16,26,18,39,44
17,26,18,45,33
18,26,18,40,41
19,26,18,21,33
20,26,18,24,27
21,26,18,35,37
22,26,18,32,36
23,26,18,32,42
24,26,18,19,23
25,26,18,23,30
26,26,18,41,12
27,26,18,40,22
28,26,18,39,29
29,26,18,13,17
30,26,18,10,11
31,26,18,24,29
32,26,18,24,38
33,26,18,22,23
34,26,18,21,28
35,26,18,37,14
36,26,18,14,43
37,26,18,18,24
38,26,18,34,37
39,26,18,26,40
40,26,18,25,10
41,26,18,27,26
42,26,18,37,21
43,26,18,24,22
44,26,18,45,16
45,26,18,19,44
46,26,18,32,18
47,26,18,40,45
48,26,18,37,46
49,26,18,34,13
50,26,18,23,45
51,26,18,39,18
52,26,18,42,28
53,26,18,22,15
54,26,18,25,24
55,26,18,34,15
56,26,18,14,14
57,26,18,18,16
58,26,18,10,32
59,26,18,15,37
60,26,18,41,27
61,26,18,33,16
62,26,18,48,49
63,26,18,44,23
64,26,18,13,28
65,26,18,18,48
66,26,18,12,13
67,26,18,34,21
68,26,18,32,41
69,26,18,41,30
70,26,18,16,31
71,26,18,30,26
72,26,18,31,45
73,26,18,41,13
74,26,18,25,34
75,26,18,40,36
76,26,18,39,25
77,26,18,22,26
78,26,18,14,16
79,26,18,45,29
80,26,18,20,24
81,26,18,21,17
82,26,18,44,24
83,26,18,17,11
84,26,18,37,30
85,26,18,20,11
86,26,18,35,39
87,26,18,31,33
88,26,18,12,32
89,26,18,18,23
90,26,18,11,30
91,26,18,44,44
92,26,18,21,26
93,26,18,20,43
94,26,18,42,37
95,26,18,12,33
96,26,18,10,25
97,26,18,46,13
98,26,18,40,27
99,26,18,46,36
100,26,18,40,17
101,26,18,24,49
102,26,18,17,21
103,26,18,31,36
104,26,18,21,49
105,26,18,19,41
106,26,18,29,15
107,26,18,15,37
108,26,18,29,37
109,26,18,49,32
110,26,18,14,38
111,26,18,16,19
112,26,18,36,48
113,26,18,16,41
114,26,18,31,42
115,26,18,35,25
116,26,18,22,30
117,26,18,14,15
118,26,18,14,46
119,26,18,47,49
120,26,18,10,47
121,26,18,38,31
122,26,18,42,44
123,26,18,41,33
124,26,18,37,22
125,26,18,38,18
126,26,18,17,49
127,26,18,10,39
128,26,18,22,11
129,26,18,30,37
130,26,18,46,48
131,26,18,34,26
132,26,18,10,42
133,26,18,35,23
134,26,18,10,37
135,26,18,13,49
136,26,18,38,35
137,26,18,30,37
138,26,18,23,46
139,26,18,30,10
140,26,18,45,16
141,26,18,17,25
142,26,18,11,33
143,26,18,17,46
144,26,18,16,41
145,26,18,21,19
146,26,18,37,32
147,26,18,43,38
148,26,18,14,41
149,26,18,25,21
150,26,18,35,22
151,26,18,15,25
152,26,18,27,10
153,26,18,41,16
154,26,18,44,27
155,26,18,49,34
156,26,18,46,25
157,26,18,14,47
158,26,18,28,27
159,26,18,36,35
160,26,18,38,38
161,26,18,23,49
162,26,18,30,31
163,26,18,28,23
164,26,18,19,10
165,26,18,40,29
166,26,18,13,20
167,26,18,13,23
168,26,18,13,11
169,26,18,33,25
170,26,18,19,44
171,26,18,13,43
172,26,18,44,15
173,26,18,25,10
174,26,18,46,24
175,26,18,31,39
176,26,18,20,39
177,26,18,24,22
178,26,18,10,47
179,26,18,40,34
180,26,18,17,30
181,26,18,44,22
182,26,18,11,29
183,26,18,43,19
184,26,18,38,22
185,26,18,45,20
186,26,18,15,25
187,26,18,26,13
188,26,18,35,29
189,26,18,37,18
190,26,18,38,14
191,26,18,15,34
192,26,18,12,21
193,26,18,28,29
194,26,18,36,47
195,26,18,32,14
196,26,18,34,31
197,26,18,11,27
198,26,18,18,27
199,26,18,25,11
200,26,18,48,10
201,26,18,43,49
202,26,18,38,24
203,26,18,19,42
204,26,18,39,34
205,26,18,29,47
206,26,18,35,12
207,26,18,48,16
208,26,18,42,34
209,26,18,18,21
210,26,18,39,24
211,26,18,34,39
212,26,18,18,38
213,26,18,30,32
214,26,18,35,27
215,26,18,42,17
216,26,18,28,37
217,26,18,34,29
218,26,18,35,18
219,26,18,49,29
220,26,18,11,38
221,26,18,44,48
222,26,18,33,45
223,26,18,19,14
224,26,18,16,22
225,26,18,15,16
226,26,18,45,11
227,26,18,20,15
228,26,18,47,11
229,26,18,38,23
230,26,18,42,14
231,26,18,18,33
232,26,18,37,31
233,26,18,22,30
234,26,18,27,47
235,26,18,32,48
236,26,18,25,20
237,26,18,27,39
238,26,18,23,29
239,26,18,34,16
240,26,18,29,48
241,26,18,31,20
242,26,18,18,33
243,26,18,45,16
244,26,18,17,34
245,26,18,24,35
246,26,18,21,49
247,26,18,17,41
248,26,18,16,15
249,26,18,17,37
250,26,18,16,28
251,26,18,49,20
252,26,18,41,32
253,26,18,20,39
254,26,18,42,28
255,26,18,16,13
256,26,18,38,32
257,26,18,41,20
258,26,18,29,33
259,26,18,11,19
260,26,18,24,28
261,26,18,48,40
262,26,18,21,14
263,26,18,10,30
264,26,18,15,28
265,26,18,23,48
266,26,18,45,36
267,26,18,11,27
268,26,18,44,36
269,26,18,16,30
270,26,18,38,13
271,26,18,36,32
272,26,18,32,36
273,26,18,42,45
274,26,18,44,47
275,26,18,21,28
276,26,18,29,20
277,26,18,36,12
278,26,18,25,35
279,26,18,28,40
280,26,18,13,39
281,26,18,34,16
282,26,18,39,28
283,26,18,28,16
284,26,18,44,38
285,26,18,47,29
286,26,18,41,13
287,26,18,41,29
288,26,18,21,39
289,26,18,19,17
290,26,18,36,25
291,26,18,49,44
292,26,18,10,30
293,26,18,42,12
294,26,18,24,29
295,26,18,41,17
296,26,18,47,12
297,26,18,40,23
298,26,18,48,20
299,26,18,42,46
300,26,18,31,28
301,26,18,34,37
302,26,18,26,39
303,26,18,28,24
304,26,18,44,32
305,26,18,44,36
306,26,18,31,34
307,26,18,42,29
308,26,18,48,21
309,26,18,39,38
310,26,18,42,23
311,26,18,39,49
312,26,18,11,48
313,26,18,15,22
314,26,18,11,17
315,26,18,49,12
316,26,18,20,44
317,26,18,23,45
318,26,18,30,43
319,26,18,20,17
320,26,18,22,25
321,26,18,42,49
322,26,18,20,27
323,26,18,15,17
324,26,18,20,39
325,26,18,40,30
326,26,18,47,15
327,26,18,15,46
328,26,18,28,49
329,26,18,17,47
330,26,18,18,22
331,26,18,32,41
332,26,18,33,38
333,26,18,44,47
334,26,18,29,23
335,26,18,17,15
336,26,18,19,37
337,26,18,18,29
338,26,18,17,30
339,26,18,32,21
340,26,18,41,29
341,26,18,17,17
342,26,18,21,31
343,26,18,49,48
344,26,18,24,35
345,26,18,48,15
346,26,18,30,40
347,26,18,46,24
348,26,18,30,18
349,26,18,49,46
350,26,18,45,14
351,26,18,23,28
352,26,18,28,10
353,26,18,30,46
354,26,18,48,10
355,26,18,30,22
356,26,18,20,28
357,26,18,36,29
358,26,18,13,31
359,26,18,36,49
360,26,18,21,19
361,26,18,20,25
362,26,18,49,28
363,26,18,26,45
364,26,18,32,49
365,26,18,14,26
366,26,18,25,18
367,26,18,43,46
368,26,18,25,14
369,26,18,28,29
370,26,18,17,21
371,26,18,23,29
372,26,18,35,31
