,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,3,3,1,3,2,1,2,1,3,3,1,1
1,3,3,1,3,2,1,2,1,3,3,4,3
2,3,3,1,3,2,1,1,1,1,2,3,2
3,1,3,2,1,2,2,1,2,1,2,2,3
4,1,3,2,1,2,2,3,4,4,4,1,2
5,1,3,2,1,2,2,4,2,1,1,4,4
6,1,3,2,1,2,2,2,1,4,4,4,2
7,1,3,2,1,2,2,2,2,3,3,1,3
8,1,3,2,1,2,2,1,4,4,1,4,1
9,1,3,2,1,2,2,1,3,1,1,3,3
10,1,3,2,1,2,2,2,3,3,2,3,2
11,1,3,2,1,2,2,4,4,1,2,2,3
12,1,3,2,1,2,2,1,1,3,4,2,1
13,1,3,2,1,2,2,3,3,1,2,4,4
14,1,3,2,1,2,2,4,3,3,1,1,4
15,1,3,2,1,2,2,3,3,3,1,2,3
16,3,3,1,3,2,1,3,1,2,1,4,1
17,1,3,2,1,2,2,2,3,3,2,3,1
18,1,3,2,1,2,2,4,4,2,3,2,1
19,3,3,3,4,1,1,1,4,4,2,2,2
20,3,3,3,4,1,1,4,3,3,2,1,1
21,3,3,1,4,1,1,4,3,4,3,3,2
22,1,3,2,1,2,2,2,1,4,4,3,3
23,1,3,2,1,2,2,1,2,2,4,1,4
24,1,3,2,1,2,2,2,3,2,1,1,4
25,1,3,2,1,2,2,4,3,1,4,1,2
26,1,3,2,1,2,2,4,1,1,4,3,1
27,1,3,2,1,2,2,1,2,2,1,2,3
28,1,3,2,1,2,2,2,3,4,4,1,1
29,1,3,2,1,2,2,1,3,4,4,4,4
30,1,3,2,1,2,2,1,2,4,3,3,3
31,1,3,2,1,2,2,1,1,4,2,4,1
32,1,3,2,1,2,2,1,1,3,2,3,2
33,3,3,1,3,2,1,1,3,4,1,1,4
34,3,3,1,3,2,1,2,1,4,4,2,4
35,3,3,1,3,2,1,3,3,3,3,1,2
36,3,3,1,3,2,1,4,1,1,3,2,4
37,1,3,2,1,2,2,4,1,4,1,2,3
38,1,3,2,1,2,2,3,2,4,4,3,1
39,1,3,2,1,2,2,1,1,4,3,2,2
40,1,3,2,1,2,2,2,3,3,3,1,4
41,1,3,2,1,2,2,2,2,2,4,1,4
42,1,3,2,1,2,2,1,2,3,3,3,3
43,1,3,2,1,2,2,4,3,2,3,3,1
44,1,3,2,1,2,2,4,4,2,4,1,3
45,1,3,2,1,2,2,3,1,2,2,2,3
46,1,3,2,1,2,2,4,3,1,4,3,2
