,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,10,29,44,42
1,10,29,28,33
2,10,29,34,31
3,10,29,10,21
4,10,29,30,46
5,10,29,29,42
6,10,29,37,49
7,10,29,23,42
8,10,29,20,36
9,10,29,34,36
10,10,29,11,30
11,10,29,16,47
12,10,29,47,49
13,10,29,40,30
14,10,29,29,24
15,10,29,21,17
16,10,29,38,17
17,10,29,48,36
18,10,29,48,32
19,10,29,40,14
20,10,29,31,30
21,10,29,17,29
22,10,29,33,23
23,10,29,44,47
24,10,29,14,12
25,10,29,40,21
26,10,29,11,22
27,10,29,33,35
28,10,29,32,12
29,10,29,42,42
30,10,29,45,46
31,10,29,46,35
32,10,29,32,44
33,10,29,37,16
34,10,29,35,38
35,10,29,28,41
36,10,29,36,21
37,10,29,49,49
38,10,29,12,29
39,10,29,30,48
40,10,29,22,34
41,10,29,43,13
42,10,29,10,17
43,10,29,24,46
44,10,29,35,16
45,10,29,44,19
46,10,29,48,27
47,10,29,12,47
48,10,29,10,24
49,10,29,25,41
50,10,29,25,33
51,10,29,34,34
52,10,29,10,27
53,10,29,28,47
54,10,29,24,17
55,10,29,11,45
56,10,29,15,10
57,10,29,17,15
58,10,29,40,10
59,10,29,10,34
60,10,29,24,17
61,10,29,30,39
62,10,29,29,22
63,10,29,29,28
64,10,29,12,22
65,10,29,26,46
66,10,29,24,13
67,10,29,34,18
68,10,29,13,11
69,10,29,24,18
70,10,29,35,27
71,10,29,29,47
72,10,29,17,48
73,10,29,36,26
74,10,29,10,44
75,10,29,28,34
76,10,29,30,19
77,10,29,13,45
78,10,29,29,44
79,10,29,19,24
80,10,29,43,11
81,10,29,48,47
82,10,29,14,39
83,10,29,15,34
84,10,29,32,42
85,10,29,14,20
86,10,29,37,21
87,10,29,16,15
88,10,29,20,40
89,10,29,45,28
90,10,29,36,44
91,10,29,40,15
92,10,29,33,34
93,10,29,46,11
94,10,29,35,25
95,10,29,27,40
96,10,29,19,39
97,10,29,38,48
98,10,29,29,35
99,10,29,15,35
100,10,29,12,37
101,10,29,42,37
102,10,29,42,28
103,10,29,29,14
104,10,29,47,24
105,10,29,24,35
106,10,29,48,17
107,10,29,36,31
108,10,29,28,22
109,10,29,27,36
110,10,29,15,46
111,10,29,43,36
112,10,29,16,37
113,10,29,25,41
114,10,29,45,33
115,10,29,22,47
116,10,29,33,40
117,10,29,43,17
118,10,29,47,15
119,10,29,43,11
120,10,29,22,41
121,10,29,12,35
122,10,29,19,24
123,10,29,33,22
124,10,29,18,37
125,10,29,28,19
126,10,29,39,28
127,10,29,18,14
128,10,29,24,42
129,10,29,23,44
130,10,29,25,38
131,10,29,16,27
132,10,29,14,16
133,10,29,31,35
134,10,29,32,40
135,10,29,31,26
136,10,29,34,48
137,10,29,46,28
138,10,29,21,38
139,10,29,22,29
140,10,29,45,42
141,10,29,22,47
142,10,29,23,20
143,10,29,30,20
144,10,29,16,14
145,10,29,23,45
146,10,29,23,10
147,10,29,45,24
148,10,29,34,39
149,10,29,18,40
150,10,29,17,45
151,10,29,41,28
152,10,29,37,43
153,10,29,36,48
154,10,29,47,42
155,10,29,35,26
156,10,29,11,18
157,10,29,28,18
158,10,29,43,10
159,10,29,14,47
160,10,29,15,44
161,10,29,49,23
162,10,29,49,37
163,10,29,32,12
164,10,29,38,13
165,10,29,20,49
166,10,29,38,26
167,10,29,38,26
168,10,29,28,23
169,10,29,12,35
170,10,29,15,22
171,10,29,40,35
172,10,29,36,33
173,10,29,20,10
174,10,29,21,18
175,10,29,30,20
176,10,29,14,38
177,10,29,34,47
178,10,29,21,35
179,10,29,30,39
180,10,29,25,27
181,10,29,30,45
182,10,29,36,41
183,10,29,23,10
184,10,29,46,34
185,10,29,20,24
186,10,29,11,15
187,10,29,21,35
188,10,29,23,44
189,10,29,22,47
190,10,29,19,30
191,10,29,18,17
192,10,29,44,18
193,10,29,35,43
194,10,29,49,12
195,10,29,31,40
196,10,29,42,33
197,10,29,38,11
198,10,29,46,10
199,10,29,13,41
200,10,29,32,13
201,10,29,47,32
202,10,29,27,15
203,10,29,14,16
204,10,29,17,46
205,10,29,29,44
206,10,29,23,18
207,10,29,12,39
208,10,29,22,30
209,10,29,41,24
210,10,29,15,13
211,10,29,14,16
212,10,29,22,46
213,10,29,14,11
214,10,29,20,30
215,10,29,29,15
216,10,29,18,45
217,10,29,14,44
218,10,29,11,36
219,10,29,23,30
220,10,29,31,47
221,10,29,38,38
222,10,29,11,10
223,10,29,11,19
224,10,29,41,37
225,10,29,17,25
226,10,29,32,34
227,10,29,22,25
228,10,29,49,42
229,10,29,43,38
230,10,29,46,12
231,10,29,43,32
232,10,29,19,21
233,10,29,43,18
234,10,29,36,33
235,10,29,37,46
236,10,29,22,39
237,10,29,16,43
238,10,29,23,34
239,10,29,23,22
240,10,29,35,38
241,10,29,18,37
242,10,29,31,23
243,10,29,35,36
244,10,29,41,43
245,10,29,37,10
246,10,29,12,22
247,10,29,14,22
248,10,29,47,30
249,10,29,12,49
250,10,29,40,28
251,10,29,42,21
252,10,29,15,45
253,10,29,27,47
254,10,29,34,14
255,10,29,36,31
256,10,29,31,49
257,10,29,44,27
258,10,29,39,49
259,10,29,31,25
260,10,29,30,21
261,10,29,42,21
262,10,29,10,17
263,10,29,39,31
264,10,29,41,36
265,10,29,46,25
266,10,29,24,10
267,10,29,31,36
268,10,29,33,49
269,10,29,17,48
270,10,29,40,39
271,10,29,45,43
272,10,29,27,42
273,10,29,27,39
274,10,29,33,42
275,10,29,21,15
276,10,29,11,26
277,10,29,30,25
278,10,29,43,23
279,10,29,28,11
280,10,29,25,10
281,10,29,28,40
282,10,29,29,15
283,10,29,43,24
284,10,29,22,18
285,10,29,22,45
286,10,29,39,25
287,10,29,24,12
288,10,29,11,27
289,10,29,22,46
290,10,29,45,26
291,10,29,35,24
292,10,29,38,24
293,10,29,24,13
294,10,29,22,38
295,10,29,12,49
296,10,29,38,21
297,10,29,29,46
298,10,29,43,39
299,10,29,42,31
300,10,29,40,11
301,10,29,12,27
302,10,29,45,44
303,10,29,36,37
304,10,29,27,21
305,10,29,47,39
306,10,29,47,13
307,10,29,44,37
308,10,29,40,44
309,10,29,45,10
310,10,29,10,44
311,10,29,37,45
312,10,29,44,21
313,10,29,45,19
314,10,29,44,39
315,10,29,26,26
316,10,29,14,24
317,10,29,16,16
318,10,29,22,41
319,10,29,19,29
320,10,29,15,17
321,10,29,42,44
322,10,29,21,48
323,10,29,30,27
324,10,29,38,16
325,10,29,25,39
326,10,29,15,45
327,10,29,20,23
328,10,29,20,13
329,10,29,12,12
330,10,29,30,20
331,10,29,13,32
332,10,29,13,10
333,10,29,26,14
334,10,29,33,26
335,10,29,23,45
336,10,29,46,13
337,10,29,39,27
338,10,29,21,39
339,10,29,45,18
340,10,29,38,24
341,10,29,31,37
342,10,29,33,34
343,10,29,31,43
344,10,29,11,30
345,10,29,19,20
346,10,29,12,24
347,10,29,35,33
348,10,29,29,45
349,10,29,14,29
350,10,29,23,39
351,10,29,33,17
352,10,29,41,24
353,10,29,10,42
354,10,29,21,42
355,10,29,35,46
356,10,29,30,14
357,10,29,38,41
358,10,29,11,32
359,10,29,26,16
360,10,29,31,39
361,10,29,25,46
362,10,29,39,48
363,10,29,28,34
364,10,29,32,27
365,10,29,13,43
366,10,29,23,47
367,10,29,33,31
368,10,29,46,46
369,10,29,34,17
370,10,29,39,16
371,10,29,28,47
372,10,29,34,18
373,10,29,49,49
374,10,29,10,20
375,10,29,15,16
376,10,29,48,36
377,10,29,36,12
378,10,29,28,21
379,10,29,11,40
380,10,29,31,48
381,10,29,10,15
382,10,29,31,38
383,10,29,31,44
384,10,29,13,46
385,10,29,44,16
386,10,29,30,49
387,10,29,26,38
388,10,29,30,14
389,10,29,15,19
390,10,29,23,16
391,10,29,23,41
392,10,29,48,19
393,10,29,26,38
394,10,29,27,30
395,10,29,27,40
396,10,29,43,49
397,10,29,28,27
398,10,29,31,46
399,10,29,23,16
400,10,29,40,42
401,10,29,34,29
402,10,29,29,14
403,10,29,28,35
404,10,29,24,47
405,10,29,49,14
406,10,29,42,18
407,10,29,21,10
408,10,29,10,13
409,10,29,34,32
410,10,29,22,41
411,10,29,30,12
412,10,29,10,16
413,10,29,49,11
414,10,29,10,27
415,10,29,43,15
416,10,29,39,21
417,10,29,23,21
418,10,29,23,22
419,10,29,40,48
420,10,29,31,34
421,10,29,29,38
422,10,29,47,14
423,10,29,31,44
424,10,29,17,30
425,10,29,41,23
426,10,29,37,43
427,10,29,46,21
428,10,29,40,45
429,10,29,33,24
430,10,29,27,47
431,10,29,29,38
432,10,29,18,35
433,10,29,41,29
434,10,29,13,24
435,10,29,27,38
436,10,29,32,37
437,10,29,21,10
438,10,29,12,47
439,10,29,47,12
440,10,29,30,49
441,10,29,33,28
442,10,29,20,40
443,10,29,33,10
444,10,29,21,47
445,10,29,15,10
446,10,29,38,33
447,10,29,17,46
448,10,29,14,48
449,10,29,24,22
450,10,29,24,47
451,10,29,27,20
452,10,29,40,35
453,10,29,23,14
454,10,29,30,32
455,10,29,39,10
456,10,29,48,39
457,10,29,48,18
458,10,29,12,32
459,10,29,39,11
460,10,29,19,45
461,10,29,35,39
462,10,29,14,10
463,10,29,23,47
464,10,29,17,25
465,10,29,12,45
466,10,29,24,21
467,10,29,39,34
468,10,29,41,36
469,10,29,41,32
470,10,29,47,20
471,10,29,47,19
472,10,29,49,19
473,10,29,34,13
474,10,29,26,25
475,10,29,27,11
476,10,29,25,36
477,10,29,29,34
478,10,29,25,12
479,10,29,37,44
480,10,29,14,43
481,10,29,24,25
482,10,29,16,46
483,10,29,33,21
484,10,29,34,17
485,10,29,45,19
486,10,29,49,45
487,10,29,16,46
488,10,29,25,48
489,10,29,36,10
490,10,29,15,47
491,10,29,43,18
492,10,29,41,11
493,10,29,12,36
494,10,29,44,18
495,10,29,31,27
496,10,29,44,42
497,10,29,31,17
498,10,29,49,46
499,10,29,26,29
500,10,29,49,10
501,10,29,17,45
502,10,29,25,19
