,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,32.0,10.0,32.0,10.0
1,32.0,10.0,30.0,13.0
2,31.0,11.0,31.0,11.0
3,31.0,11.0,31.0,11.0
4,31.0,11.0,32.0,10.0
5,31.0,11.0,27.0,17.0
6,31.0,11.0,31.0,11.0
7,31.0,11.0,27.0,17.0
8,31.0,11.0,32.0,10.0
9,31.0,10.0,30.0,13.0
10,31.0,10.0,30.0,13.0
11,31.0,11.0,32.0,10.0
12,31.0,11.0,32.0,10.0
13,31.0,11.0,30.0,13.0
14,31.0,11.0,32.0,10.0
15,31.0,11.0,27.0,17.0
16,31.0,11.0,32.0,10.0
17,31.0,11.0,32.0,10.0
18,31.0,11.0,31.0,11.0
19,31.0,13.0,32.0,10.0
20,31.0,13.0,30.0,13.0
21,31.0,11.0,30.0,13.0
22,31.0,11.0,31.0,11.0
23,31.0,11.0,27.0,17.0
24,31.0,11.0,30.0,13.0
25,31.0,11.0,31.0,11.0
26,31.0,11.0,27.0,17.0
27,31.0,11.0,30.0,13.0
28,31.0,11.0,32.0,10.0
29,31.0,11.0,30.0,13.0
30,31.0,11.0,32.0,10.0
31,31.0,11.0,32.0,10.0
32,31.0,11.0,30.0,13.0
33,31.0,11.0,30.0,13.0
34,31.0,11.0,27.0,17.0
35,31.0,11.0,30.0,13.0
36,31.0,11.0,27.0,17.0
37,31.0,11.0,32.0,10.0
38,31.0,11.0,31.0,11.0
39,31.0,11.0,32.0,10.0
40,31.0,11.0,32.0,10.0
41,31.0,11.0,32.0,10.0
42,27.0,17.0,30.0,13.0
43,31.0,11.0,32.0,10.0
44,31.0,11.0,27.0,17.0
45,31.0,11.0,31.0,11.0
46,31.0,11.0,27.0,17.0
47,31.0,11.0,30.0,13.0
48,31.0,11.0,30.0,13.0
49,31.0,11.0,27.0,17.0
50,31.0,11.0,27.0,17.0
51,31.0,11.0,27.0,17.0
52,31.0,11.0,32.0,10.0
53,27.0,11.0,30.0,13.0
54,27.0,17.0,30.0,13.0
55,31.0,11.0,32.0,10.0
56,27.0,11.0,32.0,10.0
57,27.0,11.0,31.0,11.0
58,27.0,17.0,27.0,17.0
59,31.0,11.0,32.0,10.0
60,30.0,13.0,27.0,17.0
61,30.0,13.0,31.0,11.0
