,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,3,3,3,4,4,2,3,4,2,2,4,1
1,3,3,3,4,4,2,1,1,4,2,3,1
2,3,3,3,4,4,2,3,2,4,3,3,2
3,3,3,3,4,4,2,3,3,2,1,1,3
4,3,3,3,4,4,2,2,3,1,4,2,4
5,3,3,3,4,4,2,1,3,3,2,3,2
6,3,3,3,4,4,2,1,3,2,1,1,1
7,3,3,3,4,4,2,2,1,4,2,4,4
8,3,3,3,4,4,2,4,3,2,2,4,3
9,3,3,3,4,4,2,2,1,1,2,3,3
10,3,3,3,4,4,2,2,2,4,4,3,4
11,3,3,3,4,4,2,2,2,3,4,3,1
12,3,3,3,4,4,2,2,3,1,2,2,1
13,3,3,3,4,4,2,3,2,1,1,4,3
14,3,3,3,4,4,2,2,4,1,3,2,2
15,3,3,3,4,4,2,3,2,2,3,4,1
16,3,3,3,4,4,2,1,1,4,4,3,3
17,3,3,3,4,4,2,1,3,2,2,2,3
18,3,3,3,4,4,2,3,4,1,4,2,2
19,3,3,3,4,4,2,3,4,3,2,1,1
20,3,3,3,4,4,2,2,4,1,4,3,1
21,3,3,3,4,4,2,3,2,4,3,3,4
22,3,3,3,4,4,2,4,4,3,1,4,3
23,3,3,3,4,4,2,1,3,3,1,2,3
24,3,3,3,4,4,2,2,1,4,1,2,1
25,3,3,3,4,4,2,1,4,2,4,2,3
26,3,3,3,4,4,2,4,1,3,4,4,2
27,3,3,3,4,4,2,2,3,1,4,3,3
28,3,3,3,4,4,2,2,2,1,2,3,3
29,3,3,3,4,4,2,3,1,1,4,4,4
30,3,3,3,4,4,2,4,4,1,4,1,1
31,3,3,3,4,4,2,4,3,4,1,1,2
32,3,3,3,4,4,2,4,2,2,1,2,2
33,3,3,3,4,4,2,3,2,1,2,4,1
34,3,3,3,4,4,2,3,2,2,4,2,3
35,3,3,3,4,4,2,3,2,2,2,4,4
36,3,3,3,4,4,2,4,1,1,2,4,1
37,3,3,3,4,4,2,3,1,3,4,2,4
38,3,3,3,4,4,2,1,3,4,4,3,3
39,3,3,3,4,4,2,1,1,4,1,4,2
40,3,3,3,4,4,2,2,2,3,1,3,4
41,3,3,3,4,4,2,1,1,1,2,2,1
42,3,3,3,4,4,2,4,1,3,2,2,4
43,3,3,3,4,4,2,3,4,1,3,1,4
44,3,3,3,4,4,2,4,3,3,1,1,1
45,3,3,3,4,4,2,3,4,2,4,2,3
46,3,3,3,4,4,2,1,1,1,4,4,4
47,3,3,3,4,4,2,2,1,3,3,3,3
48,3,3,3,4,4,2,1,1,2,3,1,4
49,3,3,3,4,4,2,2,1,2,1,2,4
50,3,3,3,4,4,2,1,2,3,1,4,1
51,3,3,3,4,4,2,3,1,3,3,1,3
52,3,3,3,4,4,2,1,1,3,4,2,1
53,3,3,3,4,4,2,1,1,2,1,2,2
54,3,3,3,4,4,2,1,4,4,4,1,2
55,3,3,3,4,4,2,2,1,1,3,2,1
56,3,3,3,4,4,2,3,1,1,1,1,4
57,3,3,3,4,4,2,2,1,2,3,1,4
58,3,3,3,4,4,2,4,3,4,1,3,2
59,3,3,3,4,4,2,1,4,2,2,1,4
60,3,3,3,4,4,2,4,1,1,3,2,2
61,3,3,3,4,4,2,4,1,3,1,1,2
62,3,3,3,4,4,2,2,1,2,2,2,2
63,3,3,3,4,4,2,1,1,3,3,4,2
64,3,3,3,4,4,2,4,1,2,1,1,1
65,3,3,3,4,4,2,3,4,2,4,2,4
66,3,3,3,4,4,2,1,3,4,4,2,3
67,3,3,3,4,4,2,1,1,3,4,3,3
68,3,3,3,4,4,2,1,1,4,3,3,4
69,3,3,3,4,4,2,3,4,1,2,3,4
70,3,3,3,4,4,2,3,1,4,1,2,2
71,3,3,3,4,4,2,1,1,2,1,1,4
72,3,3,3,4,4,2,2,2,1,2,1,2
73,3,3,3,4,4,2,3,4,2,3,4,3
74,3,3,3,4,4,2,3,2,4,2,1,1
75,3,3,3,4,4,2,4,1,3,3,2,2
76,3,3,3,4,4,2,4,3,1,1,4,3
77,3,3,3,4,4,2,3,2,1,1,3,1
78,3,3,3,4,4,2,4,2,4,1,4,4
79,3,3,3,4,4,2,4,4,4,2,2,1
80,3,3,3,4,4,2,1,2,4,4,4,4
81,3,3,3,4,4,2,4,1,4,4,1,3
82,3,3,3,4,4,2,4,1,1,2,4,1
83,3,3,3,4,4,2,3,3,2,2,4,3
84,3,3,3,4,4,2,1,1,1,2,4,3
85,3,3,3,4,4,2,4,2,3,4,3,1
86,3,3,3,4,4,2,4,1,2,4,1,2
87,3,3,3,4,4,2,4,1,3,2,2,2
88,3,3,3,4,4,2,4,2,3,3,1,4
89,3,3,3,4,4,2,2,4,3,1,2,1
90,3,3,3,4,4,2,1,2,4,4,4,3
91,3,3,3,4,4,2,3,3,2,2,4,2
92,3,3,3,4,4,2,2,3,3,3,3,4
93,3,3,3,4,4,2,3,2,4,3,1,4
94,3,3,3,4,4,2,1,3,4,4,1,2
95,3,3,3,4,4,2,2,2,1,1,4,4
96,3,3,3,4,4,2,4,4,2,3,4,1
97,3,3,3,4,4,2,1,4,2,4,4,2
98,3,3,3,4,4,2,3,3,1,1,3,3
99,3,3,3,4,4,2,4,3,1,3,2,2
100,3,3,3,4,4,2,4,3,1,1,3,1
101,3,3,3,4,4,2,4,2,4,1,1,3
102,3,3,3,4,4,2,3,2,4,4,2,3
103,3,3,3,4,4,2,1,4,4,4,1,2
104,3,3,3,4,4,2,4,2,2,2,2,3
105,3,3,3,4,4,2,1,3,4,1,2,1
106,3,3,3,4,4,2,3,3,4,4,1,4
107,3,3,3,4,4,2,3,1,4,1,2,1
108,3,3,3,4,4,2,3,2,3,4,4,4
109,3,3,3,4,4,2,1,3,2,4,3,4
110,3,3,3,4,4,2,2,2,2,2,1,1
111,3,3,3,4,4,2,4,3,3,3,2,2
112,3,3,3,4,4,2,4,2,1,3,4,3
113,3,3,3,4,4,2,3,4,2,3,2,4
114,3,3,3,4,4,2,1,1,2,2,2,2
115,3,3,3,4,4,2,1,4,2,4,3,4
116,3,3,3,4,4,2,4,1,3,3,3,3
117,3,3,3,4,4,2,2,1,1,3,2,4
118,3,3,3,4,4,2,2,4,1,3,1,1
119,3,3,3,4,4,2,3,4,3,2,4,3
