,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,4,4,2,4,4,2,2,2,3,4,4,2
1,4,4,2,4,4,2,3,3,2,4,2,1
2,4,4,2,4,4,2,1,1,3,3,4,3
3,4,4,2,4,4,2,4,3,4,1,2,3
4,4,4,2,4,4,2,4,3,2,3,1,2
5,4,4,2,4,4,2,3,4,4,2,1,4
6,4,4,2,4,4,2,4,3,1,1,4,4
7,4,4,2,4,4,2,3,1,1,2,3,2
8,4,4,2,4,4,2,3,4,4,3,1,4
9,4,4,2,4,4,2,3,4,4,3,2,4
10,4,4,2,4,4,2,2,4,3,1,4,1
11,4,4,2,4,4,2,3,2,1,4,4,3
12,4,4,2,4,4,2,1,4,1,3,1,3
13,4,4,2,4,4,2,3,1,3,3,1,2
14,4,4,2,4,4,2,3,3,4,2,3,2
15,4,4,2,4,4,2,1,4,3,2,1,3
16,4,4,2,4,4,2,3,2,2,4,3,4
17,4,4,2,4,4,2,2,2,1,4,2,4
18,4,4,2,4,4,2,4,2,4,4,4,1
19,4,4,2,4,4,2,4,2,3,1,4,2
20,4,4,2,4,4,2,2,4,3,2,2,1
21,4,4,2,4,4,2,2,4,3,1,2,3
22,4,4,2,4,4,2,2,2,2,4,1,2
23,4,4,2,4,4,2,1,3,3,4,4,2
24,4,4,2,4,4,2,3,4,3,2,1,4
25,4,4,2,4,4,2,3,1,4,3,4,2
26,4,4,2,4,4,2,4,3,3,4,1,4
27,4,4,2,4,4,2,3,2,1,4,3,1
28,4,4,2,4,4,2,1,1,3,1,3,3
29,4,4,2,4,4,2,1,2,4,4,3,3
30,4,4,2,4,4,2,1,4,3,4,1,1
31,4,4,2,4,4,2,1,4,1,2,2,3
32,4,4,2,4,4,2,1,4,3,4,3,3
33,4,4,2,4,4,2,3,2,3,2,4,4
34,4,4,2,4,4,2,2,2,4,2,4,4
35,4,4,2,4,4,2,3,3,1,4,1,2
36,4,4,2,4,4,2,4,2,4,2,2,4
37,4,4,2,4,4,2,3,3,4,4,1,1
38,4,4,2,4,4,2,2,2,1,4,1,4
39,4,4,2,4,4,2,4,1,3,3,3,2
40,4,4,2,4,4,2,1,4,2,1,2,3
41,4,4,2,4,4,2,1,1,2,3,1,1
42,4,4,2,4,4,2,4,1,1,2,4,3
43,4,4,2,4,4,2,2,3,2,1,1,3
44,4,4,2,4,4,2,2,4,4,3,1,4
45,4,4,2,4,4,2,4,3,1,3,1,3
46,4,4,2,4,4,2,2,3,3,1,4,1
47,4,4,2,4,4,2,4,4,3,4,2,3
48,4,4,2,4,4,2,3,3,3,4,3,2
49,4,4,2,4,4,2,1,3,1,2,1,2
50,4,4,2,4,4,2,1,2,2,2,1,1
51,4,4,2,4,4,2,2,3,2,4,4,2
52,4,4,2,4,4,2,3,4,1,2,2,4
53,4,4,2,4,4,2,2,1,4,1,2,2
54,4,4,2,4,4,2,4,3,4,4,1,3
55,4,4,2,4,4,2,4,2,2,2,3,3
56,4,4,2,4,4,2,3,2,3,2,1,1
57,4,4,2,4,4,2,4,1,1,4,2,4
58,4,4,2,4,4,2,1,4,2,4,3,1
59,4,4,2,4,4,2,2,3,4,1,4,2
60,4,4,2,4,4,2,4,3,2,4,2,4
61,4,4,2,4,4,2,3,1,3,2,4,3
62,4,4,2,4,4,2,3,3,2,1,2,4
63,4,4,2,4,4,2,2,4,3,4,2,2
64,4,4,2,4,4,2,4,3,1,2,2,3
65,4,4,2,4,4,2,1,1,3,4,1,1
66,4,4,2,4,4,2,1,1,1,3,1,4
67,4,4,2,4,4,2,4,4,1,1,3,3
68,4,4,2,4,4,2,1,1,3,1,4,4
69,4,4,2,4,4,2,1,2,3,4,2,3
70,4,4,2,4,4,2,3,1,2,4,4,2
71,4,4,2,4,4,2,1,2,2,3,1,4
72,4,4,2,4,4,2,4,2,4,4,2,1
73,4,4,2,4,4,2,1,4,2,2,2,4
74,4,4,2,4,4,2,4,2,1,2,1,3
75,4,4,2,4,4,2,4,4,4,4,3,1
76,4,4,2,4,4,2,4,1,1,1,1,2
77,4,4,2,4,4,2,4,2,2,1,3,2
78,4,4,2,4,4,2,2,2,3,3,2,4
79,4,4,2,4,4,2,4,3,2,2,3,1
80,4,4,2,4,4,2,3,1,3,1,3,4
81,4,4,2,4,4,2,2,4,4,2,2,4
82,4,4,2,4,4,2,1,1,3,2,2,4
83,4,4,2,4,4,2,2,1,3,2,2,1
84,4,4,2,4,4,2,1,2,1,1,2,4
85,4,4,2,4,4,2,4,4,3,4,1,1
86,4,4,2,4,4,2,1,4,2,3,2,2
87,4,4,2,4,4,2,4,1,2,2,2,3
88,4,4,2,4,4,2,2,3,2,3,2,4
89,4,4,2,4,4,2,4,2,3,4,4,1
90,4,4,2,4,4,2,3,2,2,2,4,3
91,4,4,2,4,4,2,4,2,3,4,4,1
92,4,4,2,4,4,2,4,4,4,1,4,1
93,4,4,2,4,4,2,3,4,4,2,3,2
94,4,4,2,4,4,2,3,3,2,4,4,3
95,4,4,2,4,4,2,2,1,4,4,4,4
96,4,4,2,4,4,2,2,3,4,4,4,4
97,4,4,2,4,4,2,2,4,2,3,1,2
98,4,4,2,4,4,2,4,3,4,3,1,3
99,4,4,2,4,4,2,1,3,4,1,1,4
100,4,4,2,4,4,2,3,3,3,4,1,4
101,4,4,2,4,4,2,1,1,3,3,2,2
102,4,4,2,4,4,2,4,4,4,2,3,2
103,4,4,2,4,4,2,4,3,3,4,1,1
104,4,4,2,4,4,2,3,2,2,2,3,3
105,4,4,2,4,4,2,2,3,4,2,3,4
106,4,4,2,4,4,2,4,1,2,4,1,2
107,4,4,2,4,4,2,4,1,2,2,1,2
108,4,4,2,4,4,2,3,4,1,2,4,4
109,4,4,2,4,4,2,1,2,3,2,2,2
110,4,4,2,4,4,2,4,3,1,2,4,4
111,4,4,2,4,4,2,4,1,4,2,4,3
112,4,4,2,4,4,2,4,2,1,4,4,3
113,4,4,2,4,4,2,2,2,2,2,1,1
114,4,4,2,4,4,2,2,3,2,3,2,1
115,4,4,2,4,4,2,1,4,1,1,1,3
116,4,4,2,4,4,2,3,4,4,1,4,4
117,4,4,2,4,4,2,3,1,3,3,3,4
118,4,4,2,4,4,2,4,4,4,3,1,4
119,4,4,2,4,4,2,2,3,1,4,2,1
120,4,4,2,4,4,2,3,1,3,4,2,4
121,4,4,2,4,4,2,1,1,3,1,1,1
122,4,4,2,4,4,2,4,3,4,2,1,1
123,4,4,2,4,4,2,2,3,3,3,1,1
124,4,4,2,4,4,2,2,2,2,2,3,4
125,4,4,2,4,4,2,1,3,4,2,4,1
126,4,4,2,4,4,2,1,2,3,2,2,3
127,4,4,2,4,4,2,3,4,2,4,4,2
128,4,4,2,4,4,2,1,3,1,3,1,4
129,4,4,2,4,4,2,3,3,2,2,3,1
130,4,4,2,4,4,2,2,3,2,4,2,3
131,4,4,2,4,4,2,1,1,1,3,1,2
132,4,4,2,4,4,2,2,1,3,1,1,4
133,4,4,2,4,4,2,4,2,4,2,2,4
134,4,4,2,4,4,2,3,2,1,1,3,3
135,4,4,2,4,4,2,4,3,2,1,4,3
136,4,4,2,4,4,2,3,2,3,2,1,1
137,4,4,2,4,4,2,2,3,4,3,4,3
138,4,4,2,4,4,2,2,4,2,4,1,1
139,4,4,2,4,4,2,2,1,3,1,4,1
140,4,4,2,4,4,2,4,3,2,2,1,1
141,4,4,2,4,4,2,3,3,4,2,3,4
142,4,4,2,4,4,2,2,2,1,1,3,2
143,4,4,2,4,4,2,4,1,1,2,3,1
144,4,4,2,4,4,2,3,2,4,4,3,4
145,4,4,2,4,4,2,4,2,2,1,2,4
146,4,4,2,4,4,2,1,3,1,1,4,2
147,4,4,2,4,4,2,2,4,1,2,2,4
148,4,4,2,4,4,2,4,3,4,4,2,4
149,4,4,2,4,4,2,1,2,2,1,2,3
150,4,4,2,4,4,2,4,4,4,1,4,3
151,4,4,2,4,4,2,4,2,1,3,4,2
152,4,4,2,4,4,2,2,3,4,3,4,3
153,4,4,2,4,4,2,2,3,2,1,3,4
154,4,4,2,4,4,2,3,1,1,1,1,4
155,4,4,2,4,4,2,4,1,2,1,1,2
156,4,4,2,4,4,2,4,4,4,3,4,2
157,4,4,2,4,4,2,2,4,2,2,4,4
158,4,4,2,4,4,2,1,4,4,1,3,4
159,4,4,2,4,4,2,2,4,2,2,1,1
160,4,4,2,4,4,2,2,1,4,3,3,1
161,4,4,2,4,4,2,4,3,3,3,1,1
162,4,4,2,4,4,2,2,2,2,3,1,3
163,4,4,2,4,4,2,1,4,4,4,1,3
164,4,4,2,4,4,2,1,2,2,4,1,1
165,4,4,2,4,4,2,3,4,4,2,4,4
166,4,4,2,4,4,2,4,4,3,4,4,2
167,4,4,2,4,4,2,2,2,3,4,1,1
168,4,4,2,4,4,2,4,2,3,1,1,2
169,4,4,2,4,4,2,3,3,3,4,1,2
170,4,4,2,4,4,2,2,2,4,4,2,1
171,4,4,2,4,4,2,2,1,3,2,4,3
172,4,4,2,4,4,2,2,1,4,4,4,3
173,4,4,2,4,4,2,4,1,3,2,4,1
174,4,4,2,4,4,2,2,2,2,2,3,1
175,4,4,2,4,4,2,4,1,4,2,2,4
176,4,4,2,4,4,2,2,4,4,4,4,2
177,4,4,2,4,4,2,4,1,2,4,4,2
178,4,4,2,4,4,2,2,1,1,2,1,4
179,4,4,2,4,4,2,4,2,4,2,4,4
180,4,4,2,4,4,2,3,4,2,1,4,4
181,4,4,2,4,4,2,2,4,4,4,2,3
182,4,4,2,4,4,2,1,3,1,4,4,2
183,4,4,2,4,4,2,2,3,3,3,2,4
184,4,4,2,4,4,2,4,1,4,3,3,4
185,4,4,2,4,4,2,3,4,2,4,2,1
186,4,4,2,4,4,2,1,4,4,4,2,4
187,4,4,2,4,4,2,1,3,3,1,2,1
188,4,4,2,4,4,2,4,1,2,3,1,2
189,4,4,2,4,4,2,3,2,4,4,1,2
190,4,4,2,4,4,2,2,2,4,4,2,3
191,4,4,2,4,4,2,1,2,4,3,4,2
192,4,4,2,4,4,2,4,4,2,3,1,4
193,4,4,2,4,4,2,1,4,1,4,2,1
194,4,4,2,4,4,2,3,4,2,1,1,3
195,4,4,2,4,4,2,3,1,1,2,2,1
196,4,4,2,4,4,2,1,3,2,2,4,2
197,4,4,2,4,4,2,4,2,3,4,1,1
198,4,4,2,4,4,2,3,1,4,4,4,3
199,4,4,2,4,4,2,3,1,3,4,4,2
200,4,4,2,4,4,2,4,4,1,1,1,4
201,4,4,2,4,4,2,1,1,2,2,3,3
202,4,4,2,4,4,2,1,4,4,4,4,4
203,4,4,2,4,4,2,1,4,1,2,2,1
204,4,4,2,4,4,2,3,1,3,4,4,2
205,4,4,2,4,4,2,3,4,2,3,1,3
206,4,4,2,4,4,2,2,4,4,3,1,3
207,4,4,2,4,4,2,1,1,2,4,4,3
208,4,4,2,4,4,2,3,2,1,2,3,2
209,4,4,2,4,4,2,3,2,4,3,3,2
210,4,4,2,4,4,2,3,3,1,1,2,1
211,4,4,2,4,4,2,4,2,4,2,2,2
212,4,4,2,4,4,2,3,3,3,3,2,2
213,4,4,2,4,4,2,2,3,2,4,2,2
214,4,4,2,4,4,2,3,1,2,2,2,2
215,4,4,2,4,4,2,4,2,1,4,4,2
216,4,4,2,4,4,2,2,3,1,1,2,4
217,4,4,2,4,4,2,1,2,2,1,1,4
218,4,4,2,4,4,2,2,4,1,2,2,4
219,4,4,2,4,4,2,1,2,4,3,2,1
220,4,4,2,4,4,2,1,4,2,3,1,4
221,4,4,2,4,4,2,4,3,4,2,1,3
222,4,4,2,4,4,2,3,3,4,1,4,2
223,4,4,2,4,4,2,4,2,1,4,2,1
224,4,4,2,4,4,2,2,2,4,1,2,2
225,4,4,2,4,4,2,4,3,4,3,1,4
226,4,4,2,4,4,2,1,1,2,1,4,4
227,4,4,2,4,4,2,2,2,2,1,1,2
228,4,4,2,4,4,2,4,4,3,4,3,2
229,4,4,2,4,4,2,1,3,1,4,4,4
230,4,4,2,4,4,2,4,4,3,4,4,4
231,4,4,2,4,4,2,2,3,3,1,2,3
232,4,4,2,4,4,2,2,2,3,1,4,2
233,4,4,2,4,4,2,4,2,2,4,1,4
234,4,4,2,4,4,2,3,3,2,2,3,1
235,4,4,2,4,4,2,2,2,3,3,1,1
236,4,4,2,4,4,2,3,2,4,3,3,3
237,4,4,2,4,4,2,2,4,4,2,3,1
238,4,4,2,4,4,2,2,2,2,1,4,1
239,4,4,2,4,4,2,2,2,2,2,1,1
240,4,4,2,4,4,2,2,4,1,4,2,4
241,4,4,2,4,4,2,1,4,3,4,2,2
242,4,4,2,4,4,2,2,2,4,3,2,3
243,4,4,2,4,4,2,1,2,2,2,4,3
244,4,4,2,4,4,2,3,1,1,2,3,1
245,4,4,2,4,4,2,3,4,2,2,4,2
246,4,4,2,4,4,2,2,2,4,4,4,1
247,4,4,2,4,4,2,4,1,3,3,4,1
248,4,4,2,4,4,2,3,3,1,2,1,1
249,4,4,2,4,4,2,1,1,2,3,2,2
250,4,4,2,4,4,2,4,1,4,3,1,2
251,4,4,2,4,4,2,1,3,1,2,2,2
252,4,4,2,4,4,2,2,2,4,2,3,3
253,4,4,2,4,4,2,4,2,2,2,3,2
254,4,4,2,4,4,2,4,1,2,2,2,1
255,4,4,2,4,4,2,4,3,2,4,4,3
256,4,4,2,4,4,2,1,3,1,4,2,2
257,4,4,2,4,4,2,3,4,3,3,2,4
258,4,4,2,4,4,2,1,1,3,1,3,1
259,4,4,2,4,4,2,2,4,4,4,3,2
260,4,4,2,4,4,2,3,1,4,4,2,3
261,4,4,2,4,4,2,4,1,2,1,4,2
262,4,4,2,4,4,2,1,4,4,2,4,4
263,4,4,2,4,4,2,1,3,2,3,4,1
264,4,4,2,4,4,2,3,3,1,4,3,2
265,4,4,2,4,4,2,1,1,2,2,3,4
266,4,4,2,4,4,2,1,3,2,1,2,1
267,4,4,2,4,4,2,4,1,3,4,2,1
268,4,4,2,4,4,2,4,3,2,1,4,1
269,4,4,2,4,4,2,4,2,3,2,4,2
270,4,4,2,4,4,2,3,4,1,3,3,3
271,4,4,2,4,4,2,3,3,1,1,3,3
272,4,4,2,4,4,2,4,1,4,2,3,3
273,4,4,2,4,4,2,4,3,4,1,3,4
274,4,4,2,4,4,2,3,3,3,4,3,4
275,4,4,2,4,4,2,2,1,1,3,3,3
276,4,4,2,4,4,2,3,3,4,4,3,4
277,4,4,2,4,4,2,4,2,2,2,4,4
278,4,4,2,4,4,2,2,2,2,2,3,1
279,4,4,2,4,4,2,1,2,1,1,3,2
280,4,4,2,4,4,2,3,1,3,3,1,4
281,4,4,2,4,4,2,4,1,3,3,1,2
282,4,4,2,4,4,2,2,4,2,2,2,4
283,4,4,2,4,4,2,2,2,4,1,2,3
284,4,4,2,4,4,2,3,4,1,3,1,4
285,4,4,2,4,4,2,3,4,4,3,1,2
286,4,4,2,4,4,2,1,1,4,2,2,2
287,4,4,2,4,4,2,3,4,2,3,2,1
288,4,4,2,4,4,2,2,1,4,1,2,1
289,4,4,2,4,4,2,1,3,3,3,1,2
