,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,3,1,1,3,1,3,4,2,4,4,2,3
1,3,1,1,3,1,3,4,3,4,3,4,2
2,3,1,1,3,1,3,4,1,1,4,2,2
3,3,1,1,3,1,3,4,3,4,2,1,3
4,3,1,1,3,1,3,1,4,1,2,4,2
5,3,1,1,3,1,3,3,2,1,1,1,1
6,3,1,1,3,1,3,1,1,1,4,2,2
7,3,1,2,3,2,3,3,4,2,2,3,3
8,3,1,2,3,2,3,4,2,4,4,1,1
9,3,1,2,3,2,3,1,4,4,2,3,3
10,3,1,2,3,2,3,3,3,4,3,2,2
11,3,1,2,3,1,3,1,4,4,3,1,2
12,3,1,1,3,1,3,3,1,3,1,1,3
13,3,1,1,3,1,3,4,3,3,3,3,3
14,3,1,1,3,1,3,3,2,4,2,3,2
15,3,1,3,3,1,2,4,4,2,4,3,3
16,3,1,3,3,4,2,3,1,2,2,1,1
17,3,1,1,3,1,3,4,2,4,2,1,2
18,3,1,2,3,1,3,2,1,2,4,3,4
19,3,1,2,3,2,3,1,1,2,3,3,3
20,3,1,2,3,2,3,3,1,4,1,4,2
21,3,1,2,3,2,3,4,2,2,2,3,3
22,3,4,2,3,2,3,4,2,1,2,1,4
23,3,4,2,3,2,3,3,4,2,3,4,4
24,3,4,2,3,2,3,4,1,2,4,1,4
25,3,4,2,3,2,3,4,1,3,1,1,4
26,3,4,2,3,2,3,1,1,2,3,2,1
27,3,4,2,3,2,3,2,4,4,2,4,2
28,2,4,2,3,2,3,4,2,4,4,2,4
29,2,4,2,3,3,3,1,3,3,4,4,4
30,2,4,2,3,3,2,2,3,2,4,4,3
31,2,4,2,1,3,2,3,4,2,2,2,1
32,2,4,2,1,3,2,1,4,1,4,1,3
33,2,4,2,1,3,2,1,1,1,2,1,2
34,2,4,2,1,3,2,1,1,4,1,3,3
35,2,4,2,1,3,2,4,3,3,3,2,4
36,2,4,2,3,2,3,3,4,3,4,2,3
37,2,4,2,3,2,3,1,4,4,2,2,4
38,2,4,2,3,2,3,2,3,3,3,3,4
39,2,4,2,3,2,3,3,1,2,1,2,2
40,2,4,2,3,2,3,1,2,1,2,4,1
41,2,4,2,3,2,3,4,3,1,3,3,3
42,2,4,2,1,2,3,3,2,2,4,3,4
43,2,4,2,1,2,2,2,1,4,2,3,1
44,2,2,2,1,3,2,4,2,4,2,4,2
45,2,2,2,1,3,2,4,3,4,3,1,3
46,2,2,2,1,3,2,1,1,3,4,3,2
47,2,4,2,1,3,2,2,1,4,1,3,4
48,1,1,1,3,3,2,1,1,2,4,3,4
49,2,2,2,3,3,2,4,1,2,4,1,4
50,2,2,2,3,3,2,3,1,2,1,3,3
51,2,2,2,3,3,2,1,3,3,3,4,3
52,2,2,2,3,3,2,3,4,4,2,2,3
53,2,1,1,3,3,2,4,1,1,4,2,4
54,2,2,1,3,3,2,3,4,3,3,4,1
55,2,2,2,3,3,2,4,2,1,2,2,4
56,2,2,2,3,3,2,1,1,2,1,3,2
57,2,2,2,3,3,2,2,4,4,4,3,4
58,2,2,2,3,3,2,3,2,3,1,2,4
59,2,2,2,3,3,2,2,3,3,4,2,4
60,2,2,2,3,3,2,1,2,3,3,3,1
61,2,2,2,3,3,2,1,2,3,2,3,1
62,2,2,2,3,3,2,2,2,1,3,2,4
63,2,2,2,3,3,2,4,4,1,1,3,4
64,2,2,2,3,3,2,3,2,1,4,4,1
65,2,2,2,3,3,2,1,3,4,4,3,2
66,2,2,2,3,3,2,4,2,4,2,4,2
67,2,4,2,3,3,2,3,3,1,2,1,3
68,2,4,2,3,3,2,1,4,2,2,4,1
69,2,4,2,3,3,2,1,3,1,4,1,4
70,2,4,2,3,3,2,4,2,4,4,3,1
71,2,4,2,3,3,2,3,4,3,4,3,4
72,1,1,1,3,3,2,3,1,3,3,2,4
73,1,1,1,3,3,2,4,3,2,1,4,2
74,1,1,1,3,3,1,1,3,3,3,1,2
