,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,27.0,17.0,31.0,11.0
1,27.0,17.0,32.0,10.0
2,31.0,11.0,30.0,13.0
3,31.0,11.0,30.0,13.0
4,31.0,11.0,30.0,13.0
5,31.0,11.0,27.0,17.0
6,31.0,17.0,27.0,17.0
7,27.0,17.0,27.0,17.0
8,27.0,17.0,30.0,13.0
9,27.0,17.0,32.0,10.0
10,27.0,17.0,30.0,13.0
11,27.0,17.0,32.0,10.0
12,27.0,17.0,27.0,17.0
13,27.0,17.0,27.0,17.0
14,27.0,17.0,30.0,13.0
15,27.0,17.0,31.0,11.0
16,27.0,17.0,30.0,13.0
17,27.0,17.0,30.0,13.0
18,27.0,17.0,30.0,13.0
19,27.0,17.0,30.0,13.0
20,27.0,17.0,30.0,13.0
21,27.0,17.0,27.0,17.0
22,27.0,17.0,31.0,11.0
23,27.0,17.0,32.0,10.0
24,27.0,17.0,31.0,11.0
25,27.0,17.0,27.0,17.0
26,27.0,17.0,27.0,17.0
27,27.0,17.0,30.0,13.0
28,27.0,17.0,30.0,13.0
29,27.0,17.0,31.0,11.0
30,27.0,17.0,27.0,17.0
31,27.0,17.0,30.0,13.0
32,27.0,17.0,30.0,13.0
33,27.0,17.0,31.0,11.0
34,27.0,17.0,32.0,10.0
35,27.0,17.0,31.0,11.0
36,27.0,17.0,27.0,17.0
37,27.0,17.0,31.0,11.0
38,27.0,17.0,32.0,10.0
39,27.0,17.0,32.0,10.0
40,27.0,17.0,32.0,10.0
41,27.0,17.0,27.0,17.0
42,27.0,17.0,31.0,11.0
43,27.0,17.0,32.0,10.0
44,27.0,17.0,27.0,17.0
45,27.0,17.0,30.0,13.0
46,27.0,17.0,30.0,13.0
47,27.0,17.0,31.0,11.0
48,27.0,17.0,31.0,11.0
49,27.0,17.0,31.0,11.0
50,27.0,17.0,31.0,11.0
51,27.0,17.0,27.0,17.0
52,27.0,17.0,30.0,13.0
53,27.0,17.0,31.0,11.0
54,31.0,17.0,31.0,11.0
55,31.0,17.0,32.0,10.0
56,31.0,17.0,30.0,13.0
57,31.0,17.0,31.0,11.0
58,31.0,10.0,31.0,11.0
59,31.0,10.0,27.0,17.0
60,32.0,10.0,30.0,13.0
61,31.0,10.0,30.0,13.0
62,31.0,10.0,31.0,11.0
63,32.0,10.0,32.0,10.0
64,32.0,10.0,31.0,11.0
65,32.0,10.0,30.0,13.0
66,31.0,11.0,32.0,10.0
67,31.0,11.0,31.0,11.0
68,31.0,11.0,32.0,10.0
69,31.0,11.0,30.0,13.0
70,31.0,17.0,31.0,11.0
71,31.0,10.0,27.0,17.0
72,32.0,10.0,31.0,11.0
73,32.0,10.0,27.0,17.0
74,32.0,10.0,30.0,13.0
75,31.0,10.0,27.0,17.0
76,31.0,10.0,32.0,10.0
77,31.0,17.0,27.0,17.0
78,31.0,17.0,30.0,13.0
79,31.0,17.0,31.0,11.0
80,31.0,17.0,27.0,17.0
81,31.0,17.0,32.0,10.0
82,31.0,17.0,32.0,10.0
83,31.0,10.0,31.0,11.0
84,31.0,10.0,32.0,10.0
85,31.0,10.0,32.0,10.0
86,32.0,10.0,31.0,11.0
87,31.0,10.0,32.0,10.0
88,31.0,10.0,30.0,13.0
89,31.0,17.0,32.0,10.0
90,31.0,17.0,27.0,17.0
91,31.0,10.0,31.0,11.0
92,31.0,10.0,32.0,10.0
93,31.0,10.0,27.0,17.0
94,31.0,10.0,27.0,17.0
95,31.0,10.0,27.0,17.0
96,31.0,17.0,30.0,13.0
97,31.0,17.0,31.0,11.0
98,27.0,17.0,31.0,11.0
99,27.0,17.0,31.0,11.0
100,27.0,17.0,32.0,10.0
101,31.0,17.0,27.0,17.0
102,31.0,11.0,32.0,10.0
103,31.0,10.0,27.0,17.0
104,31.0,10.0,31.0,11.0
105,31.0,10.0,32.0,10.0
106,32.0,10.0,32.0,10.0
107,32.0,10.0,32.0,10.0
108,32.0,10.0,30.0,13.0
109,32.0,10.0,32.0,10.0
110,32.0,10.0,30.0,13.0
111,32.0,10.0,31.0,11.0
112,32.0,10.0,27.0,17.0
113,31.0,10.0,27.0,17.0
114,32.0,10.0,31.0,11.0
115,32.0,10.0,27.0,17.0
116,32.0,10.0,27.0,17.0
117,32.0,10.0,30.0,13.0
118,31.0,10.0,27.0,17.0
119,31.0,10.0,31.0,11.0
120,31.0,10.0,31.0,11.0
121,31.0,10.0,27.0,17.0
122,31.0,11.0,30.0,13.0
123,31.0,11.0,31.0,11.0
124,31.0,11.0,32.0,10.0
125,31.0,11.0,31.0,11.0
126,31.0,11.0,30.0,13.0
127,31.0,11.0,30.0,13.0
128,31.0,11.0,27.0,17.0
129,31.0,11.0,32.0,10.0
130,31.0,11.0,32.0,10.0
131,31.0,11.0,32.0,10.0
132,31.0,11.0,30.0,13.0
133,31.0,17.0,27.0,17.0
134,31.0,17.0,27.0,17.0
135,31.0,17.0,27.0,17.0
136,31.0,17.0,32.0,10.0
137,31.0,17.0,27.0,17.0
138,31.0,17.0,30.0,13.0
139,31.0,11.0,32.0,10.0
140,31.0,11.0,27.0,17.0
141,31.0,11.0,27.0,17.0
142,31.0,11.0,27.0,17.0
143,31.0,11.0,27.0,17.0
144,31.0,11.0,27.0,17.0
145,31.0,11.0,31.0,11.0
146,31.0,11.0,30.0,13.0
147,31.0,11.0,32.0,10.0
148,31.0,11.0,30.0,13.0
149,31.0,11.0,27.0,17.0
150,31.0,11.0,31.0,11.0
151,31.0,11.0,32.0,10.0
152,31.0,11.0,32.0,10.0
153,31.0,11.0,27.0,17.0
154,31.0,11.0,32.0,10.0
155,31.0,17.0,27.0,17.0
156,31.0,11.0,32.0,10.0
157,31.0,17.0,31.0,11.0
158,31.0,17.0,27.0,17.0
159,31.0,17.0,31.0,11.0
160,31.0,11.0,27.0,17.0
161,31.0,11.0,27.0,17.0
162,31.0,11.0,27.0,17.0
163,31.0,11.0,27.0,17.0
164,31.0,11.0,30.0,13.0
165,31.0,11.0,32.0,10.0
166,31.0,11.0,32.0,10.0
167,31.0,11.0,31.0,11.0
168,31.0,11.0,32.0,10.0
169,31.0,11.0,31.0,11.0
170,31.0,11.0,32.0,10.0
171,31.0,17.0,32.0,10.0
172,31.0,11.0,27.0,17.0
173,31.0,11.0,31.0,11.0
