,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,37,11,15,21
1,37,11,27,44
2,37,11,35,47
3,37,11,49,11
4,37,11,22,19
5,37,11,49,41
6,37,11,36,23
7,37,11,19,47
8,37,11,26,21
9,37,11,42,32
10,37,11,15,27
11,37,11,41,46
12,37,11,15,17
13,37,11,13,14
14,37,11,10,28
15,37,11,44,37
16,37,11,21,35
17,37,11,31,46
18,37,11,40,43
19,37,11,45,42
20,37,11,37,10
21,37,11,46,45
22,37,11,14,40
23,37,11,48,40
24,37,11,13,20
25,37,11,17,10
26,37,11,26,19
27,37,11,16,17
28,37,11,49,40
29,37,11,43,26
30,37,11,35,11
31,37,11,43,45
32,37,11,25,22
33,37,11,43,48
34,37,11,43,33
35,37,11,44,36
36,37,11,34,10
37,37,11,31,31
38,37,11,29,48
39,37,11,49,33
40,37,11,26,30
41,37,11,43,24
42,37,11,34,19
43,37,11,11,29
44,37,11,14,32
45,37,11,47,26
46,37,11,30,49
47,37,11,11,17
48,37,11,36,47
49,37,11,46,33
50,37,11,30,27
51,37,11,49,26
52,37,11,45,30
53,37,11,27,28
54,37,11,42,19
55,37,11,24,36
56,37,11,43,26
57,37,11,45,14
58,37,11,26,18
59,37,11,30,18
60,37,11,40,42
61,37,11,46,12
62,37,11,12,42
63,37,11,18,31
64,37,11,18,46
65,37,11,48,16
66,37,11,14,26
67,37,11,41,28
68,37,11,40,21
69,37,11,37,47
70,37,11,18,41
71,37,11,36,27
72,37,11,43,22
73,37,11,33,23
74,37,11,49,19
75,37,11,45,35
76,37,11,26,39
77,37,11,18,27
78,37,11,15,27
79,37,11,10,16
80,37,11,22,26
81,37,11,12,33
82,37,11,48,29
83,37,11,18,37
84,37,11,23,33
85,37,11,47,11
86,37,11,30,40
87,37,11,14,45
88,37,11,11,45
89,37,11,28,13
90,37,11,43,37
91,37,11,28,21
92,37,11,11,31
93,37,11,36,24
94,37,11,18,28
95,37,11,20,47
96,37,11,36,21
97,37,11,20,43
98,37,11,26,38
99,37,11,26,27
100,37,11,30,29
101,37,11,41,18
102,37,11,13,27
103,37,11,29,42
104,37,11,19,20
105,37,11,33,37
106,37,11,20,27
107,37,11,30,38
108,37,11,19,12
109,37,11,27,35
110,37,11,49,29
111,37,11,49,27
112,37,11,34,14
113,37,11,36,42
114,37,11,12,23
115,37,11,34,28
116,37,11,47,25
117,37,11,32,26
118,37,11,45,36
119,37,11,36,15
120,37,11,12,43
121,37,11,48,18
122,37,11,16,47
123,37,11,16,19
124,37,11,48,24
125,37,11,27,21
126,37,11,15,45
127,37,11,18,34
128,37,11,15,17
129,37,11,48,10
130,37,11,18,34
131,37,11,23,41
132,37,11,21,32
133,37,11,45,33
134,37,11,43,25
135,37,11,21,34
136,37,11,49,38
137,37,11,29,35
138,37,11,24,41
139,37,11,31,40
140,37,11,36,16
141,37,11,42,34
142,37,11,24,19
143,37,11,11,15
144,37,11,49,30
145,37,11,10,32
146,37,11,25,13
147,37,11,10,38
148,37,11,29,10
149,37,11,13,24
150,37,11,47,43
151,37,11,42,39
152,37,11,23,39
153,37,11,21,33
154,37,11,33,27
155,37,11,13,34
156,37,11,14,43
157,37,11,36,36
158,37,11,14,40
159,37,11,26,29
160,37,11,28,14
161,37,11,13,42
162,37,11,35,16
163,37,11,45,47
164,37,11,24,13
165,37,11,31,32
166,37,11,46,19
167,37,11,36,46
168,37,11,46,19
169,37,11,45,24
170,37,11,15,11
171,37,11,29,35
172,37,11,35,49
173,37,11,17,13
174,37,11,44,17
175,37,11,19,27
176,37,11,27,17
177,37,11,39,48
178,37,11,46,24
179,37,11,46,49
180,37,11,42,18
181,37,11,31,40
182,37,11,23,40
183,37,11,17,36
184,37,11,19,35
185,37,11,43,29
186,37,11,30,11
187,37,11,24,21
188,37,11,29,14
189,37,11,45,27
190,37,11,41,11
191,37,11,23,27
192,37,11,16,26
193,37,11,43,28
194,37,11,29,33
195,37,11,35,11
196,37,11,23,27
197,37,11,20,40
198,37,11,10,32
199,37,11,21,15
200,37,11,30,40
201,37,11,25,15
202,37,11,42,31
203,37,11,12,44
204,37,11,12,14
205,37,11,47,20
206,37,11,18,47
207,37,11,28,45
208,37,11,17,11
209,37,11,33,43
210,37,11,14,13
211,37,11,19,31
212,37,11,10,39
213,37,11,14,33
214,37,11,16,29
215,37,11,11,48
216,37,11,19,24
217,37,11,15,33
218,37,11,20,38
219,37,11,40,48
220,37,11,36,47
221,37,11,44,18
222,37,11,18,21
223,37,11,29,25
224,37,11,14,33
225,37,11,15,29
226,37,11,37,40
227,37,11,48,10
228,37,11,41,11
229,37,11,16,22
230,37,11,42,48
231,37,11,11,14
232,37,11,29,42
233,37,11,24,47
234,37,11,24,38
235,37,11,27,45
236,37,11,39,49
237,37,11,27,32
238,37,11,27,19
239,37,11,24,34
240,37,11,25,18
241,37,11,43,24
242,37,11,24,16
243,37,11,21,26
244,37,11,44,25
245,37,11,37,42
246,37,11,10,45
247,37,11,45,14
248,37,11,45,34
249,37,11,30,27
250,37,11,12,42
251,37,11,21,24
252,37,11,17,12
253,37,11,39,33
254,37,11,43,35
255,37,11,17,28
256,37,11,10,29
257,37,11,23,10
258,37,11,21,44
