,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,31.0,11.0,32.0,10.0
1,31.0,11.0,32.0,10.0
2,31.0,11.0,32.0,10.0
3,31.0,11.0,32.0,10.0
4,31.0,11.0,32.0,10.0
5,31.0,11.0,32.0,10.0
6,31.0,11.0,32.0,10.0
7,31.0,11.0,32.0,10.0
8,31.0,11.0,32.0,10.0
9,31.0,11.0,32.0,10.0
10,31.0,11.0,32.0,10.0
11,31.0,11.0,32.0,10.0
12,31.0,11.0,32.0,10.0
13,31.0,11.0,32.0,10.0
14,31.0,11.0,32.0,10.0
15,31.0,11.0,32.0,10.0
16,31.0,11.0,32.0,10.0
17,31.0,11.0,32.0,10.0
18,31.0,11.0,32.0,10.0
19,31.0,11.0,32.0,10.0
20,31.0,11.0,32.0,10.0
21,31.0,11.0,32.0,10.0
22,31.0,11.0,32.0,10.0
23,31.0,11.0,32.0,10.0
24,31.0,11.0,32.0,10.0
25,31.0,11.0,32.0,10.0
26,31.0,11.0,32.0,10.0
27,31.0,11.0,32.0,10.0
28,31.0,11.0,32.0,10.0
29,31.0,11.0,32.0,10.0
30,31.0,11.0,32.0,10.0
31,31.0,11.0,32.0,10.0
32,31.0,11.0,32.0,10.0
33,31.0,11.0,32.0,10.0
34,31.0,11.0,32.0,10.0
35,31.0,11.0,32.0,10.0
36,31.0,11.0,32.0,10.0
37,31.0,11.0,32.0,10.0
38,31.0,11.0,32.0,10.0
39,31.0,11.0,32.0,10.0
40,31.0,11.0,32.0,10.0
41,31.0,11.0,32.0,10.0
42,31.0,11.0,32.0,10.0
43,31.0,11.0,32.0,10.0
44,31.0,11.0,32.0,10.0
45,31.0,11.0,32.0,10.0
46,31.0,11.0,32.0,10.0
47,32.0,13.0,32.0,10.0
48,30.0,13.0,32.0,10.0
49,30.0,13.0,32.0,10.0
50,32.0,10.0,32.0,10.0
51,32.0,10.0,32.0,10.0
52,30.0,13.0,32.0,10.0
53,30.0,13.0,32.0,10.0
54,30.0,13.0,32.0,10.0
55,30.0,13.0,32.0,10.0
56,30.0,13.0,32.0,10.0
57,30.0,13.0,32.0,10.0
58,30.0,13.0,32.0,10.0
59,30.0,13.0,32.0,10.0
60,30.0,13.0,32.0,10.0
61,30.0,13.0,32.0,10.0
62,30.0,13.0,32.0,10.0
63,32.0,10.0,32.0,10.0
64,32.0,10.0,32.0,10.0
65,31.0,11.0,32.0,10.0
66,31.0,11.0,32.0,10.0
67,32.0,10.0,32.0,10.0
68,32.0,10.0,32.0,10.0
69,32.0,10.0,32.0,10.0
70,32.0,10.0,32.0,10.0
71,31.0,11.0,32.0,10.0
72,32.0,10.0,32.0,10.0
73,31.0,11.0,32.0,10.0
74,32.0,10.0,32.0,10.0
75,31.0,11.0,32.0,10.0
76,31.0,11.0,32.0,10.0
77,31.0,11.0,32.0,10.0
78,31.0,11.0,32.0,10.0
79,31.0,11.0,32.0,10.0
80,31.0,11.0,32.0,10.0
81,31.0,11.0,32.0,10.0
82,31.0,11.0,32.0,10.0
83,31.0,11.0,32.0,10.0
84,31.0,11.0,32.0,10.0
85,31.0,11.0,32.0,10.0
86,32.0,10.0,32.0,10.0
87,32.0,13.0,32.0,10.0
88,32.0,10.0,32.0,10.0
89,32.0,10.0,32.0,10.0
90,31.0,11.0,32.0,10.0
91,30.0,13.0,32.0,10.0
92,30.0,13.0,32.0,10.0
93,30.0,13.0,32.0,10.0
94,30.0,13.0,32.0,10.0
95,30.0,13.0,32.0,10.0
96,30.0,13.0,32.0,10.0
97,30.0,13.0,32.0,10.0
98,30.0,13.0,32.0,10.0
99,30.0,13.0,32.0,10.0
100,30.0,13.0,32.0,10.0
101,30.0,13.0,32.0,10.0
102,30.0,13.0,32.0,10.0
103,30.0,13.0,32.0,10.0
104,30.0,13.0,32.0,10.0
105,30.0,13.0,32.0,10.0
106,30.0,13.0,32.0,10.0
107,30.0,13.0,32.0,10.0
108,30.0,13.0,32.0,10.0
109,30.0,13.0,32.0,10.0
110,30.0,13.0,32.0,10.0
111,30.0,13.0,32.0,10.0
112,30.0,13.0,32.0,10.0
113,30.0,13.0,32.0,10.0
114,30.0,13.0,32.0,10.0
115,30.0,13.0,32.0,10.0
116,30.0,13.0,32.0,10.0
117,31.0,11.0,32.0,10.0
118,30.0,13.0,32.0,10.0
119,30.0,13.0,32.0,10.0
120,31.0,11.0,32.0,10.0
121,31.0,11.0,32.0,10.0
122,31.0,11.0,32.0,10.0
123,31.0,11.0,32.0,10.0
124,31.0,11.0,32.0,10.0
125,31.0,11.0,32.0,10.0
126,31.0,11.0,32.0,10.0
127,31.0,11.0,32.0,10.0
128,31.0,11.0,32.0,10.0
129,31.0,11.0,32.0,10.0
130,31.0,11.0,32.0,10.0
131,31.0,11.0,32.0,10.0
132,31.0,11.0,32.0,10.0
133,31.0,13.0,32.0,10.0
134,31.0,13.0,32.0,10.0
135,31.0,11.0,32.0,10.0
136,31.0,11.0,32.0,10.0
137,31.0,11.0,32.0,10.0
138,31.0,13.0,32.0,10.0
139,31.0,13.0,32.0,10.0
140,31.0,11.0,32.0,10.0
141,31.0,11.0,32.0,10.0
142,31.0,11.0,32.0,10.0
143,31.0,11.0,32.0,10.0
144,31.0,11.0,32.0,10.0
145,31.0,11.0,32.0,10.0
146,31.0,11.0,32.0,10.0
147,31.0,11.0,32.0,10.0
148,31.0,11.0,32.0,10.0
149,31.0,11.0,32.0,10.0
150,31.0,13.0,32.0,10.0
