,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,2,3,3,2,3,1,4,3,4,2,1,1
1,2,3,3,2,3,1,4,2,4,3,1,4
2,2,3,3,2,3,1,2,3,4,3,3,4
3,2,3,3,2,3,1,2,3,4,1,3,4
4,2,3,3,2,3,1,1,2,1,1,1,4
5,2,3,3,2,1,1,1,2,2,2,1,2
6,2,3,3,2,1,1,4,4,1,1,2,4
7,2,3,3,2,1,1,1,3,1,3,4,4
8,2,3,3,2,1,1,4,3,1,1,3,4
9,2,3,3,2,1,1,1,2,1,2,2,1
10,2,3,3,2,1,1,1,4,2,1,2,3
11,2,3,3,2,1,1,1,2,2,3,2,2
12,2,3,3,2,3,1,1,1,1,3,3,2
13,2,3,3,2,3,1,2,2,4,1,1,3
14,2,3,3,2,3,1,2,4,1,3,1,1
15,2,3,3,2,3,1,4,1,1,1,1,2
16,2,3,3,2,3,1,4,2,4,4,4,2
17,2,3,3,2,3,1,3,2,3,3,2,1
18,2,3,3,2,3,1,3,2,2,2,3,4
19,2,3,3,2,3,1,4,4,3,3,3,4
20,2,3,3,2,3,1,3,1,2,1,2,2
21,2,3,3,2,3,1,1,3,1,3,4,1
22,2,3,3,2,3,1,2,3,1,3,2,1
23,2,3,3,3,3,1,3,4,4,3,1,2
24,2,3,3,3,3,1,2,1,3,4,3,2
25,2,3,3,3,3,1,1,2,1,3,3,2
26,2,3,3,3,3,1,1,4,4,3,2,3
27,3,2,3,1,2,1,4,4,3,3,1,2
28,3,2,3,1,2,1,3,4,4,4,2,3
29,3,2,3,1,2,1,3,2,1,1,2,3
30,3,2,3,1,2,1,4,4,2,4,4,2
31,3,2,3,1,2,1,2,4,1,4,2,2
32,1,3,3,1,2,1,2,2,1,1,4,2
33,1,3,2,1,2,1,4,2,1,1,2,2
34,1,4,3,1,2,1,1,4,2,4,3,4
35,1,4,3,1,2,1,1,1,2,2,1,4
36,1,4,3,1,2,1,2,2,1,4,4,2
37,1,4,3,1,2,1,2,3,4,1,2,2
38,1,4,3,1,2,1,4,1,1,2,4,3
39,1,4,3,1,2,1,2,2,3,4,4,3
40,1,4,3,1,2,1,2,3,2,4,4,3
41,1,4,3,1,2,1,1,4,4,3,3,3
42,1,4,3,1,2,1,1,2,2,3,4,1
43,1,4,3,1,2,1,4,1,4,2,4,4
44,1,4,3,1,2,1,4,3,1,4,2,1
45,1,4,3,1,2,1,2,2,4,2,2,4
46,1,4,3,1,2,1,2,1,3,1,1,2
47,1,4,3,1,2,1,3,1,4,1,1,1
48,1,4,3,1,2,1,1,2,3,4,4,4
49,3,3,3,1,2,1,2,4,2,3,1,4
50,3,3,3,1,2,1,1,2,1,2,4,3
51,3,3,3,1,2,1,1,1,3,3,1,4
52,3,3,3,1,2,1,1,3,4,4,2,1
53,3,3,3,1,2,1,3,2,1,3,3,3
54,1,4,3,1,2,1,1,2,4,4,4,1
55,1,4,3,1,2,1,4,1,4,3,1,3
56,1,4,3,1,2,1,3,2,3,4,1,3
57,3,4,3,1,2,1,3,1,2,2,4,2
58,3,4,3,1,2,1,3,1,3,3,2,4
59,3,4,3,1,2,1,4,4,2,4,4,3
60,1,2,2,1,2,2,4,2,3,4,1,1
