,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,31.0,11.0,32.0,10.0
1,31.0,11.0,32.0,10.0
2,31.0,11.0,32.0,10.0
3,31.0,11.0,32.0,10.0
4,31.0,11.0,32.0,10.0
5,31.0,11.0,32.0,10.0
6,26.0,11.0,32.0,10.0
7,30.0,11.0,32.0,10.0
8,30.0,11.0,32.0,10.0
9,30.0,11.0,32.0,10.0
10,26.0,11.0,32.0,10.0
11,31.0,11.0,32.0,10.0
12,31.0,11.0,32.0,10.0
13,31.0,11.0,32.0,10.0
14,31.0,11.0,32.0,10.0
15,31.0,11.0,32.0,10.0
16,31.0,11.0,32.0,10.0
17,31.0,11.0,32.0,10.0
18,31.0,11.0,32.0,10.0
19,31.0,11.0,32.0,10.0
20,31.0,11.0,32.0,10.0
21,31.0,11.0,32.0,10.0
22,31.0,11.0,32.0,10.0
23,31.0,11.0,32.0,10.0
24,31.0,11.0,32.0,10.0
25,31.0,11.0,32.0,10.0
26,31.0,11.0,32.0,10.0
27,31.0,11.0,32.0,10.0
28,31.0,11.0,32.0,10.0
29,28.0,14.0,32.0,10.0
30,28.0,14.0,32.0,10.0
31,28.0,10.0,32.0,10.0
32,32.0,10.0,32.0,10.0
33,32.0,10.0,32.0,10.0
34,32.0,10.0,32.0,10.0
35,32.0,10.0,32.0,10.0
36,32.0,10.0,32.0,10.0
37,32.0,10.0,32.0,10.0
38,28.0,14.0,32.0,10.0
39,28.0,14.0,32.0,10.0
40,28.0,14.0,32.0,10.0
41,30.0,13.0,32.0,10.0
42,32.0,13.0,32.0,10.0
43,32.0,13.0,32.0,10.0
44,30.0,13.0,32.0,10.0
45,30.0,13.0,32.0,10.0
46,30.0,13.0,32.0,10.0
47,30.0,13.0,32.0,10.0
48,30.0,13.0,32.0,10.0
49,30.0,13.0,32.0,10.0
50,30.0,13.0,32.0,10.0
51,30.0,13.0,32.0,10.0
52,30.0,13.0,32.0,10.0
53,30.0,13.0,32.0,10.0
54,30.0,13.0,32.0,10.0
55,30.0,13.0,32.0,10.0
56,30.0,13.0,32.0,10.0
57,27.0,13.0,32.0,10.0
58,27.0,17.0,32.0,10.0
59,27.0,17.0,32.0,10.0
60,27.0,17.0,32.0,10.0
61,30.0,17.0,32.0,10.0
62,27.0,17.0,32.0,10.0
63,30.0,17.0,32.0,10.0
64,30.0,17.0,32.0,10.0
65,30.0,17.0,32.0,10.0
66,30.0,13.0,32.0,10.0
67,30.0,13.0,32.0,10.0
68,30.0,13.0,32.0,10.0
69,30.0,13.0,32.0,10.0
70,30.0,13.0,32.0,10.0
71,30.0,13.0,32.0,10.0
72,30.0,13.0,32.0,10.0
73,30.0,13.0,32.0,10.0
74,30.0,13.0,32.0,10.0
75,30.0,13.0,32.0,10.0
76,30.0,13.0,32.0,10.0
77,30.0,13.0,32.0,10.0
78,30.0,13.0,32.0,10.0
79,30.0,13.0,32.0,10.0
80,30.0,13.0,32.0,10.0
81,30.0,13.0,32.0,10.0
82,30.0,13.0,32.0,10.0
83,30.0,13.0,32.0,10.0
84,30.0,13.0,32.0,10.0
85,30.0,13.0,32.0,10.0
86,30.0,13.0,32.0,10.0
87,30.0,13.0,32.0,10.0
88,30.0,13.0,32.0,10.0
89,30.0,13.0,32.0,10.0
90,30.0,13.0,32.0,10.0
91,30.0,13.0,32.0,10.0
92,30.0,13.0,32.0,10.0
93,30.0,13.0,32.0,10.0
94,30.0,13.0,32.0,10.0
95,30.0,13.0,32.0,10.0
96,30.0,13.0,32.0,10.0
97,30.0,13.0,32.0,10.0
98,30.0,13.0,32.0,10.0
99,30.0,13.0,32.0,10.0
100,30.0,13.0,32.0,10.0
101,30.0,13.0,32.0,10.0
102,30.0,13.0,32.0,10.0
103,30.0,13.0,32.0,10.0
104,30.0,13.0,32.0,10.0
105,30.0,13.0,32.0,10.0
106,30.0,13.0,32.0,10.0
107,30.0,13.0,32.0,10.0
108,30.0,13.0,32.0,10.0
109,30.0,13.0,32.0,10.0
110,30.0,13.0,32.0,10.0
111,30.0,13.0,32.0,10.0
112,30.0,13.0,32.0,10.0
113,30.0,13.0,32.0,10.0
114,30.0,13.0,32.0,10.0
115,30.0,13.0,32.0,10.0
116,30.0,13.0,32.0,10.0
117,30.0,13.0,32.0,10.0
118,30.0,13.0,32.0,10.0
119,30.0,13.0,32.0,10.0
120,30.0,13.0,32.0,10.0
121,30.0,13.0,32.0,10.0
122,30.0,13.0,32.0,10.0
123,30.0,13.0,32.0,10.0
124,30.0,13.0,32.0,10.0
125,30.0,13.0,32.0,10.0
126,30.0,13.0,32.0,10.0
127,30.0,13.0,32.0,10.0
128,30.0,13.0,32.0,10.0
129,30.0,13.0,32.0,10.0
130,30.0,13.0,32.0,10.0
131,30.0,13.0,32.0,10.0
132,30.0,13.0,32.0,10.0
133,30.0,13.0,32.0,10.0
134,30.0,13.0,32.0,10.0
135,30.0,13.0,32.0,10.0
136,30.0,13.0,32.0,10.0
137,30.0,13.0,32.0,10.0
138,30.0,13.0,32.0,10.0
139,30.0,13.0,32.0,10.0
140,30.0,13.0,32.0,10.0
141,30.0,13.0,32.0,10.0
142,30.0,13.0,32.0,10.0
143,30.0,13.0,32.0,10.0
144,30.0,13.0,32.0,10.0
145,30.0,13.0,32.0,10.0
146,30.0,13.0,32.0,10.0
147,30.0,13.0,32.0,10.0
148,30.0,13.0,32.0,10.0
149,30.0,13.0,32.0,10.0
150,30.0,13.0,32.0,10.0
