,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,32,14,17,46
1,32,14,28,46
2,32,14,19,17
3,32,14,36,35
4,32,14,46,10
5,32,14,38,14
6,32,14,11,45
7,32,14,14,31
8,32,14,33,12
9,32,14,35,17
10,32,14,11,16
11,32,14,30,15
12,32,14,33,27
13,32,14,49,49
14,32,14,48,43
15,32,14,28,47
16,32,14,16,39
17,32,14,39,38
18,32,14,36,43
19,32,14,39,14
20,32,14,36,15
21,32,14,41,34
22,32,14,10,25
23,32,14,10,21
24,32,14,49,36
25,32,14,49,43
26,32,14,29,37
27,32,14,19,24
28,32,14,16,18
29,32,14,45,11
30,32,14,29,17
31,32,14,14,27
32,32,14,30,20
33,32,14,18,24
34,32,14,17,14
35,32,14,44,40
36,32,14,27,45
37,32,14,22,24
38,32,14,44,23
39,32,14,42,21
40,32,14,23,34
41,32,14,13,10
42,32,14,43,30
43,32,14,21,12
44,32,14,28,37
45,32,14,37,18
46,32,14,30,37
47,32,14,45,13
48,32,14,20,16
49,32,14,19,31
50,32,14,31,14
51,32,14,48,46
52,32,14,35,18
53,32,14,16,28
54,32,14,16,46
55,32,14,21,17
56,32,14,21,32
57,32,14,12,11
58,32,14,36,23
59,32,14,45,41
60,32,14,34,49
61,32,14,40,22
62,32,14,17,27
63,32,14,29,38
64,32,14,33,32
65,32,14,49,42
66,32,14,33,14
67,32,14,34,16
68,32,14,14,46
69,32,14,38,16
70,32,14,46,45
71,32,14,44,28
72,32,14,32,43
73,32,14,29,30
74,32,14,14,17
75,32,14,12,36
76,32,14,45,12
77,32,14,35,21
78,32,14,44,25
79,32,14,32,43
80,32,14,27,24
81,32,14,14,47
82,32,14,26,27
83,32,14,36,18
84,32,14,43,19
85,32,14,30,20
86,32,14,37,14
87,32,14,22,13
88,32,14,11,31
89,32,14,18,32
90,32,14,10,37
91,32,14,42,12
92,32,14,23,35
93,32,14,14,27
94,32,14,29,12
95,32,14,22,32
96,32,14,10,21
97,32,14,31,36
98,32,14,13,14
99,32,14,33,36
100,32,14,23,26
101,32,14,31,35
102,32,14,23,47
103,32,14,30,27
104,32,14,23,41
105,32,14,40,22
106,32,14,26,29
107,32,14,36,33
108,32,14,37,41
109,32,14,16,48
110,32,14,22,49
111,32,14,39,39
112,32,14,25,34
113,32,14,46,22
114,32,14,17,49
115,32,14,32,31
116,32,14,19,45
117,32,14,38,39
118,32,14,47,21
119,32,14,22,25
120,32,14,33,32
121,32,14,39,44
122,32,14,14,13
123,32,14,26,31
124,32,14,27,45
125,32,14,13,31
126,32,14,16,47
127,32,14,14,12
128,32,14,33,23
129,32,14,25,37
130,32,14,46,28
131,32,14,34,31
132,32,14,19,21
133,32,14,32,14
134,32,14,39,18
135,32,14,21,48
136,32,14,26,29
137,32,14,16,27
138,32,14,21,18
139,32,14,29,20
140,32,14,33,44
141,32,14,18,26
142,32,14,42,14
143,32,14,22,33
144,32,14,21,41
145,32,14,47,34
146,32,14,38,38
147,32,14,34,36
148,32,14,37,27
149,32,14,22,46
150,32,14,39,34
151,32,14,16,42
152,32,14,12,21
153,32,14,23,25
154,32,14,22,15
155,32,14,32,48
156,32,14,13,39
157,32,14,33,23
158,32,14,32,25
159,32,14,45,36
160,32,14,21,25
161,32,14,18,31
162,32,14,15,38
163,32,14,32,17
164,32,14,32,32
165,32,14,39,12
166,32,14,32,40
167,32,14,24,15
168,32,14,37,18
169,32,14,36,48
170,32,14,16,34
171,32,14,32,41
172,32,14,16,29
173,32,14,15,23
174,32,14,15,44
175,32,14,49,23
176,32,14,19,15
177,32,14,26,19
178,32,14,30,44
179,32,14,19,28
180,32,14,20,43
181,32,14,48,27
182,32,14,32,35
183,32,14,41,48
184,32,14,38,17
185,32,14,15,46
186,32,14,22,48
187,32,14,25,14
188,32,14,27,22
189,32,14,29,46
190,32,14,41,12
191,32,14,25,23
192,32,14,34,36
193,32,14,39,27
194,32,14,47,29
195,32,14,42,27
196,32,14,13,24
197,32,14,29,29
198,32,14,24,23
199,32,14,39,15
200,32,14,24,25
201,32,14,13,37
202,32,14,22,23
203,32,14,32,12
204,32,14,36,32
205,32,14,36,47
206,32,14,27,16
207,32,14,23,25
208,32,14,29,45
209,32,14,43,47
210,32,14,31,20
211,32,14,31,44
212,32,14,44,25
213,32,14,28,18
214,32,14,21,21
215,32,14,19,34
216,32,14,48,10
217,32,14,37,38
218,32,14,26,17
219,32,14,36,19
220,32,14,36,13
221,32,14,15,48
222,32,14,27,44
223,32,14,39,49
224,32,14,20,35
225,32,14,47,35
226,32,14,14,18
227,32,14,18,17
228,32,14,10,16
229,32,14,18,32
230,32,14,18,48
231,32,14,41,48
232,32,14,35,18
233,32,14,26,30
234,32,14,32,33
235,32,14,28,49
236,32,14,16,37
237,32,14,27,17
238,32,14,12,14
239,32,14,43,24
240,32,14,31,44
241,32,14,45,20
242,32,14,10,13
243,32,14,27,22
244,32,14,15,30
245,32,14,37,38
246,32,14,45,38
247,32,14,16,26
248,32,14,10,17
249,32,14,29,25
250,32,14,13,22
251,32,14,30,33
252,32,14,42,30
253,32,14,39,45
254,32,14,43,40
255,32,14,23,12
256,32,14,11,33
257,32,14,38,42
258,32,14,46,22
259,32,14,39,43
260,32,14,28,15
261,32,14,21,46
262,32,14,18,20
263,32,14,21,47
264,32,14,20,40
265,32,14,43,38
266,32,14,46,19
267,32,14,26,47
268,32,14,38,46
269,32,14,17,43
270,32,14,28,41
271,32,14,39,11
272,32,14,34,16
273,32,14,35,46
274,32,14,14,25
275,32,14,20,32
276,32,14,47,18
277,32,14,12,41
278,32,14,21,37
279,32,14,18,26
280,32,14,26,18
281,32,14,22,48
282,32,14,26,47
283,32,14,18,17
284,32,14,26,43
285,32,14,32,34
286,32,14,40,23
287,32,14,13,37
288,32,14,28,43
289,32,14,49,32
290,32,14,39,41
291,32,14,26,29
292,32,14,20,45
293,32,14,35,31
294,32,14,36,23
295,32,14,36,37
296,32,14,21,48
297,32,14,13,29
298,32,14,11,45
299,32,14,37,13
300,32,14,21,20
301,32,14,44,13
302,32,14,24,31
303,32,14,25,46
304,32,14,21,48
305,32,14,29,16
306,32,14,35,22
307,32,14,38,31
308,32,14,10,11
309,32,14,11,49
310,32,14,29,35
311,32,14,28,26
312,32,14,24,47
313,32,14,46,31
314,32,14,41,22
315,32,14,18,46
316,32,14,18,44
317,32,14,19,28
318,32,14,42,30
319,32,14,14,38
320,32,14,43,10
321,32,14,49,35
322,32,14,30,31
323,32,14,37,19
324,32,14,22,11
325,32,14,15,49
326,32,14,48,10
327,32,14,26,22
328,32,14,45,44
329,32,14,18,21
330,32,14,16,13
331,32,14,38,31
332,32,14,44,10
333,32,14,34,24
334,32,14,43,15
335,32,14,26,29
336,32,14,34,36
337,32,14,23,44
338,32,14,31,11
339,32,14,45,30
340,32,14,18,24
341,32,14,14,42
342,32,14,39,14
343,32,14,13,10
344,32,14,33,10
345,32,14,49,32
346,32,14,36,49
347,32,14,34,15
348,32,14,29,32
349,32,14,38,37
350,32,14,40,34
351,32,14,40,36
352,32,14,26,32
353,32,14,40,41
354,32,14,42,28
355,32,14,32,37
356,32,14,44,41
357,32,14,27,24
358,32,14,49,34
359,32,14,24,11
360,32,14,33,35
361,32,14,46,15
362,32,14,31,26
363,32,14,47,47
364,32,14,39,17
365,32,14,48,43
366,32,14,36,30
367,32,14,38,42
368,32,14,21,22
369,32,14,41,37
370,32,14,10,15
371,32,14,41,38
372,32,14,31,42
373,32,14,32,19
374,32,14,46,27
375,32,14,48,49
376,32,14,32,35
377,32,14,23,22
378,32,14,46,20
379,32,14,22,40
380,32,14,41,29
381,32,14,25,47
382,32,14,12,18
383,32,14,38,23
384,32,14,38,16
