,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,1,2,3,1,2,2,1,4,1,2,2,3
1,1,2,3,1,2,2,1,3,4,2,4,1
2,1,2,3,1,3,2,3,4,3,3,2,1
3,1,2,3,1,3,2,4,2,2,2,4,3
4,1,1,3,4,2,4,2,3,1,2,2,1
5,1,1,3,4,2,3,1,1,4,3,1,2
6,2,1,3,4,2,3,4,3,2,3,3,4
7,2,1,3,4,3,3,2,1,2,1,2,3
8,1,1,1,4,2,3,2,4,2,4,1,1
9,1,1,1,4,2,3,4,3,1,4,4,1
10,1,1,3,4,2,3,4,4,3,4,4,4
11,1,1,1,4,2,3,4,3,1,4,1,2
12,1,1,1,4,2,3,3,3,2,3,4,2
13,1,1,1,4,2,3,2,4,2,2,4,4
14,1,1,1,4,2,3,3,2,1,1,3,1
15,1,1,3,4,2,3,4,2,2,4,2,2
16,1,1,4,4,2,3,1,1,2,4,3,4
17,1,2,3,4,3,4,1,3,2,2,4,1
18,1,2,3,4,3,2,3,4,2,1,2,3
19,1,2,3,4,3,2,3,4,1,1,2,2
20,1,2,3,4,3,2,2,1,2,2,2,2
21,1,2,3,4,3,2,4,4,1,3,3,3
22,1,2,3,4,3,2,2,2,2,4,1,3
23,1,2,3,4,3,2,1,4,2,3,4,2
24,1,2,3,4,3,2,4,3,3,4,3,4
25,4,2,3,4,3,2,4,3,4,4,1,3
26,4,2,3,4,3,4,3,2,3,3,4,4
27,1,2,3,4,3,2,4,2,4,2,4,2
28,1,2,3,4,3,1,3,2,2,3,2,1
29,1,2,3,4,3,1,3,3,1,4,3,3
30,1,2,3,4,3,1,1,2,2,4,1,2
31,1,2,3,4,3,4,3,1,2,3,1,4
32,4,3,3,2,1,3,3,1,2,4,3,3
33,4,3,3,2,1,3,2,1,2,3,1,3
34,4,1,3,1,4,3,1,3,3,2,3,2
35,4,1,3,1,1,3,2,3,1,4,1,1
36,4,1,3,1,1,3,2,3,4,4,1,3
37,1,1,3,2,1,3,3,3,4,2,4,2
38,1,2,3,1,1,3,2,2,3,4,2,3
39,1,1,3,4,1,3,1,3,1,2,3,4
40,1,1,3,4,1,3,1,2,4,2,2,1
41,1,1,3,4,1,3,3,2,3,1,3,3
42,1,1,3,4,1,3,4,2,3,1,3,4
43,1,2,3,4,1,3,2,2,4,2,4,1
44,3,4,2,4,2,4,4,4,2,2,4,1
45,3,4,2,4,2,4,2,3,1,3,2,4
46,3,4,2,4,2,4,1,3,3,2,4,2
47,1,4,2,1,2,4,4,2,3,4,4,4
48,1,4,2,1,2,2,4,4,2,1,2,4
49,2,2,2,1,3,2,4,3,3,3,4,3
50,2,2,2,1,2,2,3,2,2,1,1,2
51,2,2,2,1,2,2,3,1,4,3,1,3
52,2,2,2,1,2,2,1,3,4,1,4,3
53,2,2,2,1,2,2,2,4,3,3,2,1
54,2,2,2,1,2,3,4,2,1,3,2,1
55,2,2,2,1,2,3,3,2,2,1,3,1
56,2,2,2,1,2,3,1,2,4,1,2,2
57,2,2,2,1,2,3,1,3,2,4,4,1
58,2,2,2,1,2,3,1,1,4,3,3,2
59,2,2,2,1,2,3,1,2,4,4,3,1
60,2,2,2,1,2,3,3,1,3,4,2,2
61,2,2,2,1,3,3,4,4,1,4,1,3
62,2,2,2,1,2,3,1,3,2,1,1,1
63,2,2,2,1,2,3,2,3,4,4,1,2
64,2,2,2,1,2,3,1,4,3,2,1,3
65,2,2,2,1,2,3,4,4,4,1,4,2
66,2,2,2,1,2,3,1,2,1,1,4,4
67,2,2,2,1,2,3,2,3,3,3,3,1
68,2,2,2,1,2,3,1,3,4,2,2,1
69,2,2,2,1,2,3,4,1,3,3,1,3
70,2,2,2,1,2,3,1,4,2,1,1,1
71,2,2,2,1,2,3,2,2,4,2,1,1
72,2,2,2,1,2,3,2,2,1,4,4,2
73,2,2,2,1,2,3,3,3,3,4,2,3
74,2,2,2,1,2,3,4,3,2,1,1,1
75,2,2,2,1,2,3,3,2,2,3,4,3
76,2,2,2,1,2,3,3,2,2,3,1,4
77,2,2,2,1,2,3,2,4,1,3,3,2
78,2,2,2,1,2,3,1,1,3,2,2,3
79,1,2,2,1,2,3,3,2,1,2,3,2
80,1,2,2,1,2,3,2,2,1,1,3,2
81,1,4,2,1,2,4,4,2,4,1,4,4
82,1,4,2,1,2,4,3,2,4,1,4,4
83,1,4,2,1,2,4,3,1,1,2,2,3
84,1,1,2,1,1,3,4,3,4,3,2,4
85,1,2,2,1,1,3,3,3,2,2,3,4
86,1,2,2,1,1,3,1,4,3,3,1,1
87,1,1,2,1,1,3,3,2,4,1,1,3
88,1,1,2,1,1,3,4,4,1,4,2,1
89,1,1,2,1,2,4,4,4,4,2,1,4
90,1,1,3,1,3,4,2,3,1,4,1,1
91,1,2,2,1,2,4,1,2,2,1,3,1
92,1,2,2,1,2,3,4,2,1,1,1,3
93,1,2,2,1,2,3,2,4,4,4,2,3
94,1,2,2,1,2,3,2,3,4,4,3,3
95,1,2,2,1,2,3,2,4,3,4,4,1
96,1,2,2,1,2,3,2,4,3,4,3,4
97,2,2,2,1,2,3,2,4,1,3,2,1
98,2,2,2,1,2,3,1,4,2,2,4,3
99,2,2,2,1,2,3,1,2,4,4,4,4
100,2,2,2,1,2,3,3,3,2,1,4,4
101,2,2,2,1,2,3,4,4,3,3,4,2
