,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,1,4,4,3,1,3,3,1,2,4,4,1
1,1,4,4,3,1,2,1,3,4,3,4,2
2,1,4,4,3,1,2,3,2,2,3,3,1
3,1,4,4,3,1,2,3,2,1,4,2,1
4,1,4,4,3,1,3,4,2,4,2,3,3
5,1,1,4,3,4,3,2,1,3,1,4,1
6,1,1,4,3,4,4,1,4,4,3,2,2
7,1,1,4,3,1,3,3,3,2,3,3,4
8,1,1,4,3,4,4,4,3,2,3,2,3
9,1,1,4,3,4,3,2,4,3,3,1,1
10,1,4,4,3,1,2,4,3,1,2,1,2
11,1,1,4,3,4,4,2,4,2,4,4,3
12,1,1,4,3,3,4,3,1,2,1,2,1
13,1,4,4,3,1,2,3,2,3,1,4,4
14,2,2,4,2,2,1,2,2,4,3,3,1
15,1,2,4,2,2,1,1,3,4,1,3,4
16,2,2,4,2,2,1,3,3,1,4,4,3
17,1,1,4,3,3,4,1,4,3,3,3,3
18,1,1,4,1,3,4,2,3,1,1,4,4
19,2,1,4,1,3,4,3,3,2,3,2,1
20,2,1,4,1,3,4,3,4,3,1,1,1
21,2,1,4,1,3,1,2,4,4,4,2,4
22,2,1,4,1,1,1,3,3,3,1,3,2
23,2,1,4,1,1,1,2,2,2,2,1,1
24,2,3,4,1,1,1,3,4,2,2,3,2
25,2,3,4,1,3,1,2,2,3,3,1,4
26,2,3,4,1,3,1,3,4,2,1,3,4
27,2,1,4,1,3,4,4,1,4,1,1,2
28,2,1,4,1,3,4,1,3,1,3,4,1
29,2,1,4,1,3,4,4,2,3,3,1,1
30,2,1,4,1,3,4,2,4,1,2,1,2
31,2,1,4,1,3,4,3,1,2,3,4,1
32,2,1,4,1,3,4,4,1,4,2,3,2
33,2,1,4,1,3,4,4,2,2,2,4,1
34,2,1,4,1,3,4,2,1,4,1,1,1
35,2,1,4,1,3,4,2,2,2,4,3,2
36,2,1,4,1,3,4,1,3,2,2,2,4
37,2,1,4,1,3,4,4,1,3,3,2,2
38,2,3,4,1,3,4,1,4,3,2,3,1
39,2,1,2,1,3,4,2,3,3,4,3,3
40,2,1,2,1,3,4,4,3,1,4,3,2
41,2,1,2,1,3,4,3,3,1,4,1,2
42,2,1,2,1,3,4,4,4,3,2,2,3
43,2,1,2,1,3,4,1,4,3,4,4,2
44,2,1,2,1,3,4,1,2,3,4,1,1
45,2,1,2,1,3,4,1,1,1,1,1,3
46,2,1,2,1,3,4,3,3,4,1,4,3
47,2,1,2,1,3,4,2,4,4,4,3,4
48,2,1,2,1,3,4,1,2,2,4,2,4
49,2,1,2,1,3,4,2,3,2,2,3,3
50,2,1,2,1,3,4,4,4,3,3,2,2
51,2,1,2,1,3,4,4,3,4,4,1,2
52,2,1,2,1,3,4,1,4,4,3,1,3
53,2,1,2,1,3,4,1,3,1,1,4,4
54,2,1,2,1,3,4,2,2,1,2,4,4
55,2,1,2,1,3,4,4,2,1,1,1,4
56,2,1,2,1,3,4,3,1,4,2,2,2
57,2,1,2,1,3,4,1,2,3,4,1,4
58,2,1,2,1,3,4,2,1,4,4,4,3
59,1,1,2,1,4,4,2,2,1,3,1,4
60,1,1,2,1,4,4,1,1,3,4,1,2
61,1,1,2,1,4,4,1,2,1,1,4,4
62,1,1,2,1,4,4,4,1,4,2,4,1
63,1,1,2,1,4,4,2,2,3,3,2,1
64,1,1,2,1,4,4,2,1,3,3,1,4
65,1,1,2,1,4,4,2,2,1,1,3,2
66,1,1,2,1,4,4,3,4,3,3,2,3
67,1,1,2,1,4,4,2,2,2,1,4,1
68,1,1,2,1,4,4,3,4,4,3,3,2
69,1,1,2,1,4,4,1,3,2,3,4,3
70,1,1,2,1,4,4,4,2,2,2,4,1
71,1,1,2,1,4,4,1,1,2,2,3,1
72,1,1,2,1,4,4,1,4,3,2,3,2
73,1,1,2,1,4,4,2,4,1,4,2,3
74,1,1,2,1,4,4,4,3,2,2,4,3
75,1,1,2,1,4,4,4,4,1,3,3,4
76,1,1,2,1,4,4,1,1,4,1,1,1
77,1,1,2,1,4,4,3,3,2,2,1,4
78,1,1,2,1,4,4,3,4,4,4,4,1
79,1,1,2,1,4,4,1,3,4,4,4,2
80,1,1,2,1,4,4,3,4,4,4,1,4
81,1,1,2,1,4,4,3,1,4,2,4,4
82,1,1,2,1,4,4,2,3,4,2,3,2
83,1,1,2,1,4,4,1,4,2,2,3,3
84,1,1,2,1,4,4,1,4,4,4,1,3
85,1,1,2,1,4,4,3,3,1,4,4,3
86,1,1,2,1,4,4,4,1,2,4,4,2
87,1,1,2,1,4,4,1,1,2,3,3,4
88,1,1,2,1,4,4,3,1,1,4,4,1
89,1,1,2,1,4,4,4,3,3,4,2,4
90,1,1,2,1,4,4,4,1,1,1,3,2
91,1,1,2,1,4,4,1,3,3,2,4,3
92,1,1,2,1,4,4,1,1,3,2,1,2
93,1,1,2,1,4,4,1,3,1,2,4,3
94,1,1,2,1,4,4,4,2,1,4,3,1
95,1,1,2,1,4,4,4,3,4,2,3,4
96,1,3,2,1,4,4,1,2,1,1,2,1
97,1,1,2,1,4,4,1,1,1,3,3,2
98,1,1,2,1,4,4,4,1,1,1,1,4
99,1,1,2,1,4,4,1,2,4,4,2,3
100,1,1,2,1,4,4,4,4,3,2,3,2
101,1,3,2,1,4,4,2,4,1,1,4,3
102,1,1,2,1,4,4,1,4,2,3,4,2
103,1,3,2,1,4,4,3,2,2,3,3,3
104,1,1,2,1,4,4,2,1,3,1,2,4
105,1,1,2,1,4,4,1,1,4,3,3,4
106,1,1,2,1,4,4,2,4,4,1,4,4
107,1,1,2,1,4,4,4,4,2,2,4,1
108,1,1,2,1,4,4,1,3,1,1,1,4
109,1,3,2,1,4,4,1,2,2,4,4,3
110,1,1,2,1,4,4,2,3,4,4,1,3
111,1,1,2,1,4,4,1,4,3,3,3,2
112,1,1,2,1,4,4,4,4,3,1,3,4
113,2,1,2,1,4,4,2,1,1,4,3,3
114,2,1,2,1,4,4,4,3,3,2,1,4
115,1,3,2,1,4,4,4,4,2,3,2,2
116,1,3,2,1,4,4,4,2,1,3,1,4
117,1,3,4,1,4,4,3,1,4,2,1,4
118,1,3,4,1,4,4,1,1,3,3,4,2
119,1,3,4,1,4,4,2,2,4,4,4,4
120,1,3,4,1,4,4,4,1,2,1,1,3
121,1,3,4,1,4,4,2,1,1,2,3,4
122,1,3,4,1,4,4,3,3,1,4,2,1
123,1,3,4,1,4,4,4,2,1,2,3,1
124,1,3,4,1,4,4,4,1,2,2,4,1
125,1,3,4,1,4,4,3,4,1,2,4,2
126,1,3,4,1,4,4,4,3,2,4,1,3
127,1,3,4,1,4,4,4,1,4,1,4,3
128,2,1,2,1,4,4,2,1,4,3,4,2
129,2,1,2,1,4,4,3,2,3,4,3,2
130,1,3,2,1,4,4,1,3,3,4,4,4
131,1,3,2,1,4,4,1,2,3,3,1,1
