,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,13,23,38,42
1,13,23,15,17
2,13,23,29,35
3,13,23,29,11
4,13,23,19,30
5,13,23,12,23
6,13,23,28,34
7,13,23,16,27
8,13,23,41,15
9,13,23,16,45
10,13,23,21,39
11,13,23,17,34
12,13,23,32,24
13,13,23,21,16
14,13,23,11,18
15,13,23,27,35
16,13,23,13,11
17,13,23,13,20
18,13,23,46,19
19,13,23,34,25
20,13,23,30,15
21,13,23,27,42
22,13,23,13,18
23,13,23,20,10
24,13,23,13,49
25,13,23,44,29
26,13,23,26,42
27,13,23,46,36
28,13,23,37,37
29,13,23,24,23
30,13,23,17,17
31,13,23,40,35
32,13,23,13,40
33,13,23,32,45
34,13,23,21,29
35,13,23,25,45
36,13,23,37,18
37,13,23,41,36
38,13,23,18,19
39,13,23,42,29
40,13,23,27,25
41,13,23,21,10
42,13,23,15,45
43,13,23,33,27
44,13,23,14,34
45,13,23,11,32
46,13,23,30,10
47,13,23,33,31
48,13,23,14,37
49,13,23,35,27
50,13,23,22,32
51,13,23,35,20
52,13,23,16,48
53,13,23,15,16
54,13,23,37,49
55,13,23,42,28
56,13,23,18,24
57,13,23,43,49
58,13,23,25,13
59,13,23,30,37
60,13,23,40,30
61,13,23,46,38
62,13,23,42,41
63,13,23,44,41
64,13,23,22,18
65,13,23,45,18
66,13,23,23,41
67,13,23,25,23
68,13,23,11,37
69,13,23,11,42
70,13,23,48,12
71,13,23,44,47
72,13,23,43,48
73,13,23,16,26
74,13,23,23,25
75,13,23,43,40
76,13,23,38,12
77,13,23,29,32
78,13,23,44,29
79,13,23,31,16
80,13,23,22,46
81,13,23,15,49
82,13,23,19,15
83,13,23,19,48
84,13,23,42,48
85,13,23,14,32
86,13,23,13,31
87,13,23,30,46
88,13,23,12,32
89,13,23,42,42
90,13,23,16,15
91,13,23,10,40
92,13,23,34,38
93,13,23,33,44
94,13,23,35,28
95,13,23,26,36
96,13,23,12,37
97,13,23,17,25
98,13,23,29,30
99,13,23,24,28
100,13,23,19,46
101,13,23,47,30
102,13,23,14,34
103,13,23,47,26
104,13,23,29,16
105,13,23,31,17
106,13,23,34,49
107,13,23,34,24
108,13,23,31,34
109,13,23,45,15
110,13,23,26,16
111,13,23,42,46
112,13,23,24,44
113,13,23,45,39
114,13,23,28,38
115,13,23,26,39
116,13,23,32,19
117,13,23,20,28
118,13,23,42,43
119,13,23,14,23
120,13,23,44,37
121,13,23,26,16
122,13,23,37,17
123,13,23,26,28
124,13,23,35,18
125,13,23,38,23
126,13,23,27,24
127,13,23,23,19
128,13,23,29,26
129,13,23,29,40
130,13,23,25,17
131,13,23,13,19
132,13,23,33,23
133,13,23,25,19
134,13,23,30,29
135,13,23,37,16
136,13,23,22,39
137,13,23,25,41
138,13,23,25,42
139,13,23,32,32
140,13,23,46,46
141,13,23,42,27
142,13,23,26,20
143,13,23,14,22
144,13,23,31,23
145,13,23,37,23
146,13,23,24,42
147,13,23,13,20
148,13,23,33,14
149,13,23,10,12
150,13,23,16,48
151,13,23,43,18
152,13,23,40,41
153,13,23,32,29
154,13,23,28,48
155,13,23,34,26
156,13,23,19,24
157,13,23,34,49
158,13,23,13,11
159,13,23,13,22
160,13,23,19,33
161,13,23,48,12
162,13,23,17,18
163,13,23,15,21
164,13,23,48,29
165,13,23,45,16
166,13,23,44,17
167,13,23,22,30
168,13,23,37,35
169,13,23,15,19
170,13,23,15,41
171,13,23,17,34
172,13,23,47,30
173,13,23,44,23
174,13,23,22,37
175,13,23,15,33
176,13,23,24,20
177,13,23,37,18
178,13,23,10,21
179,13,23,42,17
180,13,23,25,30
181,13,23,21,16
182,13,23,35,17
183,13,23,31,15
184,13,23,30,21
185,13,23,12,43
186,13,23,41,10
187,13,23,39,26
188,13,23,37,27
189,13,23,10,48
190,13,23,39,25
191,13,23,14,27
192,13,23,12,20
193,13,23,32,11
194,13,23,29,15
195,13,23,31,33
196,13,23,27,40
197,13,23,41,20
198,13,23,20,18
199,13,23,49,38
200,13,23,12,18
201,13,23,14,23
202,13,23,23,47
203,13,23,40,29
204,13,23,46,24
205,13,23,16,18
206,13,23,39,27
207,13,23,21,15
208,13,23,37,35
209,13,23,43,12
210,13,23,29,17
211,13,23,16,11
212,13,23,40,32
213,13,23,21,38
214,13,23,15,22
215,13,23,19,42
216,13,23,28,21
217,13,23,31,40
218,13,23,36,17
219,13,23,18,46
220,13,23,13,16
221,13,23,10,45
222,13,23,36,29
223,13,23,24,33
224,13,23,49,41
225,13,23,48,48
226,13,23,36,20
227,13,23,47,48
228,13,23,45,43
229,13,23,34,32
230,13,23,41,48
231,13,23,36,16
232,13,23,13,49
233,13,23,34,33
234,13,23,31,19
235,13,23,12,43
236,13,23,20,27
237,13,23,45,20
238,13,23,15,28
239,13,23,18,13
240,13,23,43,32
241,13,23,29,31
242,13,23,12,22
243,13,23,43,29
244,13,23,36,13
245,13,23,24,10
246,13,23,14,39
247,13,23,36,15
248,13,23,48,17
249,13,23,33,13
250,13,23,39,14
251,13,23,38,23
252,13,23,23,42
253,13,23,49,37
254,13,23,33,47
255,13,23,12,28
256,13,23,24,45
257,13,23,41,25
258,13,23,49,25
259,13,23,11,34
260,13,23,10,32
261,13,23,15,19
262,13,23,20,46
263,13,23,23,35
264,13,23,42,11
265,13,23,20,48
266,13,23,26,25
267,13,23,34,11
268,13,23,18,28
269,13,23,44,15
270,13,23,45,14
271,13,23,15,39
272,13,23,48,17
273,13,23,30,40
274,13,23,13,21
275,13,23,40,10
276,13,23,32,28
277,13,23,16,25
278,13,23,30,29
279,13,23,48,31
280,13,23,18,49
281,13,23,44,44
282,13,23,44,39
283,13,23,21,16
284,13,23,42,45
285,13,23,22,32
286,13,23,14,41
287,13,23,20,48
288,13,23,28,15
289,13,23,40,29
290,13,23,39,46
291,13,23,22,20
292,13,23,11,10
293,13,23,35,44
294,13,23,15,32
295,13,23,34,11
296,13,23,36,49
297,13,23,33,47
298,13,23,13,34
299,13,23,17,44
300,13,23,41,44
301,13,23,11,41
302,13,23,38,39
303,13,23,39,32
304,13,23,23,39
305,13,23,26,22
306,13,23,31,46
307,13,23,36,41
308,13,23,28,48
309,13,23,33,35
310,13,23,28,12
311,13,23,11,19
312,13,23,23,48
313,13,23,30,19
314,13,23,24,35
315,13,23,40,18
316,13,23,36,32
317,13,23,35,36
318,13,23,25,23
319,13,23,37,42
320,13,23,34,16
321,13,23,35,28
322,13,23,31,42
323,13,23,44,21
324,13,23,47,15
325,13,23,19,46
326,13,23,16,37
327,13,23,23,42
328,13,23,31,29
329,13,23,47,47
330,13,23,37,18
331,13,23,49,28
332,13,23,13,23
333,13,23,46,49
334,13,23,43,12
335,13,23,22,48
336,13,23,12,24
337,13,23,10,46
338,13,23,20,19
339,13,23,40,29
340,13,23,48,24
341,13,23,48,12
342,13,23,21,10
343,13,23,49,42
344,13,23,16,25
345,13,23,38,20
346,13,23,37,43
347,13,23,12,10
348,13,23,34,49
349,13,23,20,44
350,13,23,28,19
351,13,23,40,44
352,13,23,24,34
353,13,23,44,39
354,13,23,33,24
355,13,23,16,20
356,13,23,20,47
357,13,23,24,47
358,13,23,22,37
359,13,23,15,48
360,13,23,33,40
361,13,23,33,29
362,13,23,38,29
363,13,23,24,10
364,13,23,11,29
365,13,23,17,22
366,13,23,49,29
367,13,23,41,42
368,13,23,35,20
369,13,23,47,15
370,13,23,40,13
371,13,23,28,36
372,13,23,41,28
373,13,23,43,36
374,13,23,13,15
375,13,23,24,41
376,13,23,24,23
377,13,23,47,33
378,13,23,27,48
379,13,23,19,29
380,13,23,26,24
381,13,23,12,13
382,13,23,44,25
383,13,23,30,45
384,13,23,31,17
385,13,23,49,13
386,13,23,26,23
387,13,23,19,10
388,13,23,32,25
389,13,23,24,15
390,13,23,23,48
391,13,23,45,26
392,13,23,15,44
393,13,23,46,47
394,13,23,42,35
395,13,23,49,34
396,13,23,21,38
397,13,23,10,19
398,13,23,16,32
399,13,23,23,32
400,13,23,38,10
401,13,23,47,48
402,13,23,45,48
403,13,23,24,46
404,13,23,34,11
405,13,23,20,18
406,13,23,31,39
407,13,23,29,26
408,13,23,23,41
409,13,23,34,44
410,13,23,48,19
411,13,23,29,22
412,13,23,25,13
413,13,23,45,17
414,13,23,31,13
415,13,23,13,29
416,13,23,45,12
417,13,23,30,39
418,13,23,24,18
419,13,23,16,36
420,13,23,24,40
421,13,23,24,17
422,13,23,37,18
423,13,23,42,39
424,13,23,13,22
425,13,23,45,29
426,13,23,12,41
427,13,23,13,36
428,13,23,14,38
429,13,23,18,24
430,13,23,48,42
431,13,23,45,11
432,13,23,44,47
433,13,23,13,41
434,13,23,22,42
435,13,23,41,33
436,13,23,48,31
437,13,23,17,41
438,13,23,34,13
439,13,23,26,23
