,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,31.0,11.0,32.0,10.0
1,31.0,11.0,32.0,10.0
2,31.0,11.0,32.0,10.0
3,27.0,17.0,32.0,10.0
4,27.0,17.0,32.0,10.0
5,27.0,17.0,32.0,10.0
6,27.0,17.0,32.0,10.0
7,27.0,17.0,32.0,10.0
8,27.0,17.0,32.0,10.0
9,27.0,17.0,32.0,10.0
10,27.0,17.0,32.0,10.0
11,27.0,17.0,32.0,10.0
12,27.0,17.0,32.0,10.0
13,27.0,17.0,32.0,10.0
14,27.0,17.0,32.0,10.0
15,27.0,17.0,32.0,10.0
16,27.0,17.0,32.0,10.0
17,27.0,17.0,32.0,10.0
18,27.0,17.0,32.0,10.0
19,27.0,17.0,32.0,10.0
20,27.0,17.0,32.0,10.0
21,27.0,17.0,32.0,10.0
22,27.0,17.0,32.0,10.0
23,27.0,17.0,32.0,10.0
24,27.0,17.0,32.0,10.0
25,27.0,17.0,32.0,10.0
26,27.0,17.0,32.0,10.0
27,27.0,17.0,32.0,10.0
28,27.0,17.0,32.0,10.0
29,27.0,17.0,32.0,10.0
30,27.0,17.0,32.0,10.0
31,27.0,17.0,32.0,10.0
32,27.0,17.0,32.0,10.0
33,27.0,17.0,32.0,10.0
34,27.0,17.0,32.0,10.0
35,27.0,17.0,32.0,10.0
36,27.0,17.0,32.0,10.0
37,27.0,17.0,32.0,10.0
38,27.0,17.0,32.0,10.0
39,27.0,17.0,32.0,10.0
40,27.0,17.0,32.0,10.0
41,27.0,17.0,32.0,10.0
42,27.0,17.0,32.0,10.0
43,27.0,17.0,32.0,10.0
44,27.0,17.0,32.0,10.0
45,27.0,17.0,32.0,10.0
46,27.0,17.0,32.0,10.0
47,27.0,17.0,32.0,10.0
48,27.0,17.0,32.0,10.0
49,27.0,17.0,32.0,10.0
50,27.0,17.0,32.0,10.0
51,27.0,17.0,32.0,10.0
52,27.0,17.0,32.0,10.0
53,27.0,17.0,32.0,10.0
54,27.0,17.0,32.0,10.0
55,27.0,17.0,32.0,10.0
56,27.0,17.0,32.0,10.0
57,27.0,17.0,32.0,10.0
58,27.0,17.0,32.0,10.0
59,27.0,17.0,32.0,10.0
60,27.0,17.0,32.0,10.0
61,27.0,17.0,32.0,10.0
62,27.0,17.0,32.0,10.0
63,27.0,17.0,32.0,10.0
64,27.0,17.0,32.0,10.0
65,27.0,17.0,32.0,10.0
66,27.0,17.0,32.0,10.0
67,27.0,17.0,32.0,10.0
68,27.0,17.0,32.0,10.0
69,27.0,17.0,32.0,10.0
70,27.0,17.0,32.0,10.0
71,27.0,17.0,32.0,10.0
72,27.0,17.0,32.0,10.0
73,27.0,17.0,32.0,10.0
74,27.0,17.0,32.0,10.0
75,27.0,17.0,32.0,10.0
76,27.0,17.0,32.0,10.0
77,27.0,17.0,32.0,10.0
78,27.0,17.0,32.0,10.0
79,27.0,17.0,32.0,10.0
80,27.0,17.0,32.0,10.0
81,27.0,17.0,32.0,10.0
82,27.0,17.0,32.0,10.0
83,27.0,17.0,32.0,10.0
84,27.0,17.0,32.0,10.0
85,27.0,17.0,32.0,10.0
86,27.0,17.0,32.0,10.0
87,27.0,17.0,32.0,10.0
88,27.0,17.0,32.0,10.0
89,27.0,17.0,32.0,10.0
90,27.0,17.0,32.0,10.0
91,27.0,17.0,32.0,10.0
92,27.0,17.0,32.0,10.0
93,27.0,17.0,32.0,10.0
94,27.0,17.0,32.0,10.0
95,27.0,17.0,32.0,10.0
96,27.0,17.0,32.0,10.0
97,27.0,17.0,32.0,10.0
98,27.0,17.0,32.0,10.0
99,27.0,17.0,32.0,10.0
100,27.0,17.0,32.0,10.0
101,27.0,17.0,32.0,10.0
102,27.0,17.0,32.0,10.0
103,27.0,17.0,32.0,10.0
104,27.0,17.0,32.0,10.0
105,27.0,17.0,32.0,10.0
106,27.0,17.0,32.0,10.0
107,27.0,17.0,32.0,10.0
108,27.0,17.0,32.0,10.0
109,27.0,17.0,32.0,10.0
110,27.0,17.0,32.0,10.0
111,27.0,17.0,32.0,10.0
112,27.0,17.0,32.0,10.0
113,27.0,17.0,32.0,10.0
114,27.0,17.0,32.0,10.0
115,27.0,17.0,32.0,10.0
116,27.0,17.0,32.0,10.0
117,27.0,17.0,32.0,10.0
118,27.0,17.0,32.0,10.0
119,27.0,17.0,32.0,10.0
120,27.0,17.0,32.0,10.0
121,27.0,17.0,32.0,10.0
122,27.0,17.0,32.0,10.0
123,27.0,17.0,32.0,10.0
124,27.0,17.0,32.0,10.0
125,27.0,17.0,32.0,10.0
126,27.0,17.0,32.0,10.0
127,27.0,17.0,32.0,10.0
128,27.0,17.0,32.0,10.0
129,27.0,17.0,32.0,10.0
130,27.0,17.0,32.0,10.0
131,27.0,17.0,32.0,10.0
132,27.0,17.0,32.0,10.0
133,27.0,17.0,32.0,10.0
134,27.0,17.0,32.0,10.0
135,27.0,17.0,32.0,10.0
136,27.0,17.0,32.0,10.0
137,27.0,17.0,32.0,10.0
138,27.0,17.0,32.0,10.0
139,27.0,17.0,32.0,10.0
140,27.0,17.0,32.0,10.0
141,27.0,17.0,32.0,10.0
142,27.0,17.0,32.0,10.0
143,27.0,17.0,32.0,10.0
144,27.0,17.0,32.0,10.0
145,27.0,17.0,32.0,10.0
146,27.0,17.0,32.0,10.0
147,27.0,17.0,32.0,10.0
148,27.0,17.0,32.0,10.0
149,27.0,17.0,32.0,10.0
150,27.0,17.0,32.0,10.0
