,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,27,32,46,41
1,27,32,25,31
2,27,32,22,40
3,27,32,22,39
4,27,32,47,14
5,27,32,39,10
6,27,32,32,37
7,27,32,26,32
8,27,32,46,39
9,27,32,18,34
10,27,32,31,22
11,27,32,39,34
12,27,32,28,16
13,27,32,31,40
14,27,32,26,32
15,27,32,13,35
16,27,32,20,39
17,27,32,32,36
18,27,32,42,41
19,27,32,17,48
20,27,32,39,16
21,27,32,19,46
22,27,32,14,18
23,27,32,15,24
24,27,32,35,24
25,27,32,18,23
26,27,32,34,15
27,27,32,14,36
28,27,32,34,45
29,27,32,11,27
30,27,32,30,46
31,27,32,36,45
32,27,32,43,13
33,27,32,41,20
34,27,32,38,45
35,27,32,42,19
36,27,32,43,44
37,27,32,25,39
38,27,32,15,23
39,27,32,36,11
40,27,32,39,17
41,27,32,45,38
42,27,32,27,21
43,27,32,12,32
44,27,32,28,20
45,27,32,32,30
46,27,32,15,40
47,27,32,39,16
48,27,32,15,22
49,27,32,18,20
50,27,32,13,16
51,27,32,35,16
52,27,32,17,15
53,27,32,16,11
54,27,32,27,14
55,27,32,40,27
56,27,32,28,40
57,27,32,31,28
58,27,32,48,17
59,27,32,47,34
60,27,32,37,10
61,27,32,12,21
62,27,32,25,30
63,27,32,42,13
64,27,32,29,25
65,27,32,18,10
66,27,32,12,24
67,27,32,33,31
68,27,32,12,34
69,27,32,36,14
70,27,32,38,42
71,27,32,18,34
72,27,32,15,29
73,27,32,35,21
74,27,32,44,23
75,27,32,32,16
76,27,32,23,10
77,27,32,38,48
78,27,32,44,19
79,27,32,46,21
80,27,32,44,33
81,27,32,34,19
82,27,32,17,15
83,27,32,22,33
84,27,32,15,46
85,27,32,26,18
86,27,32,38,47
87,27,32,36,29
88,27,32,22,24
89,27,32,19,22
90,27,32,29,48
91,27,32,16,42
92,27,32,23,32
93,27,32,34,12
94,27,32,13,48
95,27,32,41,21
96,27,32,41,42
97,27,32,20,21
98,27,32,10,13
99,27,32,10,27
100,27,32,11,27
101,27,32,39,39
102,27,32,32,27
103,27,32,13,43
104,27,32,33,38
105,27,32,49,26
106,27,32,31,44
107,27,32,34,22
108,27,32,23,40
109,27,32,36,40
110,27,32,23,10
111,27,32,43,23
112,27,32,10,27
113,27,32,44,21
114,27,32,24,44
115,27,32,29,45
116,27,32,21,11
117,27,32,37,40
118,27,32,18,35
119,27,32,44,37
120,27,32,28,41
121,27,32,34,36
122,27,32,38,48
123,27,32,44,42
124,27,32,44,41
125,27,32,27,14
126,27,32,32,27
127,27,32,10,48
128,27,32,41,25
129,27,32,45,29
130,27,32,22,13
131,27,32,14,13
132,27,32,46,41
133,27,32,14,11
134,27,32,19,44
135,27,32,22,10
136,27,32,32,10
137,27,32,20,39
138,27,32,44,25
139,27,32,40,45
140,27,32,39,23
141,27,32,10,32
142,27,32,37,30
143,27,32,15,14
144,27,32,15,21
145,27,32,39,26
146,27,32,44,40
147,27,32,35,45
148,27,32,30,30
149,27,32,29,14
150,27,32,10,28
151,27,32,21,31
152,27,32,14,32
153,27,32,39,48
154,27,32,41,28
155,27,32,33,33
156,27,32,44,41
157,27,32,46,38
158,27,32,39,25
159,27,32,47,16
160,27,32,40,21
161,27,32,46,28
162,27,32,32,35
163,27,32,29,48
164,27,32,34,41
165,27,32,21,45
166,27,32,36,14
167,27,32,19,31
168,27,32,45,22
169,27,32,16,40
170,27,32,11,49
171,27,32,29,25
172,27,32,45,17
173,27,32,38,36
174,27,32,20,47
