,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,2,1,3,1,1,3,4,2,2,4,2,4
1,3,1,3,1,4,3,4,4,3,4,2,1
2,3,4,3,1,4,3,1,3,4,4,2,3
3,2,1,3,1,4,4,2,2,1,2,1,1
4,2,1,3,1,4,3,1,3,1,2,3,4
5,3,1,3,1,1,3,2,3,4,2,1,1
6,1,4,1,1,4,1,2,1,2,2,4,4
7,1,1,3,1,4,3,3,3,2,1,2,1
8,2,1,3,4,4,4,2,4,4,1,3,3
9,2,1,3,1,4,3,1,3,4,2,4,4
10,3,4,3,1,1,3,1,4,2,3,4,3
11,1,2,1,1,1,4,4,4,1,3,2,3
12,1,4,1,2,1,4,3,2,2,4,4,4
13,1,4,1,2,1,3,1,3,3,3,3,4
14,3,4,4,3,1,3,2,2,2,1,1,3
15,3,4,3,1,1,3,2,4,1,1,1,4
16,2,4,3,1,1,2,4,1,1,3,4,1
17,2,4,3,1,1,2,2,4,1,2,1,4
18,2,4,3,1,1,2,4,4,1,2,1,2
19,2,2,1,1,1,2,4,2,3,4,2,1
20,1,2,1,1,1,4,3,2,4,4,2,4
21,2,4,1,1,4,4,3,2,4,4,2,3
22,2,4,1,1,1,4,3,2,3,4,3,2
23,1,3,1,4,1,4,1,2,3,4,4,2
24,1,2,1,4,1,4,1,1,3,2,3,3
25,1,2,1,4,1,4,3,1,2,1,2,1
26,1,2,1,4,2,4,3,3,1,3,3,2
27,1,2,1,4,2,4,4,4,4,4,1,2
28,1,2,1,4,2,4,2,1,3,4,3,3
29,1,2,1,4,1,4,4,3,3,4,3,1
30,1,2,1,1,1,4,4,1,2,2,1,3
31,1,3,1,1,1,4,2,2,3,4,1,3
32,1,3,1,1,1,4,1,4,4,4,3,4
33,1,3,1,1,1,4,4,1,2,3,4,4
34,1,3,1,1,1,4,1,4,3,2,1,4
35,1,3,1,1,1,4,4,3,3,1,4,1
36,1,3,1,1,1,4,3,4,1,1,3,4
37,1,2,1,1,1,4,2,1,2,2,4,4
38,1,3,1,1,1,2,2,4,3,1,1,2
39,1,3,1,1,1,2,4,1,2,1,4,4
40,1,3,1,1,1,4,1,2,1,1,2,1
41,1,2,1,4,1,2,3,2,1,2,3,2
42,1,2,1,4,1,2,2,1,2,2,2,3
43,1,2,1,1,1,2,3,4,3,1,3,1
44,2,1,3,1,1,2,4,3,1,4,3,4
45,2,1,3,1,1,2,3,3,2,4,2,2
46,2,1,3,1,1,2,3,2,4,1,3,2
47,2,1,3,1,1,2,2,3,4,4,3,3
48,2,1,3,1,1,2,3,2,2,4,4,4
49,2,1,3,1,1,2,1,4,3,4,2,2
50,2,1,3,1,1,2,2,1,3,1,4,1
51,2,1,3,1,1,2,4,4,1,4,2,2
52,2,1,3,1,1,2,3,1,4,2,4,3
53,2,1,3,1,1,2,4,3,2,3,4,2
54,2,1,3,1,1,2,2,2,1,2,3,4
55,1,3,1,1,1,2,3,4,4,2,1,4
56,1,3,1,1,1,4,3,1,4,2,4,3
57,1,3,1,4,1,2,4,2,2,3,3,4
58,1,2,3,4,1,2,4,1,2,3,4,3
59,1,2,1,4,1,2,2,3,3,3,4,4
60,1,2,1,4,1,2,1,1,2,2,1,4
61,1,4,1,4,1,2,4,1,4,3,4,2
62,1,4,1,4,1,2,4,4,4,3,3,2
63,1,4,1,4,1,2,2,1,3,4,2,1
64,1,4,1,1,1,2,3,2,4,4,2,4
65,1,4,3,1,1,2,1,4,1,1,1,2
66,1,2,3,1,1,1,2,3,1,2,2,2
67,1,2,3,4,1,1,4,4,2,2,1,2
68,1,2,3,4,1,1,2,2,4,4,1,4
69,1,2,3,4,1,1,4,1,2,2,4,2
70,2,2,3,1,1,1,3,4,4,2,3,1
71,1,2,3,4,1,1,1,4,1,3,2,1
72,1,2,3,4,1,2,1,3,4,2,2,3
73,1,2,1,4,1,2,2,1,1,4,1,1
74,1,2,1,4,1,2,3,4,1,1,1,2
75,1,3,3,4,4,1,1,3,3,3,4,2
76,1,2,3,4,1,2,1,2,4,1,2,4
77,1,2,1,4,1,2,1,2,2,3,1,3
78,1,2,1,4,1,4,1,1,4,1,3,2
79,1,1,1,4,1,4,3,2,2,3,3,1
80,1,3,1,1,4,1,1,4,2,2,4,4
81,1,3,1,1,4,1,1,2,3,2,1,2
82,1,3,1,1,4,1,4,1,3,4,3,1
83,1,3,1,1,1,4,2,4,2,1,1,4
84,1,3,1,1,1,4,1,4,3,4,1,3
85,1,3,1,1,1,4,4,1,3,1,2,2
86,1,2,1,1,1,4,4,2,1,4,2,4
87,1,2,1,1,1,4,4,3,3,4,3,1
88,1,2,1,4,1,4,3,2,4,4,1,1
89,1,2,1,4,1,4,2,1,1,2,4,2
90,1,3,1,1,1,4,1,2,2,2,1,4
91,1,2,1,4,1,4,1,1,3,3,2,3
92,1,3,1,1,1,4,2,3,2,4,4,4
93,1,3,1,4,1,4,4,2,3,1,3,4
94,1,2,1,4,1,4,1,3,3,1,2,4
95,1,2,1,4,1,4,3,2,2,1,4,1
96,1,2,1,4,1,4,4,4,4,4,1,1
97,1,1,1,4,1,4,4,1,4,2,3,1
98,1,2,1,1,1,4,3,4,1,1,1,2
99,1,2,1,4,1,4,4,4,2,4,4,1
100,1,2,1,4,1,4,2,3,3,1,3,3
101,1,3,1,1,1,4,1,3,3,1,4,2
102,1,3,1,1,1,4,3,3,3,4,3,3
103,1,2,1,1,1,4,2,2,2,3,3,4
104,1,2,1,1,1,4,4,2,4,4,1,2
105,1,2,1,1,1,4,4,2,2,1,2,4
106,1,2,1,1,1,4,1,3,4,2,4,2
107,1,2,1,1,1,4,2,3,2,4,3,4
108,1,2,1,4,1,4,3,2,3,2,4,3
109,1,2,1,4,1,4,1,2,2,1,1,2
110,1,2,1,1,1,4,2,1,2,4,4,2
111,1,2,1,1,1,4,4,2,2,1,3,3
112,1,2,1,1,1,4,1,4,1,2,1,1
113,1,2,1,4,1,4,4,2,2,3,3,4
114,1,2,1,4,1,4,3,1,4,3,1,2
115,1,2,1,4,1,4,4,4,2,1,3,2
116,1,2,1,4,1,4,4,2,2,2,3,4
117,1,2,1,4,1,4,2,1,4,3,3,4
