,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,32.0,10.0,30.0,13.0
1,32.0,10.0,30.0,13.0
2,32.0,10.0,27.0,17.0
3,32.0,10.0,32.0,10.0
4,32.0,10.0,30.0,13.0
5,32.0,10.0,32.0,10.0
6,32.0,10.0,31.0,11.0
7,32.0,10.0,32.0,10.0
8,32.0,10.0,31.0,11.0
9,32.0,10.0,30.0,13.0
10,32.0,10.0,31.0,11.0
11,32.0,10.0,30.0,13.0
12,32.0,10.0,31.0,11.0
13,32.0,10.0,31.0,11.0
14,32.0,10.0,32.0,10.0
15,32.0,10.0,31.0,11.0
16,32.0,10.0,27.0,17.0
17,32.0,10.0,32.0,10.0
18,32.0,10.0,27.0,17.0
19,32.0,10.0,27.0,17.0
20,32.0,10.0,32.0,10.0
21,32.0,10.0,32.0,10.0
22,32.0,10.0,30.0,13.0
23,32.0,10.0,31.0,11.0
24,32.0,10.0,32.0,10.0
25,32.0,10.0,27.0,17.0
26,32.0,10.0,27.0,17.0
27,32.0,10.0,27.0,17.0
28,32.0,10.0,27.0,17.0
29,32.0,10.0,30.0,13.0
30,32.0,10.0,27.0,17.0
31,32.0,10.0,27.0,17.0
32,32.0,10.0,32.0,10.0
33,32.0,10.0,31.0,11.0
34,32.0,10.0,27.0,17.0
35,32.0,10.0,31.0,11.0
36,32.0,10.0,32.0,10.0
37,32.0,10.0,32.0,10.0
38,32.0,10.0,32.0,10.0
39,32.0,10.0,31.0,11.0
40,32.0,10.0,31.0,11.0
41,32.0,10.0,31.0,11.0
42,32.0,10.0,27.0,17.0
43,32.0,10.0,31.0,11.0
44,32.0,10.0,30.0,13.0
45,32.0,10.0,30.0,13.0
46,32.0,10.0,27.0,17.0
47,32.0,10.0,32.0,10.0
48,32.0,10.0,32.0,10.0
49,32.0,10.0,32.0,10.0
50,32.0,10.0,32.0,10.0
51,32.0,10.0,27.0,17.0
52,32.0,10.0,27.0,17.0
53,32.0,10.0,27.0,17.0
54,32.0,10.0,32.0,10.0
55,32.0,10.0,32.0,10.0
56,32.0,10.0,31.0,11.0
57,32.0,10.0,31.0,11.0
58,32.0,10.0,31.0,11.0
59,32.0,10.0,32.0,10.0
60,32.0,10.0,31.0,11.0
61,32.0,10.0,27.0,17.0
62,32.0,10.0,30.0,13.0
63,32.0,10.0,27.0,17.0
64,32.0,10.0,31.0,11.0
