,Anger.Self_Predicted,Disgust.Self_Predicted,Fear.Self_Predicted,Happiness.Self_Predicted,Sadness.Self_Predicted,Surprise.Self_Predicted,Anger.Self_Actual,Disgust.Self_Actual,Fear.Self_Actual,Happiness.Self_Actual,Sadness.Self_Actual,Surprise.Self_Actual
0,1,2,2,2,3,3,3,3,4,3,1,3
1,2,2,2,4,4,3,4,4,4,3,4,3
2,2,2,2,4,4,3,1,4,3,2,2,3
3,2,2,4,4,4,3,3,4,2,4,2,2
4,2,2,4,4,4,3,4,1,1,2,1,3
5,2,2,4,4,4,3,1,1,2,2,4,3
6,2,2,4,4,4,3,3,3,4,4,1,2
7,4,2,4,4,4,3,4,3,2,4,4,2
8,4,2,4,4,4,3,1,1,2,4,4,2
9,4,2,4,4,4,3,3,1,1,2,2,3
10,4,2,4,4,4,3,2,1,2,4,4,1
11,4,2,4,4,4,3,2,4,1,4,4,2
12,1,3,4,4,4,3,1,4,2,4,4,4
13,1,3,4,4,4,2,4,1,1,1,1,1
14,1,3,1,3,3,2,4,2,1,3,1,2
15,1,3,1,3,4,2,2,1,3,3,1,4
16,1,1,1,4,3,2,2,1,2,1,2,2
17,1,1,1,4,3,2,4,4,4,3,2,4
18,1,1,1,3,3,4,4,4,4,2,1,4
19,1,3,1,3,3,4,1,4,3,3,3,1
20,1,3,1,3,3,4,3,3,4,3,1,3
21,1,2,1,3,3,4,3,3,1,1,3,2
22,1,3,4,3,3,3,3,1,3,2,4,3
23,1,3,4,3,4,3,3,2,3,3,4,2
24,1,3,4,3,4,3,2,4,3,3,3,1
25,1,3,4,3,4,3,1,2,4,3,2,3
26,1,3,4,3,4,3,1,4,1,4,1,3
27,4,3,4,3,4,3,2,4,3,4,4,1
28,1,2,4,3,1,3,2,2,2,4,3,3
29,3,2,4,3,1,3,2,3,3,1,2,2
30,3,2,4,3,1,3,3,2,2,2,4,3
31,4,2,1,3,1,3,3,2,4,1,3,4
32,4,2,1,3,1,3,2,4,1,1,4,2
33,4,2,4,3,1,3,4,4,3,4,4,2
34,4,2,4,4,4,3,2,4,1,3,1,4
35,4,2,4,4,4,3,4,4,3,1,3,2
36,3,1,4,3,4,3,4,3,2,4,4,1
37,4,2,4,4,4,3,2,4,1,3,2,4
38,4,1,3,4,4,1,1,4,4,2,1,2
39,4,1,3,4,4,1,4,3,3,2,2,4
40,4,1,3,4,4,1,1,2,4,1,3,1
41,4,4,3,4,4,1,4,2,3,4,4,3
42,4,4,3,4,4,1,1,1,1,3,1,3
43,4,1,3,4,4,1,3,4,4,3,4,1
44,4,1,3,4,4,1,2,2,3,1,3,2
45,4,1,3,4,4,3,4,1,3,3,4,4
46,4,1,3,4,4,3,4,4,1,4,4,3
47,4,1,1,4,4,3,4,4,3,3,1,3
48,4,1,1,4,4,3,2,4,1,1,1,2
49,4,1,1,4,4,3,1,3,4,2,3,3
50,4,1,1,4,4,3,2,1,1,4,1,4
51,4,1,3,4,4,3,4,1,1,4,4,4
52,4,1,3,4,4,3,2,3,1,3,4,2
53,4,1,3,4,4,3,3,1,4,3,1,3
54,4,1,3,4,4,2,4,2,4,3,2,1
55,4,1,3,4,4,2,4,2,2,4,1,2
56,4,1,3,4,4,3,4,2,1,2,2,3
57,4,1,3,4,4,3,2,3,3,3,3,1
58,1,1,3,4,4,3,2,1,2,3,3,3
59,1,1,3,4,4,3,2,3,4,3,4,3
60,1,1,3,4,4,3,4,4,4,3,3,3
61,1,1,4,4,4,3,3,1,2,1,3,4
62,1,1,4,4,4,3,2,3,2,2,4,1
63,1,1,4,4,4,3,1,4,3,1,2,1
64,1,1,4,4,4,3,3,1,4,1,3,1
65,1,1,4,4,4,3,1,1,2,4,3,4
66,4,2,4,4,3,2,3,1,2,1,4,3
67,1,2,4,2,3,2,1,2,1,3,4,4
68,1,2,4,4,1,4,4,2,1,4,3,2
69,4,2,4,4,1,4,3,3,2,2,1,2
70,1,2,4,4,1,4,1,3,2,1,1,1
71,1,2,4,4,1,4,2,4,2,3,2,3
72,4,2,4,4,1,4,3,1,4,3,2,2
73,1,2,4,4,1,4,1,1,2,3,3,4
74,4,2,4,4,1,4,1,1,2,4,3,1
75,4,2,4,4,3,4,1,1,3,2,1,4
76,4,2,4,4,3,4,1,4,4,1,1,3
77,4,2,4,4,3,4,3,1,1,1,2,1
78,4,2,4,4,3,4,2,3,1,4,4,1
