,PANAS.Positive_Predicted,PANAS.Negative_Predicted,PANAS.Positive_Actual,PANAS.Negative_Actual
0,15,39,31,10
1,15,39,10,18
2,15,39,11,16
3,15,39,15,25
4,15,39,22,34
5,15,39,16,20
6,15,39,17,15
7,15,39,23,25
8,15,39,35,10
9,15,39,47,18
10,15,39,13,34
11,15,39,21,28
12,15,39,38,11
13,15,39,38,39
14,15,39,20,18
15,15,39,18,18
16,15,39,34,11
17,15,39,24,18
18,15,39,37,16
19,15,39,34,46
20,15,39,22,22
21,15,39,38,17
22,15,39,48,35
23,15,39,23,45
24,15,39,36,20
25,15,39,34,27
26,15,39,29,20
27,15,39,37,16
28,15,39,16,36
29,15,39,45,37
30,15,39,33,34
31,15,39,16,25
32,15,39,39,48
33,15,39,47,32
34,15,39,30,21
35,15,39,28,13
36,15,39,43,15
37,15,39,33,35
38,15,39,44,41
39,15,39,49,37
40,15,39,32,17
41,15,39,31,36
42,15,39,29,12
43,15,39,24,23
44,15,39,22,19
45,15,39,42,14
46,15,39,29,47
47,15,39,25,10
48,15,39,26,15
49,15,39,10,39
50,15,39,25,40
51,15,39,26,13
52,15,39,19,48
53,15,39,47,33
54,15,39,24,28
55,15,39,16,31
56,15,39,25,44
57,15,39,39,36
58,15,39,22,24
59,15,39,14,12
60,15,39,14,37
61,15,39,18,18
62,15,39,17,14
63,15,39,21,48
64,15,39,48,19
65,15,39,22,12
66,15,39,13,36
67,15,39,23,10
68,15,39,28,21
69,15,39,21,22
70,15,39,18,11
71,15,39,27,46
72,15,39,31,10
73,15,39,12,11
74,15,39,22,31
75,15,39,21,21
76,15,39,35,11
77,15,39,13,18
78,15,39,36,29
79,15,39,30,47
80,15,39,35,22
81,15,39,33,48
82,15,39,14,39
83,15,39,17,45
84,15,39,49,12
85,15,39,42,24
86,15,39,42,12
87,15,39,26,48
88,15,39,22,45
89,15,39,31,37
90,15,39,48,42
91,15,39,14,33
92,15,39,40,37
93,15,39,31,15
94,15,39,13,11
95,15,39,40,24
96,15,39,47,29
97,15,39,26,49
98,15,39,29,38
99,15,39,35,27
100,15,39,33,16
101,15,39,42,16
102,15,39,44,20
103,15,39,16,47
104,15,39,20,46
105,15,39,47,32
106,15,39,21,49
107,15,39,18,36
108,15,39,24,36
109,15,39,28,10
110,15,39,11,44
111,15,39,19,32
112,15,39,12,45
113,15,39,20,17
114,15,39,38,46
115,15,39,42,15
116,15,39,23,45
117,15,39,17,42
118,15,39,35,14
119,15,39,30,14
120,15,39,45,12
121,15,39,21,20
122,15,39,16,44
123,15,39,15,37
124,15,39,22,27
125,15,39,18,47
126,15,39,27,34
127,15,39,43,39
128,15,39,15,19
129,15,39,15,28
130,15,39,46,13
131,15,39,32,37
132,15,39,44,40
133,15,39,20,31
134,15,39,23,49
135,15,39,46,41
136,15,39,35,21
137,15,39,21,42
138,15,39,10,38
139,15,39,29,39
140,15,39,31,44
141,15,39,30,22
142,15,39,12,11
143,15,39,20,13
144,15,39,45,48
145,15,39,23,10
146,15,39,33,17
147,15,39,49,19
148,15,39,31,46
149,15,39,42,15
150,15,39,25,34
151,15,39,11,40
152,15,39,24,25
153,15,39,32,39
154,15,39,13,29
155,15,39,42,25
156,15,39,11,14
157,15,39,22,28
158,15,39,46,23
159,15,39,43,30
160,15,39,11,47
161,15,39,33,31
162,15,39,17,26
163,15,39,10,26
164,15,39,39,22
165,15,39,29,20
166,15,39,10,44
167,15,39,31,42
168,15,39,17,32
169,15,39,44,36
170,15,39,33,32
171,15,39,22,38
172,15,39,17,31
173,15,39,18,30
174,15,39,12,21
175,15,39,46,37
176,15,39,44,22
177,15,39,21,24
178,15,39,13,27
179,15,39,27,16
180,15,39,49,41
181,15,39,42,44
182,15,39,29,29
183,15,39,48,34
184,15,39,17,21
185,15,39,41,20
186,15,39,35,10
187,15,39,24,39
188,15,39,47,24
189,15,39,42,24
190,15,39,22,22
191,15,39,16,27
192,15,39,31,46
193,15,39,22,27
194,15,39,44,28
195,15,39,20,24
196,15,39,34,42
197,15,39,10,42
198,15,39,11,33
199,15,39,29,12
200,15,39,29,35
201,15,39,39,12
202,15,39,20,39
203,15,39,26,18
204,15,39,41,36
205,15,39,39,45
206,15,39,47,30
207,15,39,34,38
208,15,39,48,36
209,15,39,44,24
210,15,39,34,14
211,15,39,33,38
212,15,39,43,41
213,15,39,32,16
214,15,39,12,31
215,15,39,40,48
216,15,39,32,36
217,15,39,17,49
218,15,39,11,27
219,15,39,47,17
220,15,39,39,41
221,15,39,24,11
222,15,39,30,31
223,15,39,36,49
224,15,39,14,20
225,15,39,10,26
226,15,39,31,26
227,15,39,16,30
228,15,39,24,21
229,15,39,30,48
230,15,39,21,20
231,15,39,26,37
232,15,39,44,32
233,15,39,46,18
234,15,39,20,31
235,15,39,46,13
236,15,39,21,47
237,15,39,24,15
238,15,39,35,36
239,15,39,48,36
240,15,39,38,36
241,15,39,45,27
242,15,39,29,17
243,15,39,10,20
244,15,39,46,32
245,15,39,31,35
246,15,39,10,18
247,15,39,13,41
248,15,39,35,22
249,15,39,29,43
250,15,39,49,33
251,15,39,14,49
252,15,39,11,12
253,15,39,33,28
254,15,39,15,16
255,15,39,25,13
256,15,39,30,26
257,15,39,33,19
258,15,39,13,24
259,15,39,45,27
260,15,39,44,41
261,15,39,27,12
262,15,39,25,20
263,15,39,15,18
264,15,39,37,36
265,15,39,45,25
266,15,39,29,21
267,15,39,38,29
268,15,39,15,43
269,15,39,31,17
270,15,39,25,49
271,15,39,46,49
272,15,39,34,12
273,15,39,15,38
274,15,39,16,11
275,15,39,34,26
276,15,39,15,17
277,15,39,48,31
278,15,39,38,17
279,15,39,13,21
280,15,39,20,24
281,15,39,27,24
282,15,39,23,19
283,15,39,21,48
284,15,39,21,44
285,15,39,32,43
286,15,39,25,44
287,15,39,40,16
288,15,39,20,33
289,15,39,15,11
290,15,39,11,27
291,15,39,36,35
292,15,39,43,42
293,15,39,28,23
294,15,39,34,29
295,15,39,45,23
296,15,39,47,46
297,15,39,33,11
298,15,39,32,14
299,15,39,45,25
300,15,39,38,31
301,15,39,18,38
302,15,39,27,40
303,15,39,16,33
304,15,39,16,35
305,15,39,20,24
306,15,39,22,38
307,15,39,26,31
308,15,39,24,30
309,15,39,43,41
310,15,39,12,31
311,15,39,42,27
312,15,39,11,11
313,15,39,46,36
314,15,39,34,21
315,15,39,27,26
316,15,39,18,31
317,15,39,29,12
318,15,39,49,35
319,15,39,26,12
320,15,39,12,45
321,15,39,39,47
322,15,39,35,23
323,15,39,46,49
324,15,39,42,42
325,15,39,43,35
326,15,39,41,43
327,15,39,30,29
328,15,39,13,44
329,15,39,43,32
330,15,39,18,28
331,15,39,39,44
332,15,39,35,26
333,15,39,23,33
334,15,39,31,38
335,15,39,10,29
336,15,39,14,30
337,15,39,21,22
338,15,39,11,44
339,15,39,17,17
340,15,39,20,20
341,15,39,19,42
342,15,39,45,38
343,15,39,10,45
344,15,39,10,32
345,15,39,45,21
346,15,39,32,30
347,15,39,41,19
348,15,39,10,43
349,15,39,13,24
350,15,39,40,46
351,15,39,27,19
352,15,39,46,26
353,15,39,43,19
354,15,39,12,14
355,15,39,45,43
356,15,39,13,10
357,15,39,12,17
358,15,39,11,20
359,15,39,48,29
360,15,39,48,25
361,15,39,13,27
362,15,39,20,48
363,15,39,11,11
364,15,39,30,13
365,15,39,34,20
366,15,39,41,39
367,15,39,29,42
368,15,39,39,24
369,15,39,31,11
370,15,39,14,24
371,15,39,41,34
372,15,39,16,29
373,15,39,46,34
374,15,39,37,35
375,15,39,16,35
376,15,39,13,38
377,15,39,18,34
378,15,39,29,23
379,15,39,20,27
380,15,39,11,43
381,15,39,19,23
382,15,39,10,40
383,15,39,28,41
384,15,39,17,41
385,15,39,11,46
386,15,39,10,39
387,15,39,14,21
388,15,39,37,34
389,15,39,40,36
390,15,39,22,36
391,15,39,34,45
392,15,39,10,18
393,15,39,27,16
394,15,39,13,40
395,15,39,19,26
396,15,39,20,11
397,15,39,26,14
398,15,39,11,14
399,15,39,15,28
400,15,39,37,23
401,15,39,20,20
402,15,39,29,20
403,15,39,18,47
404,15,39,33,36
405,15,39,12,25
406,15,39,37,27
407,15,39,24,34
408,15,39,18,39
409,15,39,25,35
410,15,39,24,13
411,15,39,35,44
412,15,39,21,15
413,15,39,18,22
414,15,39,47,30
415,15,39,22,41
416,15,39,38,13
417,15,39,36,35
418,15,39,29,31
419,15,39,39,28
420,15,39,31,49
421,15,39,43,21
422,15,39,40,43
423,15,39,20,32
424,15,39,33,28
425,15,39,36,25
426,15,39,21,43
427,15,39,28,48
428,15,39,13,43
429,15,39,24,45
430,15,39,41,38
431,15,39,25,41
432,15,39,27,18
433,15,39,47,43
434,15,39,29,47
435,15,39,37,31
436,15,39,44,20
437,15,39,33,23
438,15,39,45,37
439,15,39,42,44
440,15,39,46,14
441,15,39,43,14
442,15,39,38,37
443,15,39,25,12
444,15,39,25,25
445,15,39,46,21
446,15,39,16,23
447,15,39,33,37
448,15,39,49,37
449,15,39,40,32
450,15,39,38,27
451,15,39,46,44
452,15,39,42,47
453,15,39,39,22
454,15,39,46,35
455,15,39,49,17
456,15,39,37,46
457,15,39,41,43
458,15,39,43,21
459,15,39,23,32
460,15,39,11,19
461,15,39,45,25
462,15,39,25,44
463,15,39,23,11
464,15,39,12,18
465,15,39,31,12
466,15,39,14,10
467,15,39,28,27
468,15,39,15,47
469,15,39,11,20
470,15,39,20,29
471,15,39,13,29
472,15,39,47,45
473,15,39,11,29
474,15,39,29,20
475,15,39,20,12
476,15,39,18,33
477,15,39,44,39
478,15,39,20,10
479,15,39,14,21
480,15,39,14,14
481,15,39,37,35
482,15,39,41,45
483,15,39,32,38
484,15,39,41,17
485,15,39,18,48
486,15,39,35,34
487,15,39,40,16
488,15,39,36,29
489,15,39,34,16
490,15,39,12,26
491,15,39,20,40
492,15,39,11,34
493,15,39,40,26
494,15,39,11,47
495,15,39,20,21
496,15,39,10,30
497,15,39,30,25
498,15,39,24,47
499,15,39,14,27
500,15,39,14,16
501,15,39,15,44
502,15,39,17,49
503,15,39,13,27
504,15,39,35,12
505,15,39,41,22
506,15,39,36,10
507,15,39,14,31
508,15,39,36,41
509,15,39,41,29
510,15,39,19,24
511,15,39,33,23
512,15,39,20,40
513,15,39,45,36
514,15,39,26,44
515,15,39,13,38
516,15,39,35,26
517,15,39,43,43
518,15,39,42,23
519,15,39,30,24
520,15,39,45,25
521,15,39,35,11
522,15,39,40,30
523,15,39,47,18
524,15,39,15,30
525,15,39,46,46
526,15,39,41,34
527,15,39,47,16
528,15,39,36,16
529,15,39,38,21
530,15,39,17,19
531,15,39,19,31
532,15,39,37,47
533,15,39,13,10
534,15,39,40,36
535,15,39,21,25
536,15,39,23,27
537,15,39,35,43
538,15,39,19,12
539,15,39,45,44
540,15,39,43,10
541,15,39,38,41
542,15,39,11,37
543,15,39,29,47
544,15,39,39,48
545,15,39,41,27
