,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,8921935872.0,4528606208.0,4393331712.0,0.026988636702299118,0.02472478710114956
1,3463160064.0,1668766848.0,1794393216.0,0.02685546875,0.025301845744252205
2,4738952192.0,2248837376.0,2490114560.0,0.02618963085114956,0.025390625
3,6137659904.0,2719387904.0,3418271744.0,0.0263671875,0.024636007845401764
4,1018853824.0,562641216.0,456212704.0,0.025612570345401764,0.022816050797700882
5,8477608960.0,4419269632.0,4058338816.0,0.02472478710114956,0.02556818164885044
6,6449358848.0,3643587072.0,2805772544.0,0.026500355452299118,0.025124289095401764
7,5909077504.0,2553314560.0,3355761664.0,0.024857955053448677,0.025967685505747795
8,7750349312.0,4090041856.0,3660306944.0,0.026145242154598236,0.02587890625
9,7623763456.0,4028965632.0,3594797824.0,0.023659445345401764,0.025168679654598236
