,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,63480581324800.0,35386227163136.0,28094354161664.0,0.02436523512005806,0.02573242224752903
1,51997214507008.0,27563007148032.0,24434211553280.0,0.025634765625,0.02412109449505806
2,48579825631232.0,17553232494592.0,31026592088064.0,0.02446288987994194,0.02578124962747097
3,54978639036416.0,30246053085184.0,24732585951232.0,0.02387695387005806,0.02700195275247097
4,63571228622848.0,31297548320768.0,32273682399232.0,0.02495117112994194,0.02617187425494194
5,64651706499072.0,40736930136064.0,23914784751616.0,0.02695312537252903,0.02426757849752903
6,55537337106432.0,21205717352448.0,34331623948288.0,0.02373046800494194,0.02495117112994194
7,54120379580416.0,25458584322048.0,28661797355520.0,0.02446288987994194,0.02353515662252903
8,58696474296320.0,31264576897024.0,27431895302144.0,0.02602539025247097,0.02553710900247097
9,64266174464000.0,30166636036096.0,34099540525056.0,0.0263671875,0.02597656287252903
