,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,573444437573632.0,290107256995840.0,283337180577792.0,0.02639160118997097,0.02475585974752903
1,427411623641088.0,220743988150272.0,206667669045248.0,0.02507324144244194,0.02651367150247097
2,435735270260736.0,198232420384768.0,237502833098752.0,0.0245361328125,0.02519531175494194
3,437841481957376.0,216436874149888.0,221404591030272.0,0.02546386793255806,0.02473144605755806
4,432011365842944.0,249255826554880.0,182755572842496.0,0.02495117112994194,0.02397460862994194
5,398090586554368.0,211324420227072.0,186766149550080.0,0.0244140625,0.02519531175494194
6,498577050697728.0,241437291577344.0,257139775897600.0,0.02463378943502903,0.02531738206744194
7,628379820752896.0,323523042082816.0,304856845778944.0,0.02397460862994194,0.0234375
8,504223724732416.0,288835544023040.0,215388231041024.0,0.02543945237994194,0.02434081956744194
9,450032914399232.0,249477688459264.0,200555142053888.0,0.02333984337747097,0.0244140625
