,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,429023947653120.0,212702752407552.0,216321178468352.0,0.02497944049537182,0.02533922716975212
1,493314642018304.0,199774984732672.0,293539640508416.0,0.02536492608487606,0.026161596179008484
2,418806019129344.0,217599216451584.0,201206769123328.0,0.02533922716975212,0.026238692924380302
3,383582052810752.0,149323077648384.0,234258958385152.0,0.023720189929008484,0.025133633986115456
4,369879899176960.0,158500432904192.0,211379533381632.0,0.024079974740743637,0.024748150259256363
5,356538925449216.0,159574359277568.0,196964549394432.0,0.024619653820991516,0.02485094591975212
6,488361974300672.0,270344065646592.0,218017858322432.0,0.024208471179008484,0.02433696575462818
7,479230873829376.0,288026311786496.0,191204494934016.0,0.024773849174380302,0.025005139410495758
8,407630145126400.0,181503573098496.0,226126555250688.0,0.024516858160495758,0.02487664483487606
9,507355057881088.0,260694146547712.0,246660911333376.0,0.023643091320991516,0.024285567924380302
