,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,42404635738112.0,23724373835776.0,18680259805184.0,0.02587890625,0.025390625
1,38965956575232.0,19606970302464.0,19358986272768.0,0.0246853306889534,0.0261501744389534
2,40555832672256.0,22686424104960.0,17869408567296.0,0.0240342877805233,0.02392578125
3,45460769210368.0,22081840349184.0,23378935152640.0,0.02387152798473835,0.0260959193110466
4,45030723026944.0,20157915201536.0,24872809922560.0,0.0243055559694767,0.02669270895421505
5,41680594010112.0,22816978108416.0,18863617998848.0,0.0256618931889534,0.02555338479578495
6,41389106659328.0,23044084989952.0,18345027960832.0,0.02490234375,0.02555338479578495
7,49915455602688.0,25595840823296.0,24319610585088.0,0.0257703997194767,0.0262586809694767
8,40292862394368.0,16845137510400.0,23447728029696.0,0.0246310755610466,0.02376302145421505
9,40055896801280.0,17220542398464.0,22835355451392.0,0.025390625,0.0250108502805233
