,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,60757064548352.0,26999603068928.0,33757459382272.0,0.02348632737994194,0.02602539025247097
1,51497152806912.0,27507197739008.0,23989959262208.0,0.027099609375,0.02392578125
2,54306619260928.0,31206691307520.0,23099927953408.0,0.02412109449505806,0.02446288987994194
3,68452773527552.0,35725227589632.0,32727554326528.0,0.02402343787252903,0.02460937574505806
4,53918910382080.0,30871692247040.0,23047218135040.0,0.022705078125,0.02304687537252903
5,68693379776512.0,36747765350400.0,31945618620416.0,0.02558593824505806,0.02470703050494194
6,65565976690688.0,30303204671488.0,35262776213504.0,0.02509765699505806,0.02480468712747097
7,62605590790144.0,29899890884608.0,32705693614080.0,0.02670898474752903,0.02495117112994194
8,53042342789120.0,23370519281664.0,29671821410304.0,0.02543945237994194,0.02578124962747097
9,75269075369984.0,41323717459968.0,33945351618560.0,0.02470703050494194,0.026123046875
