,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,73927065600.0,38497308672.0,35429777408.0,0.02587890625,0.0231817327439785
1,37780529152.0,18814537728.0,18965991424.0,0.0246000736951828,0.0256463922560215
2,64220749824.0,28357779456.0,35862966272.0,0.02604166604578495,0.02394903264939785
3,78037630976.0,42661236736.0,35376394240.0,0.0253441222012043,0.02615792490541935
4,92460924928.0,45315399680.0,47145517056.0,0.0252046138048172,0.02490234375
5,65385181184.0,34794680320.0,30590496768.0,0.02555338479578495,0.0248558409512043
6,43059396608.0,21195118592.0,21864282112.0,0.02559988759458065,0.02453031949698925
7,59338952704.0,31851687936.0,27487262720.0,0.0256231389939785,0.02536737360060215
8,26716237824.0,11560766464.0,15155470336.0,0.0257393978536129,0.0263206847012043
9,33110317056.0,16786726912.0,16323587072.0,0.0262741819024086,0.02473958395421505
