"Error","Chunk","Fold","EmotionMeasure","SpecificEmotion","BodilyActivity","ConversationValence","OutputType"
4.4780707359314,"1","1","6emo","OverallError","both","both","observed"
0.362373024225235,"1","1","6emo","Anger_Error","both","both","observed"
0.365314364433289,"1","1","6emo","Disgust_Error","both","both","observed"
0,"1","1","6emo","Fear_Error","both","both","observed"
1.06274127960205,"1","1","6emo","Happiness_Error","both","both","observed"
1.43829095363617,"1","1","6emo","Sadness_Error","both","both","observed"
1.24935126304626,"1","1","6emo","Surprise_Error","both","both","observed"
0.817313075065613,"1","1","6emo","Anger_Accuracy","both","both","observed"
0.81680154800415,"1","1","6emo","Disgust_Accuracy","both","both","observed"
1,"1","1","6emo","Fear_Accuracy","both","both","observed"
0.455031633377075,"1","1","6emo","Happiness_Accuracy","both","both","observed"
0.661458313465118,"1","1","6emo","Sadness_Accuracy","both","both","observed"
0.761253714561462,"1","1","6emo","Surprise_Accuracy","both","both","observed"
3.39795184135437,"1","2","6emo","OverallError","both","both","observed"
0.35709872841835,"1","2","6emo","Anger_Error","both","both","observed"
0.35754531621933,"1","2","6emo","Disgust_Error","both","both","observed"
0,"1","2","6emo","Fear_Error","both","both","observed"
1.01930332183838,"1","2","6emo","Happiness_Error","both","both","observed"
0.824118494987488,"1","2","6emo","Sadness_Error","both","both","observed"
0.839886426925659,"1","2","6emo","Surprise_Error","both","both","observed"
0.874465227127075,"1","2","6emo","Anger_Accuracy","both","both","observed"
0.874465227127075,"1","2","6emo","Disgust_Accuracy","both","both","observed"
1,"1","2","6emo","Fear_Accuracy","both","both","observed"
0.509835362434387,"1","2","6emo","Happiness_Accuracy","both","both","observed"
0.711635053157806,"1","2","6emo","Sadness_Accuracy","both","both","observed"
0.757184684276581,"1","2","6emo","Surprise_Accuracy","both","both","observed"
4.47454452514648,"1","3","6emo","OverallError","both","both","observed"
0.386208772659302,"1","3","6emo","Anger_Error","both","both","observed"
0.389603674411774,"1","3","6emo","Disgust_Error","both","both","observed"
0,"1","3","6emo","Fear_Error","both","both","observed"
1.01249599456787,"1","3","6emo","Happiness_Error","both","both","observed"
1.58788442611694,"1","3","6emo","Sadness_Error","both","both","observed"
1.09835183620453,"1","3","6emo","Surprise_Error","both","both","observed"
0.828311026096344,"1","3","6emo","Anger_Accuracy","both","both","observed"
0.829566597938538,"1","3","6emo","Disgust_Accuracy","both","both","observed"
1,"1","3","6emo","Fear_Accuracy","both","both","observed"
0.456263959407806,"1","3","6emo","Happiness_Accuracy","both","both","observed"
0.560407340526581,"1","3","6emo","Sadness_Accuracy","both","both","observed"
0.761346697807312,"1","3","6emo","Surprise_Accuracy","both","both","observed"
3.75874543190002,"1","4","6emo","OverallError","both","both","observed"
0.376993149518967,"1","4","6emo","Anger_Error","both","both","observed"
0.376235574483871,"1","4","6emo","Disgust_Error","both","both","observed"
0,"1","4","6emo","Fear_Error","both","both","observed"
1.014000415802,"1","4","6emo","Happiness_Error","both","both","observed"
1.16032111644745,"1","4","6emo","Sadness_Error","both","both","observed"
0.831195175647736,"1","4","6emo","Surprise_Error","both","both","observed"
0.875372052192688,"1","4","6emo","Anger_Accuracy","both","both","observed"
0.875372052192688,"1","4","6emo","Disgust_Accuracy","both","both","observed"
1,"1","4","6emo","Fear_Accuracy","both","both","observed"
0.429106205701828,"1","4","6emo","Happiness_Accuracy","both","both","observed"
0.678641200065613,"1","4","6emo","Sadness_Accuracy","both","both","observed"
0.764462411403656,"1","4","6emo","Surprise_Accuracy","both","both","observed"
3.75753927230835,"1","5","6emo","OverallError","both","both","observed"
0.357118159532547,"1","5","6emo","Anger_Error","both","both","observed"
0.355825364589691,"1","5","6emo","Disgust_Error","both","both","observed"
1.72405534293318e-09,"1","5","6emo","Fear_Error","both","both","observed"
1.01198935508728,"1","5","6emo","Happiness_Error","both","both","observed"
0.964801788330078,"1","5","6emo","Sadness_Error","both","both","observed"
1.06780505180359,"1","5","6emo","Surprise_Error","both","both","observed"
0.873674690723419,"1","5","6emo","Anger_Accuracy","both","both","observed"
0.873674690723419,"1","5","6emo","Disgust_Accuracy","both","both","observed"
1,"1","5","6emo","Fear_Accuracy","both","both","observed"
0.453915536403656,"1","5","6emo","Happiness_Accuracy","both","both","observed"
0.739932119846344,"1","5","6emo","Sadness_Accuracy","both","both","observed"
0.758347272872925,"1","5","6emo","Surprise_Accuracy","both","both","observed"
3.45065021514893,"1","6","6emo","OverallError","both","both","observed"
0.342684000730515,"1","6","6emo","Anger_Error","both","both","observed"
0.339179396629333,"1","6","6emo","Disgust_Error","both","both","observed"
0,"1","6","6emo","Fear_Error","both","both","observed"
0.98424756526947,"1","6","6emo","Happiness_Error","both","both","observed"
0.901745498180389,"1","6","6emo","Sadness_Error","both","both","observed"
0.882793605327606,"1","6","6emo","Surprise_Error","both","both","observed"
0.791178405284882,"1","6","6emo","Anger_Accuracy","both","both","observed"
0.829961895942688,"1","6","6emo","Disgust_Accuracy","both","both","observed"
1,"1","6","6emo","Fear_Accuracy","both","both","observed"
0.479375928640366,"1","6","6emo","Happiness_Accuracy","both","both","observed"
0.67764139175415,"1","6","6emo","Sadness_Accuracy","both","both","observed"
0.761439740657806,"1","6","6emo","Surprise_Accuracy","both","both","observed"
5.0836763381958,"1","7","6emo","OverallError","both","both","observed"
0.386586636304855,"1","7","6emo","Anger_Error","both","both","observed"
0.411728858947754,"1","7","6emo","Disgust_Error","both","both","observed"
0,"1","7","6emo","Fear_Error","both","both","observed"
1.18915963172913,"1","7","6emo","Happiness_Error","both","both","observed"
1.6296888589859,"1","7","6emo","Sadness_Error","both","both","observed"
1.46651208400726,"1","7","6emo","Surprise_Error","both","both","observed"
0.840890049934387,"1","7","6emo","Anger_Accuracy","both","both","observed"
0.829775869846344,"1","7","6emo","Disgust_Accuracy","both","both","observed"
1,"1","7","6emo","Fear_Accuracy","both","both","observed"
0.374860495328903,"1","7","6emo","Happiness_Accuracy","both","both","observed"
0.640438973903656,"1","7","6emo","Sadness_Accuracy","both","both","observed"
0.766903817653656,"1","7","6emo","Surprise_Accuracy","both","both","observed"
3.35360932350159,"1","8","6emo","OverallError","both","both","observed"
0.319539606571198,"1","8","6emo","Anger_Error","both","both","observed"
0.318808287382126,"1","8","6emo","Disgust_Error","both","both","observed"
2.77179321162002e-12,"1","8","6emo","Fear_Error","both","both","observed"
0.999405443668366,"1","8","6emo","Happiness_Error","both","both","observed"
0.740121006965637,"1","8","6emo","Sadness_Error","both","both","observed"
0.975734889507294,"1","8","6emo","Surprise_Error","both","both","observed"
0.871140241622925,"1","8","6emo","Anger_Accuracy","both","both","observed"
0.871140241622925,"1","8","6emo","Disgust_Accuracy","both","both","observed"
1,"1","8","6emo","Fear_Accuracy","both","both","observed"
0.450497567653656,"1","8","6emo","Happiness_Accuracy","both","both","observed"
0.721865713596344,"1","8","6emo","Sadness_Accuracy","both","both","observed"
0.758835554122925,"1","8","6emo","Surprise_Accuracy","both","both","observed"
3.5084388256073,"1","9","6emo","OverallError","both","both","observed"
0.36412301659584,"1","9","6emo","Anger_Error","both","both","observed"
0.365288883447647,"1","9","6emo","Disgust_Error","both","both","observed"
0,"1","9","6emo","Fear_Error","both","both","observed"
0.99335527420044,"1","9","6emo","Happiness_Error","both","both","observed"
0.9499631524086,"1","9","6emo","Sadness_Error","both","both","observed"
0.835708498954773,"1","9","6emo","Surprise_Error","both","both","observed"
0.872744619846344,"1","9","6emo","Anger_Accuracy","both","both","observed"
0.87344217300415,"1","9","6emo","Disgust_Accuracy","both","both","observed"
1,"1","9","6emo","Fear_Accuracy","both","both","observed"
0.476539254188538,"1","9","6emo","Happiness_Accuracy","both","both","observed"
0.749348938465118,"1","9","6emo","Sadness_Accuracy","both","both","observed"
0.75927734375,"1","9","6emo","Surprise_Accuracy","both","both","observed"
6.05034971237183,"1","10","6emo","OverallError","both","both","observed"
0.466747999191284,"1","10","6emo","Anger_Error","both","both","observed"
0.464791834354401,"1","10","6emo","Disgust_Error","both","both","observed"
0,"1","10","6emo","Fear_Error","both","both","observed"
1.22489416599274,"1","10","6emo","Happiness_Error","both","both","observed"
1.74181997776031,"1","10","6emo","Sadness_Error","both","both","observed"
2.15209555625916,"1","10","6emo","Surprise_Error","both","both","observed"
